Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;188.8000;191.4000;103.822;19.760.547,00;188.8000;192.8000;188.8000;190.3310
25/04/2022;190.7000;188.8000;96.746;18.443.940,80;190.7000;193.4000;186.9000;190.6429
26/04/2022;189.5000;190.7000;125.363;23.803.305,20;189.5000;192.3000;187.9000;189.8750
27/04/2022;192.5000;189.5000;87.736;16.768.681,60;192.5000;193.2000;187.8000;191.2443
28/04/2022;191.7000;192.5000;168.423;32.231.522,60;191.7000;194.3000;189.3000;191.3725
29/04/2022;187.5000;191.7000;132.074;24.900.590,60;187.5000;192.0000;187.4000;188.5351
02/05/2022;183.7000;187.5000;140.917;26.173.261,20;183.7000;189.4000;183.0000;185.5836
03/05/2022;186.5000;183.7000;118.380;21.935.378,40;186.5000;186.5000;183.7000;185.2963
04/05/2022;186.0000;186.5000;122.125;22.706.969,10;186.0000;187.2000;184.9000;185.9313
05/05/2022;181.7000;186.0000;162.906;30.230.280,80;181.7000;188.1000;181.7000;184.0842
06/05/2022;179.9000;181.7000;113.128;20.391.046,40;179.9000;182.4000;179.1000;180.2148
09/05/2022;173.8000;179.9000;135.733;23.790.603,90;173.8000;179.5000;172.6000;175.2750
10/05/2022;176.4000;173.8000;120.269;21.197.407,20;176.4000;178.4000;173.5000;176.2500
11/05/2022;180.5000;176.4000;105.033;18.795.936,10;180.5000;181.1000;176.0000;178.9527
12/05/2022;176.7000;180.5000;114.310;20.218.234,80;176.7000;180.2000;174.5000;176.8988
13/05/2022;180.3000;176.7000;86.216;15.450.354,60;180.3000;181.4000;176.6000;179.2052
16/05/2022;181.9000;180.3000;80.863;14.761.419,20;181.9000;183.8000;180.4000;182.5485
17/05/2022;181.9000;181.9000;66.264;12.026.690,40;181.9000;182.9000;179.5000;181.4966
18/05/2022;180.2000;181.9000;111.201;20.101.485,60;180.2000;183.9000;179.4000;180.7671
19/05/2022;181.6000;180.2000;76.812;13.911.551,10;181.6000;182.4000;178.9000;181.1117
20/05/2022;183.1000;181.6000;89.921;16.536.774,40;183.1000;185.3000;182.9000;183.9140
23/05/2022;184.7000;183.1000;126.438;23.296.879,10;184.7000;185.6000;182.9000;184.2694
