Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;34.4000;34.9000;1.282.259;44.196.160,50;34.4000;35.5200;34.0600;34.4674
25/04/2022;34.6000;34.4000;161.408;5.581.630,28;34.6000;35.0800;34.0400;34.5809
26/04/2022;33.9000;34.6000;140.633;4.812.714,66;33.9000;34.7000;33.6200;34.2218
27/04/2022;34.3800;33.9000;135.473;4.614.226,26;34.3800;34.3800;33.5800;34.0601
28/04/2022;35.0200;34.3800;93.901;3.281.636,04;35.0200;35.2600;34.3400;34.9478
29/04/2022;35.3800;35.0200;134.367;4.731.156,60;35.3800;35.4400;34.6000;35.2107
02/05/2022;34.4600;35.3800;137.609;4.771.373,90;34.4600;35.5800;34.0000;34.6734
03/05/2022;34.0200;34.4600;129.432;4.398.015,96;34.0200;34.7800;33.5000;33.9794
04/05/2022;34.1600;34.0200;99.05;3.390.952,54;34.1600;34.5600;33.5400;34.2348
05/05/2022;33.8200;34.1600;98.581;3.365.698,06;33.8200;34.8400;33.7000;34.1414
06/05/2022;34.0000;33.8200;178.888;6.031.339,84;34.0000;34.0800;32.7600;33.7157
09/05/2022;32.7800;34.0000;125.637;4.158.061,68;32.7800;33.7800;32.5400;33.0958
10/05/2022;32.9400;32.7800;91.317;3.003.348,22;32.9400;33.5000;32.3400;32.8893
11/05/2022;34.0600;32.9400;120.201;4.069.002,58;34.0600;34.8600;32.7400;33.8517
12/05/2022;32.9600;34.0600;156.281;5.160.981,50;32.9600;33.9000;32.5000;33.0237
13/05/2022;33.8800;32.9600;108.414;3.650.018,06;33.8800;34.1800;32.5800;33.6674
16/05/2022;34.1600;33.8800;104.823;3.580.656,22;34.1600;34.4800;33.9200;34.1591
17/05/2022;34.4800;34.1600;134.384;4.618.711,28;34.4800;34.9800;33.9200;34.3695
18/05/2022;35.5400;34.4800;278.521;9.901.754,12;35.5400;36.2200;34.5000;35.5512
19/05/2022;36.7000;35.5400;268.112;9.692.553,24;36.7000;36.8400;35.1600;36.2502
20/05/2022;37.4200;36.7000;179.337;6.691.688,12;37.4200;37.7400;36.9000;37.3451
23/05/2022;37.1600;37.4200;146.695;5.426.016,80;37.1600;37.5400;36.5000;37.0312
24/05/2022;37.2000;37.1600;92.756;3.449.900,56;37.2000;37.7800;36.6600;37.1933
25/05/2022;36.9000;37.2000;298.767;11.072.497,84;36.9000;37.8800;36.0200;37.0427
26/05/2022;36.8800;36.9000;95.482;3.523.819,34;36.8800;37.5600;36.6800;36.9056
27/05/2022;36.6800;36.8800;143.405;5.277.786,90;36.6800;37.0000;36.5000;36.7571
30/05/2022;36.6000;36.6800;65.426;2.394.178,12;36.6000;36.9000;36.1400;36.5937
31/05/2022;36.3800;36.6000;135.107;4.936.379,00;36.3800;36.9000;36.2400;36.5368
01/06/2022;36.0400;36.3800;110.304;3.996.640,48;36.0400;36.7800;35.8800;36.2330
02/06/2022;36.7200;36.0400;143.317;5.288.828,82;36.7200;37.3600;35.6200;36.9030
03/06/2022;37.2800;36.7200;98.779;3.691.486,42;37.2800;37.5800;37.0800;37.3712
06/06/2022;37.5400;37.2800;64.484;2.413.030,36;37.5400;37.6000;37.0000;37.4206
07/06/2022;38.1600;37.5400;162.767;6.190.659,62;38.1600;38.3400;37.4600;38.0339
08/06/2022;38.5200;38.1600;201.7;7.748.795,52;38.5200;38.5800;37.9000;38.4174
09/06/2022;37.2600;38.5200;241.916;9.132.218,24;37.2600;38.8800;37.0200;37.7495
10/06/2022;35.9400;37.2600;353.58;12.730.221,34;35.9400;37.4800;35.5200;36.0120
13/06/2022;35.3200;35.9400;95.739;3.389.584,38;35.3200;36.0000;35.0000;35.4044
14/06/2022;34.7200;35.3200;110.641;3.849.076,38;34.7200;35.9400;34.4000;34.7889
15/06/2022;34.5600;34.7200;271.478;9.380.756,20;34.5600;35.2800;33.9800;34.5544
16/06/2022;34.2800;34.5600;117.517;4.064.137,46;34.2800;36.0000;34.2800;34.5834
17/06/2022;34.6600;34.2800;1.352.055;46.879.232,74;34.6600;35.3000;34.0000;34.6726
20/06/2022;35.3800;34.6600;180.355;6.372.394,80;35.3800;35.6600;35.0000;35.3325
21/06/2022;34.6200;35.3800;224.545;7.858.890,42;34.6200;35.4000;34.5600;34.7982
22/06/2022;33.7400;34.6200;192.73;6.498.577,88;33.7400;34.3400;33.3800;33.7186
23/06/2022;34.1000;33.7400;169.42;5.754.057,62;34.1000;34.4600;33.1600;33.9633
24/06/2022;35.4800;34.1000;187.32;6.605.420,58;35.4800;35.6200;34.4600;35.2346
27/06/2022;35.8600;35.4800;207.435;7.386.596,26;35.8600;35.9600;35.0600;35.6092
28/06/2022;36.5600;35.8600;244.103;8.863.236,78;36.5600;36.6800;35.7400;36.3094
29/06/2022;35.8200;36.5600;181.587;6.521.620,76;35.8200;36.8600;35.4600;35.9146
30/06/2022;36.7800;35.8200;197.863;7.207.747,38;36.7800;36.8400;35.3800;36.4280
01/07/2022;37.5800;36.7800;218.127;8.167.438,14;37.5800;37.8000;36.4200;37.4435
04/07/2022;38.0000;37.5800;226.649;8.627.297,38;38.0000;38.3400;37.8400;38.0571
05/07/2022;37.6400;38.0000;225.705;8.527.013,16;37.6400;38.4000;37.6400;37.7795
06/07/2022;38.2600;37.6400;231.502;8.857.532,98;38.2600;38.6000;37.7800;38.2612
07/07/2022;39.1200;38.2600;234.996;9.147.460,70;39.1200;39.2000;38.3200;38.9260
08/07/2022;39.6000;39.1200;234.054;9.223.451,06;39.6000;39.8200;39.1800;39.5761
11/07/2022;39.7800;39.6000;180.229;7.198.816,32;39.7800;40.4200;39.5800;39.9426
12/07/2022;39.3600;39.7800;155.51;6.152.369,44;39.3600;40.1800;38.9600;39.5625
13/07/2022;38.9800;39.3600;284.734;11.127.229,62;38.9800;39.3400;38.7800;39.0852
14/07/2022;37.5000;38.9800;267.216;10.130.840,50;37.5000;39.3200;37.4000;37.9126
15/07/2022;38.8400;37.5000;559.417;21.658.193,52;38.8400;39.1200;37.6600;38.7157
18/07/2022;39.8600;38.8400;175.892;6.998.271,84;39.8600;40.2800;38.9400;39.7873
19/07/2022;39.3200;39.8600;425.951;16.951.502,30;39.3200;40.1000;39.0600;39.6531
20/07/2022;38.9800;39.3200;158.915;6.186.069,56;38.9800;39.3200;38.3200;38.9269
21/07/2022;38.5000;38.9800;229.948;8.877.912,56;38.5000;39.1800;38.2200;38.6083
22/07/2022;39.4600;38.5000;178.358;6.973.337,94;39.4600;39.5800;38.3400;39.1233
25/07/2022;39.6800;39.4600;148.1;5.829.741,00;39.6800;39.8400;38.9000;39.3635
26/07/2022;40.9400;39.6800;242.653;9.884.691,24;40.9400;41.3000;39.9200;40.7359
27/07/2022;41.8000;40.9400;227.013;9.418.892,26;41.8000;41.9200;40.8400;41.4905
28/07/2022;42.3400;41.8000;423.526;17.547.145,88;42.3400;42.7400;39.1600;41.4311
29/07/2022;42.7400;42.3400;313.496;13.409.124,40;42.7400;43.7400;42.0800;42.7729
01/08/2022;42.8400;42.7400;183.887;7.897.959,82;42.8400;43.4400;42.5800;42.9501
02/08/2022;43.3000;42.8400;167.939;7.257.101,72;43.3000;43.5400;42.3600;43.2127
03/08/2022;43.6800;43.3000;171.766;7.502.093,58;43.6800;43.9200;43.1600;43.6762
04/08/2022;42.1600;43.6800;163.069;6.899.655,26;42.1600;43.0600;42.0000;42.3113
05/08/2022;41.6400;42.1600;249.227;10.410.157,32;41.6400;42.2800;41.4400;41.7698
08/08/2022;41.7000;41.6400;201.222;8.419.934,30;41.7000;42.2200;41.6000;41.8440
09/08/2022;41.4600;41.7000;202.481;8.400.553,52;41.4600;41.9200;41.1400;41.4881
10/08/2022;41.4600;41.4600;152.52;6.327.463,74;41.4600;41.7400;41.3200;41.4861
11/08/2022;41.1600;41.4600;292.253;12.063.145,92;41.1600;41.8400;40.9200;41.2764
12/08/2022;41.1000;41.1600;193.1;7.965.963,22;41.1000;41.8800;40.9200;41.2530
15/08/2022;41.6800;41.1000;198.352;8.275.434,84;41.6800;42.0200;41.4200;41.7210
16/08/2022;42.2400;41.6800;162.921;6.849.275,46;42.2400;42.4000;41.6400;42.0405
17/08/2022;42.5800;42.2400;121.392;5.159.441,86;42.5800;42.6800;42.2800;42.5023
18/08/2022;42.6000;42.5800;146.474;6.224.457,58;42.6000;42.7000;42.2400;42.4953
19/08/2022;42.4000;42.6000;119.266;5.065.599,70;42.4000;42.8000;42.2800;42.4731
22/08/2022;42.8800;42.4000;128.051;5.455.240,66;42.8800;42.9400;41.8000;42.6021
23/08/2022;42.4400;42.8800;117.998;5.015.360,58;42.4400;42.7600;42.2200;42.5038
24/08/2022;43.2000;42.4400;204.072;8.799.596,04;43.2000;43.6200;42.3400;43.1201
25/08/2022;43.4800;43.2000;211;9.193.298,34;43.4800;43.9800;43.2800;43.5701
26/08/2022;43.5000;43.4800;213.361;9.340.673,13;43.5000;44.2000;43.4000;43.7643
29/08/2022;42.0800;43.5000;161.949;6.868.046,36;42.0800;43.1200;41.9400;42.4087
30/08/2022;41.6200;42.0800;201.908;8.499.461,34;41.6200;42.8000;41.5000;42.0957
31/08/2022;41.4400;41.6200;234.558;9.794.612,76;41.4400;42.7200;41.3600;41.7577
01/09/2022;41.8000;41.4400;289.784;12.121.347,48;41.8000;42.6600;41.2800;41.8289
02/09/2022;40.5200;41.8000;220.459;8.954.740,78;40.5200;42.2400;39.9200;40.6186
05/09/2022;40.0000;40.5200;207.838;8.236.272,78;40.0000;40.3600;38.8000;39.6283
06/09/2022;39.8200;40.0000;163.21;6.520.005,18;39.8200;40.4600;39.3400;39.9486
07/09/2022;41.5600;39.8200;314.756;13.023.011,82;41.5600;42.2000;39.4000;41.3749
08/09/2022;42.6600;41.5600;391.404;16.521.289,96;42.6600;42.7000;41.4600;42.2333
09/09/2022;42.1800;42.6600;246.875;10.460.609,12;42.1800;43.0400;41.4400;42.3721
12/09/2022;41.5000;42.1800;269.587;11.180.802,50;41.5000;42.3400;40.9400;41.4738
13/09/2022;41.3200;41.5000;254.714;10.610.238,38;41.3200;42.2200;41.1600;41.6573
14/09/2022;41.5400;41.3200;227.786;9.461.310,10;41.5400;42.0000;40.9000;41.5313
15/09/2022;41.6200;41.5400;185.478;7.727.417,78;41.6200;42.0400;41.2600;41.6622
16/09/2022;41.9600;41.6200;921.337;38.669.877,50;41.9600;42.4000;41.3000;41.9715
19/09/2022;41.2200;41.9600;189.963;7.812.421,70;41.2200;42.3400;40.2800;41.1260
20/09/2022;40.4200;41.2200;262.384;10.645.338,52;40.4200;41.3800;40.3200;40.5716
21/09/2022;41.5400;40.4200;189.514;7.806.023,74;41.5400;41.5400;40.1200;41.1897
22/09/2022;40.1800;41.5400;196.592;7.931.656,86;40.1800;41.2200;40.0000;40.3458
23/09/2022;39.3800;40.1800;474.404;18.604.005,50;39.3800;39.7400;38.0200;39.0591
26/09/2022;38.5600;39.3800;228.23;8.801.142,88;38.5600;39.8400;38.0200;38.5626
27/09/2022;39.3000;38.5600;363.665;14.295.712,16;39.3000;39.7000;38.5800;39.3101
28/09/2022;39.3400;39.3000;305.612;11.998.852,90;39.3400;39.7400;38.6400;39.2617
29/09/2022;38.2600;39.3400;228.538;8.825.137,84;38.2600;39.6600;37.9000;38.6156
30/09/2022;38.3600;38.2600;371.86;14.289.514,10;38.3600;39.0600;38.2000;38.4271
03/10/2022;38.9800;38.3600;195.909;7.603.068,20;38.9800;39.2400;37.9400;38.8092
04/10/2022;40.1400;38.9800;273.026;10.936.650,58;40.1400;40.3000;39.5000;40.0572
05/10/2022;39.8200;40.1400;240.531;9.564.838,06;39.8200;40.4000;39.3800;39.7655
06/10/2022;39.9600;39.8200;200.77;8.011.392,98;39.9600;40.1600;39.4800;39.9033
07/10/2022;39.8200;39.9600;190.996;7.626.337,62;39.8200;40.6000;39.4400;39.9293
10/10/2022;39.3800;39.8200;217.889;8.538.297,22;39.3800;39.4400;38.1400;39.1865
11/10/2022;38.6600;39.3800;218.766;8.422.504,40;38.6600;39.4800;37.8200;38.5001
12/10/2022;36.8600;38.6600;341.429;12.617.650,56;36.8600;38.6200;36.3800;36.9554
13/10/2022;36.7000;36.8600;334.2;12.192.095,72;36.7000;36.7600;35.8000;36.4814
14/10/2022;36.4800;36.7000;411.915;15.245.911,26;36.4800;38.1800;36.3000;36.8899
17/10/2022;37.1600;36.4800;282.236;10.411.069,68;37.1600;37.2000;36.1800;36.8878
18/10/2022;37.0000;37.1600;284.445;10.477.309,88;37.0000;37.3200;36.1800;36.8342
19/10/2022;36.7000;37.0000;190.867;6.982.984,20;36.7000;37.0800;36.2000;36.5856
20/10/2022;36.7600;36.7000;187.925;6.880.351,36;36.7600;36.7800;36.2200;36.6122
21/10/2022;36.3000;36.7600;492.981;17.901.361,16;36.3000;36.6400;36.0800;36.3125
