Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;9.9240;10.2350;1.166.899;11.702.987,79;9.9240;10.1900;9.9240;10.0291
25/04/2022;9.4780;9.9240;3.013.178;28.912.598,40;9.4780;9.8700;9.4780;9.5954
26/04/2022;9.4500;9.4780;1.365.330;13.027.922,42;9.4500;9.6800;9.4180;9.5420
27/04/2022;9.8240;9.4500;1.089.735;10.581.148,33;9.8240;9.8240;9.4600;9.7098
28/04/2022;9.9380;9.8240;1.063.741;10.608.600,14;9.9380;10.0800;9.8440;9.9731
29/04/2022;10.0850;9.9380;1.072.840;10.820.788,80;10.0850;10.1500;10.0050;10.0861
02/05/2022;9.8180;10.0850;837.279;8.322.587,85;9.8180;10.0900;9.8060;9.9092
03/05/2022;10.0950;9.8180;631.092;6.324.511,73;10.0950;10.0950;9.8720;10.0215
04/05/2022;9.7700;10.0950;973.659;9.645.613,96;9.7700;10.1200;9.7700;9.9080
05/05/2022;9.7280;9.7700;1.121.443;11.189.462,00;9.7280;10.1100;9.7280;9.9474
06/05/2022;9.9900;9.7280;1.049.231;10.326.435,48;9.9900;10.0600;9.5760;9.8419
09/05/2022;9.9040;9.9900;1.874.602;18.734.433,25;9.9040;10.0750;9.8160;9.9707
10/05/2022;9.7880;9.9040;926.274;9.165.514,86;9.7880;10.0800;9.7680;9.8950
11/05/2022;10.3950;9.7880;4.298.768;44.548.982,44;10.3950;10.5900;9.9500;10.3634
12/05/2022;10.2650;10.3950;1.708.913;17.412.514,31;10.2650;10.3700;9.9380;10.1825
13/05/2022;10.4350;10.2650;1.027.123;10.694.305,01;10.4350;10.5450;10.3050;10.4111
16/05/2022;10.3500;10.4350;868.195;9.007.611,49;10.3500;10.4650;10.2600;10.3751
17/05/2022;10.6850;10.3500;1.288.406;13.666.946,84;10.6850;10.6900;10.4150;10.6076
18/05/2022;10.6600;10.6850;1.293.901;13.903.718,79;10.6600;10.8450;10.5900;10.7456
19/05/2022;10.7250;10.6600;983.125;10.431.651,89;10.7250;10.7550;10.4200;10.6107
20/05/2022;10.6500;10.7250;877.025;9.480.320,83;10.6500;10.9500;10.6250;10.8096
23/05/2022;10.9550;10.6500;840.483;9.143.091,14;10.9550;10.9550;10.7350;10.8784
24/05/2022;10.7200;10.9550;1.009.824;10.919.031,89;10.7200;10.9450;10.7200;10.8091
25/05/2022;11.1000;10.7200;1.280.047;14.097.932,38;11.1000;11.1450;10.8000;11.0136
26/05/2022;11.2250;11.1000;1.071.300;11.970.272,82;11.2250;11.2700;11.0500;11.1736
