Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;24.5600;24.9700;2.428.277;59.959.753,33;24.5600;24.9200;24.5600;24.6646
25/04/2022;24.3600;24.5600;622.804;15.164.748,08;24.3600;24.5700;24.0800;24.3492
26/04/2022;24.6400;24.3600;829.617;20.536.953,03;24.6400;25.0900;24.5300;24.7547
27/04/2022;24.6600;24.6400;908.935;22.421.793,01;24.6600;24.9700;24.2400;24.6682
28/04/2022;24.8500;24.6600;1.030.590;25.648.688,60;24.8500;25.2300;24.5700;24.8874
29/04/2022;24.5900;24.8500;845.883;20.880.528,68;24.5900;25.0000;24.5700;24.6849
02/05/2022;24.2100;24.5900;669.483;16.207.392,66;24.2100;24.5600;23.0000;24.2088
03/05/2022;24.7000;24.2100;551.799;13.587.074,27;24.7000;24.7800;24.3000;24.6771
04/05/2022;24.4200;24.7000;370.822;9.098.142,06;24.4200;24.8700;24.4100;24.5385
05/05/2022;24.4000;24.4200;783.466;19.356.266,26;24.4000;24.9900;24.4000;24.6033
06/05/2022;24.2200;24.4000;635.263;15.418.523,85;24.2200;24.4900;24.1300;24.2711
09/05/2022;23.6400;24.2200;727.13;17.324.879,68;23.6400;24.3700;23.6400;23.8264
10/05/2022;23.9000;23.6400;659.711;15.856.705,02;23.9000;24.3100;23.7800;24.0358
11/05/2022;24.6100;23.9000;503.272;12.320.045,37;24.6100;24.6100;23.9500;24.4799
12/05/2022;24.3900;24.6100;617.521;15.036.233,44;24.3900;24.6500;24.1200;24.3459
13/05/2022;24.3100;24.3900;686.345;16.653.633,06;24.3100;24.4000;24.0000;24.2642
16/05/2022;24.5900;24.3100;514.07;12.627.920,96;24.5900;24.8400;24.3000;24.5646
17/05/2022;25.0900;24.5900;598.282;15.000.938,85;25.0900;25.1800;24.6500;25.0734
18/05/2022;25.5000;25.0900;855.23;21.815.162,51;25.5000;25.7300;25.1300;25.5079
19/05/2022;25.1600;25.5000;653.537;16.475.208,07;25.1600;25.4500;24.9800;25.2093
20/05/2022;25.4300;25.1600;624.557;15.948.530,02;25.4300;25.8400;25.3300;25.5365
23/05/2022;25.7200;25.4300;500.529;12.837.010,97;25.7200;25.8200;25.4600;25.6469
24/05/2022;25.7900;25.7200;424.6980;10.901.052,34;25.7900;25.7900;25.3300;25.6678
