Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;148.8500;150.9500;94.942;14.181.311,95;148.8500;152.2500;148.4000;149.3682
25/04/2022;147.1000;148.8500;107.526;15.846.809,60;147.1000;149.2000;145.1500;147.3765
26/04/2022;147.7000;147.1000;133.238;19.765.461,05;147.7000;150.3000;147.2000;148.3470
27/04/2022;141.4500;147.7000;212.068;30.123.497,05;141.4500;146.0000;139.7500;142.0464
28/04/2022;139.2000;141.4500;209.411;29.361.444,45;139.2000;143.3000;137.9500;139.7683
29/04/2022;136.3000;139.2000;265.992;36.323.705,85;136.3000;142.3000;135.0500;136.5594
02/05/2022;135.8000;136.3000;160.691;21.910.135,15;135.8000;140.5000;131.6000;136.3495
03/05/2022;136.2000;135.8000;97.828;13.339.307,25;136.2000;137.6500;134.3000;136.3547
04/05/2022;136.3500;136.2000;136.22;18.621.750,45;136.3500;137.9000;135.5500;136.7154
05/05/2022;136.6500;136.3500;167.242;23.020.645,40;136.6500;139.9000;136.1000;137.4490
06/05/2022;133.1500;136.6500;139.666;18.708.053,00;133.1500;136.8500;132.2500;133.9485
09/05/2022;129.5500;133.1500;132.948;17.317.963,80;129.5500;133.5500;129.5500;130.2612
10/05/2022;128.9000;129.5500;302.851;39.495.713,90;128.9000;132.1000;128.6500;129.7788
11/05/2022;131.6500;128.9000;245.155;32.036.811,90;131.6500;131.7000;128.1000;130.9166
12/05/2022;129.2000;131.6500;151.77;19.602.391,20;129.2000;131.0000;127.5500;129.1585
13/05/2022;132.9500;129.2000;99.711;13.217.631,05;132.9500;133.8500;130.0000;132.5594
16/05/2022;135.5000;132.9500;131.889;17.795.791,65;135.5000;135.5000;132.8500;134.9301
17/05/2022;136.9500;135.5000;106.657;14.607.913,05;136.9500;137.8000;135.7500;136.9616
18/05/2022;136.8000;136.9500;187.867;25.647.711,10;136.8000;137.9000;135.0500;136.9043
19/05/2022;133.8500;136.8000;95.227;12.808.027,35;133.8500;136.5000;133.5500;134.5000
20/05/2022;135.8000;133.8500;100.816;14.174.966,20;135.8000;136.3000;133.4000;135.5466
23/05/2022;138.1500;135.8000;84.8870;11.702.481,55;138.1500;138.9500;136.1000;137.8595
24/05/2022;135.8500;138.1500;85.2490;11.615.736,90;135.8500;138.0500;135.2500;136.2566
25/05/2022;139.0000;135.8500;107.7070;14.923.236,15;139.0000;139.6500;136.6000;138.5540
26/05/2022;141.7500;139.0000;173.8040;24.636.231,45;141.7500;142.8000;139.5000;141.7383
27/05/2022;142.7500;141.7500;143.3750;20.470.108,85;142.7500;143.3000;142.0500;142.7732
30/05/2022;141.9000;142.7500;107.0220;15.309.944,25;141.9000;144.8000;141.6500;142.6109
31/05/2022;142.1500;141.9000;279.2520;39.701.340,85;142.1500;143.1500;140.8500;142.1703
01/06/2022;140.3500;142.1500;104.6970;14.760.497,15;140.3500;144.6500;139.3000;140.9830
02/06/2022;141.0500;140.3500;120.0210;16.974.832,85;141.0500;142.2500;140.4500;141.2932
03/06/2022;140.6500;141.0500;66.8900;9.436.919,00;140.6500;142.7000;140.4000;141.0812
06/06/2022;142.0500;140.6500;115.921;16.436.355,15;142.0500;142.4500;141.2000;141.9668
07/06/2022;141.7000;142.0500;121.821;17.260.144,70;141.7000;142.1000;140.9500;141.6845
08/06/2022;137.7500;141.7000;154.083;21.285.443,20;137.7500;142.7000;135.7500;138.1427
09/06/2022;138.3500;137.7500;116.019;16.018.838,55;138.3500;139.2000;136.2000;138.0708
10/06/2022;138.1500;138.3500;130.351;18.058.180,80;138.1500;141.1000;137.8500;138.5350
13/06/2022;134.9000;138.1500;216.71;29.632.039,15;134.9000;138.9500;134.4000;135.8943
14/06/2022;131.1500;134.9000;159.694;21.263.459,25;131.1500;137.8500;131.1500;133.1513
15/06/2022;134.4500;131.1500;172.026;23.066.083,55;134.4500;135.6000;132.2500;134.2414
16/06/2022;133.9500;134.4500;132.639;17.760.974,05;133.9500;135.6500;132.8500;133.9046
17/06/2022;136.8000;133.9500;405.227;55.225.508,00;136.8000;136.8000;131.8000;136.2696
20/06/2022;139.0000;136.8000;139.636;19.274.580,70;139.0000;139.0000;134.2000;138.0345
21/06/2022;135.3500;139.0000;164.388;22.575.923,20;135.3500;140.2500;134.8000;136.1367
22/06/2022;132.4000;135.3500;144.408;19.136.763,05;132.4000;134.4500;131.6000;132.5187
23/06/2022;129.9000;132.4000;226.735;29.582.542,45;129.9000;131.6500;128.0000;130.0074
24/06/2022;129.8000;129.9000;396.515;51.650.632,60;129.8000;131.3000;129.0000;129.9290
27/06/2022;130.7000;129.8000;113.958;14.896.393,65;130.7000;131.7000;129.9000;130.7183
28/06/2022;129.7500;130.7000;142.3580;18.530.042,65;129.7500;132.0000;129.4500;130.1651
29/06/2022;123.7500;129.7500;204.6730;25.576.098,35;123.7500;129.4500;123.7500;124.8199
30/06/2022;121.2500;123.7500;330.0740;39.957.857,80;121.2500;123.4000;117.1500;120.7813
