Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;59.1200;60.2000;657.143;39.034.176,28;59.1200;60.5600;59.0000;59.3998
25/04/2022;59.6600;59.1200;781.828;46.345.708,08;59.6600;60.2600;57.4400;59.4835
26/04/2022;59.1200;59.6600;767.591;45.995.901,62;59.1200;61.2400;59.0800;59.9131
27/04/2022;58.8200;59.1200;571.111;33.646.039,88;58.8200;59.9600;57.8400;58.9133
28/04/2022;59.5800;58.8200;1.604.117;95.335.490,72;59.5800;60.0600;58.42;59.4171
29/04/2022;60.4000;59.5800;836.75;50.633.623,36;60.4000;61.1000;60.16;60.5188
02/05/2022;59.4600;60.4000;589.666;34.967.982,70;59.4600;59.9200;57.18;59.3013
03/05/2022;60.5000;59.4600;751.679;45.594.172,36;60.5000;61.5000;60.22;60.6618
04/05/2022;59.0400;60.5000;419.03;24.860.308,44;59.0400;60.6400;58.88;59.3401
05/05/2022;59.8600;59.0400;783.68;47.269.898,98;59.8600;61.3400;59.46;60.3031
06/05/2022;60.0000;59.8600;960.789;57.429.415,46;60.0000;60.3400;58.06;59.7473
09/05/2022;58.2800;60.0000;936.966;55.302.794,18;58.2800;60.5400;58.26;58.9362
10/05/2022;57.0800;58.2800;725.251;41.988.419,10;57.0800;59.4000;57.06;57.8950
11/05/2022;58.5000;57.0800;765.066;44.408.512,84;58.5000;58.7400;56.74;58.1491
12/05/2022;57.6600;58.5000;613.056;35.221.246,04;57.6600;58.0600;56.52;57.4789
13/05/2022;58.7400;57.6600;282.118;16.557.797,12;58.7400;59.1200;57.96;58.6910
16/05/2022;59.0200;58.7400;333.573;19.669.540,38;59.0200;59.6200;58.42;58.9662
17/05/2022;59.4400;59.0200;903.947;53.805.572,72;59.4400;60.1000;59.16;59.5761
18/05/2022;59.4000;59.4400;465.011;27.564.346,72;59.4000;59.8600;58.46;59.2768
19/05/2022;58.5400;59.4000;485.183;28.351.588,56;58.5400;58.8000;57.74;58.3942
20/05/2022;59.1000;58.5400;516.071;30.610.301,74;59.1000;60.0400;58.76;59.3143
23/05/2022;59.0200;59.1000;439.3200;25.865.159,58;59.0200;60.0400;58.22;58.8754
24/05/2022;57.0800;59.0200;489.3690;28.119.933,16;57.0800;58.5200;56.98;57.4616
