Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;29.5500;30.8000;596.47;17.883.377,77;29.5500;30.4950;29.5500;29.9820
25/04/2022;27.0000;29.5500;2.224.583;61.440.110,65;27.0000;28.8450;27.0000;27.6187
26/04/2022;26.8850;27.0000;884.484;24.010.377,36;26.8850;27.6950;26.5300;27.1462
27/04/2022;28.0150;26.8850;636.874;17.565.905,99;28.0150;28.0150;26.7000;27.5814
28/04/2022;27.7350;28.0150;669.067;18.770.444,97;27.7350;28.6100;27.3200;28.0547
29/04/2022;28.1250;27.7350;581.992;16.455.962,70;28.1250;28.5900;28.0100;28.2752
02/05/2022;26.9850;28.1250;816.549;22.313.570,96;26.9850;28.0500;26.9550;27.3267
03/05/2022;28.0750;26.9850;655.479;18.243.112,89;28.0750;28.2100;27.2050;27.8317
04/05/2022;26.9800;28.0750;664.489;18.165.134,49;26.9800;28.3400;26.9800;27.3407
05/05/2022;26.4100;26.9800;1.469.550;40.361.087,62;26.4100;28.3000;26.3250;27.4649
06/05/2022;26.3300;26.4100;835.113;21.855.530,02;26.3300;26.6500;25.5700;26.1707
09/05/2022;25.9550;26.3300;895.431;23.012.634,20;25.9550;26.6200;25.0950;25.7001
10/05/2022;25.9400;25.9550;574.019;15.024.647,48;25.9400;26.6600;25.5100;26.1745
11/05/2022;26.8950;25.9400;734.039;19.690.720,40;26.8950;27.0600;26.2550;26.8252
12/05/2022;26.0900;26.8950;879.387;22.816.768,49;26.0900;26.4550;25.5550;25.9320
13/05/2022;26.4300;25.7850;427.876;11.193.201,59;26.4300;26.4300;25.7400;26.1599
16/05/2022;27.1250;26.4300;616.938;16.735.448,07;27.1250;27.4900;26.1000;27.1266
17/05/2022;27.5800;27.1250;437.959;12.072.895,36;27.5800;27.7300;27.3050;27.5663
18/05/2022;27.4900;27.5800;505.985;14.046.940,26;27.4900;28.0500;27.3300;27.7616
19/05/2022;27.1200;27.4900;476.375;12.874.853,44;27.1200;27.3200;26.6500;27.0267
20/05/2022;27.4000;27.1200;615.965;17.103.201,12;27.4000;28.0450;27.3300;27.7665
23/05/2022;28.4900;27.4000;682.352;19.291.235,02;28.4900;28.5500;27.8700;28.2717
24/05/2022;28.0800;28.4900;481.0880;13.639.489,66;28.0800;28.8500;28.0300;28.3513
25/05/2022;28.5650;28.0800;568.5480;16.198.073,73;28.5650;28.7150;28.1500;28.4902
26/05/2022;29.4900;28.5650;723.6830;21.096.747,95;29.4900;29.5050;28.4450;29.1519
27/05/2022;30.4400;29.4900;955.3120;28.768.403,06;30.4400;30.4400;29.5500;30.1141
30/05/2022;30.5000;30.4400;444.1570;13.573.496,53;30.5000;30.9500;30.1850;30.5601
31/05/2022;29.9800;30.5000;347.5260;10.473.609,23;29.9800;30.4550;29.9050;30.1376
01/06/2022;29.6800;29.9800;463.9830;13.806.817,43;29.6800;30.2850;29.2450;29.7572
02/06/2022;30.3100;29.6800;282.987;8.540.186,63;30.3100;30.5000;29.8500;30.1787
03/06/2022;30.3200;30.3100;324.421;9.837.563,54;30.3200;30.5250;30.1150;30.3234
06/06/2022;30.8000;30.3200;425.649;13.105.326,76;30.8000;30.9650;30.4800;30.7890
07/06/2022;30.8850;30.8000;277.915;8.547.210,81;30.8850;30.9700;30.4500;30.7548
08/06/2022;29.8400;30.8850;579.06;17.455.652,61;29.8400;30.9800;29.7800;30.1448
09/06/2022;28.5200;29.8400;598.245;17.368.553,86;28.5200;29.8100;28.5200;29.0322
10/06/2022;27.2000;28.5200;687.218;19.027.084,65;27.2000;28.5350;27.1250;27.6871
13/06/2022;26.0050;27.2000;849.157;22.323.316,46;26.0050;26.9800;25.8300;26.2888
14/06/2022;25.9250;26.0050;628.658;16.269.088,34;25.9250;26.4850;25.3600;25.8791
15/06/2022;26.5100;25.9250;611.416;16.058.598,70;26.5100;26.7500;25.8300;26.2646
16/06/2022;25.1000;26.5100;669.863;17.052.859,62;25.1000;26.4200;25.0300;25.4572
17/06/2022;24.7500;25.1000;731.808;18.280.980,18;24.7500;25.4100;24.5000;24.9681
20/06/2022;24.5400;24.7500;444.541;10.926.625,33;24.5400;25.0200;24.2800;24.5796
21/06/2022;24.8300;24.5400;553.987;13.880.800,55;24.8300;25.4100;24.6200;25.0562
22/06/2022;22.4100;24.8300;1.706.256;39.005.572,59;22.4100;23.7450;22.1700;22.8603
23/06/2022;22.3100;22.4100;732.61;16.386.134,13;22.3100;23.0050;21.8150;22.3668
24/06/2022;22.5000;22.3100;514.769;11.460.433,47;22.5000;22.6500;21.9200;22.2633
27/06/2022;23.0950;22.5000;494.3730;11.345.822,66;23.0950;23.1600;22.6200;22.9499
28/06/2022;23.1000;23.0950;588.6400;13.786.549,97;23.1000;23.7200;23.0950;23.4210
29/06/2022;22.3600;23.1000;416.1630;9.409.405,27;22.3600;22.9650;22.3050;22.6099
30/06/2022;21.5300;22.3600;631.5500;13.588.021,89;21.5300;21.9750;21.0350;21.5154
01/07/2022;21.5900;21.5300;424.8550;9.180.426,20;21.5900;21.9600;21.1450;21.6084
04/07/2022;21.8450;21.5900;214.7990;4.697.670,88;21.8450;22.0000;21.5750;21.8701
05/07/2022;20.8600;21.8450;482.0210;10.205.168,76;20.8600;21.9500;20.7150;21.1716
06/07/2022;20.6800;20.8600;392.8060;8.230.742,26;20.6800;21.4550;20.5500;20.9537
07/07/2022;21.8000;20.6800;536.279;11.605.786,84;21.8000;22.2050;20.9150;21.6413
08/07/2022;21.9000;21.8000;406.794;8.838.182,99;21.9000;22.0350;21.2550;21.7264
11/07/2022;21.5850;21.9000;436.373;9.282.229,00;21.5850;21.7600;20.7500;21.2713
12/07/2022;22.1100;21.5850;305.069;6.593.816,28;22.1100;22.1600;21.1700;21.6142
13/07/2022;21.9800;22.1100;351.952;7.705.416,76;21.9800;22.2250;21.5000;21.8934
14/07/2022;21.2850;21.9800;297.133;6.396.110,49;21.2850;22.2900;21.0500;21.5261
15/07/2022;21.5000;21.2850;446.719;9.513.988,24;21.5000;21.5000;21.0300;21.2960
18/07/2022;21.8900;21.5000;270.365;5.928.667,38;21.8900;22.0700;21.7200;21.9284
19/07/2022;22.7000;21.8900;388.309;8.635.537,73;22.7000;22.7500;21.7000;22.2388
20/07/2022;22.9600;22.7000;411.098;9.367.597,42;22.9600;23.0300;22.5100;22.7868
21/07/2022;22.9350;22.9600;362.432;8.304.192,69;22.9350;23.2350;22.5950;22.9124
22/07/2022;23.0250;22.9350;236.842;5.458.268,14;23.0250;23.2000;22.9200;23.0460
25/07/2022;23.0600;23.0250;271.055;6.250.712,65;23.0600;23.3800;22.4700;23.0607
26/07/2022;22.7050;23.0600;248.582;5.732.472,61;22.7050;23.3700;22.7050;23.0607
27/07/2022;22.7100;22.7050;265.221;6.032.685,66;22.7100;22.9900;22.6000;22.7459
28/07/2022;23.1450;22.7100;797.5150;18.705.702,63;23.1450;23.9350;22.7750;23.4550
29/07/2022;23.8900;23.1450;508.8360;12.098.129,77;23.8900;24.0400;23.1900;23.7761
01/08/2022;23.6000;23.8900;316.2680;7.562.811,11;23.6000;24.1650;23.5900;23.9127
02/08/2022;23.2550;23.6000;238.9500;5.550.204,83;23.2550;23.4400;22.9750;23.2275
03/08/2022;23.5800;23.2550;195.6860;4.570.724,75;23.5800;23.6200;23.0200;23.3574
04/08/2022;23.7700;23.5800;240.1450;5.691.402,33;23.7700;23.9950;23.4000;23.6999
05/08/2022;24.0000;23.7700;310.1680;7.422.627,82;24.0000;24.2500;23.4800;23.9310
08/08/2022;24.3850;24.0000;324.8890;7.892.832,69;24.3850;24.6100;23.9250;24.2939
09/08/2022;24.1350;24.3850;226.956;5.485.891,54;24.1350;24.3050;24.0450;24.1716
10/08/2022;24.8650;24.1350;430.072;10.599.535,66;24.8650;24.9300;24.1100;24.6460
11/08/2022;24.8400;24.8650;291.416;7.245.753,74;24.8400;25.2000;24.6500;24.8640
12/08/2022;24.4650;24.8400;234.171;5.759.520,23;24.4650;24.8200;24.4300;24.5954
15/08/2022;24.1200;24.4650;194.402;4.703.964,40;24.1200;24.6100;23.9100;24.1971
16/08/2022;24.9000;24.1200;293.777;7.260.940,80;24.9000;25.0800;24.2400;24.7158
17/08/2022;24.3300;24.9000;240.421;5.887.139,22;24.3300;24.9650;24.2500;24.4868
18/08/2022;24.4400;24.3300;148.326;3.626.772,41;24.4400;24.6300;24.1700;24.4514
19/08/2022;23.2300;24.4400;431.433;10.200.241,33;23.2300;24.3000;23.2100;23.6430
22/08/2022;23.1650;23.2300;479.107;10.864.299,10;23.1650;23.1650;22.2450;22.6761
23/08/2022;23.8950;23.1650;379.86;9.025.336,36;23.8950;24.1400;22.9700;23.7596
24/08/2022;23.4250;23.8950;241.05;5.657.296,44;23.4250;23.9350;23.2800;23.4694
25/08/2022;23.7700;23.4250;184.845;4.379.840,32;23.7700;23.9000;23.3900;23.6947
26/08/2022;23.5300;23.7700;276.827;6.633.805,07;23.5300;24.3000;23.4850;23.9637
29/08/2022;24.2350;23.5300;403.269;9.641.307,89;24.2350;24.2700;23.1500;23.9079
30/08/2022;23.7900;24.2350;339.782;8.175.922,37;23.7900;24.4600;23.6100;24.0623
31/08/2022;23.7450;23.7900;333.371;7.967.345,79;23.7450;24.2000;23.6050;23.8993
01/09/2022;22.2900;23.7450;521.394;11.776.906,04;22.2900;23.4350;22.1700;22.5873
02/09/2022;23.2200;22.2900;522.421;11.867.163,20;23.2200;23.2400;21.8750;22.7785
05/09/2022;22.5000;23.2200;275.889;6.223.736,94;22.5000;22.8250;22.1900;22.5588
06/09/2022;22.7150;22.5000;294.1960;6.660.707,97;22.7150;22.9900;22.3800;22.6404
07/09/2022;22.5900;22.7150;438.3310;9.769.324,01;22.5900;22.7200;21.9300;22.2875
08/09/2022;22.5900;22.5900;299.4430;6.783.802,13;22.5900;23.0000;22.2500;22.6547
09/09/2022;22.9150;22.5900;368.5310;8.523.532,63;22.9150;23.4050;22.7900;23.1284
12/09/2022;23.6650;22.9150;582.5430;13.859.697,00;23.6650;24.1550;23.3000;23.7917
13/09/2022;22.8500;23.6650;535.9430;12.559.566,06;22.8500;23.8800;22.7600;23.2666
14/09/2022;21.9000;22.8500;527.5910;11.728.518,81;21.9000;22.9400;21.7500;22.2281
15/09/2022;22.0100;21.9000;560.4640;12.268.302,38;22.0100;22.2300;21.5800;21.8895
16/09/2022;22.1900;22.0100;351.457;7.712.248,92;22.1900;22.3200;21.4000;21.9248
19/09/2022;22.2500;22.1900;256.201;5.634.716,34;22.2500;22.4450;21.6650;21.9933
20/09/2022;21.6500;22.2500;363.94;7.907.175,85;21.6500;22.4400;21.4200;21.7266
