Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;5.0060;5.1520;15.307.329;77.352.885,22;5.0060;5.1680;5.0060;5.0533
25/04/2022;4.8105;5.0060;27.007.056;131.498.162,69;4.8105;4.9425;4.8105;4.8683
26/04/2022;4.6825;4.8105;36.798.330;175.680.729,40;4.6825;4.9260;4.6825;4.7445
27/04/2022;4.6950;4.6825;24.501.863;115.039.053,80;4.6950;4.7800;4.6400;4.6792
28/04/2022;4.7480;4.6950;17.942.309;85.217.129,31;4.7480;4.8210;4.6805;4.7493
29/04/2022;5.0590;4.7480;24.729.346;123.984.342,38;5.0590;5.0590;4.8600;5.0137
02/05/2022;4.8450;5.0590;14.685.468;71.903.431,10;4.8450;5.0310;4.8435;4.8962
03/05/2022;4.8950;4.8450;25.872.469;126.966.461,39;4.8950;4.9775;4.8655;4.9075
04/05/2022;4.7700;4.8950;21.081.518;101.176.915,19;4.7700;4.9235;4.7565;4.7997
05/05/2022;4.5900;4.7700;38.663.911;181.868.939,50;4.5900;4.9020;4.5900;4.7034
06/05/2022;4.5890;4.5900;26.657.051;122.694.929,41;4.5890;4.6625;4.5055;4.6025
09/05/2022;4.5790;4.5890;20.681.738;95.729.333,97;4.5790;4.6955;4.5790;4.6287
10/05/2022;4.6400;4.5790;24.825.092;117.023.799,76;4.6400;4.8130;4.6325;4.7111
11/05/2022;4.7475;4.6400;26.415.865;124.794.338,47;4.7475;4.7970;4.5755;4.7242
12/05/2022;4.7085;4.7475;23.752.462;111.236.551,22;4.7085;4.7555;4.6130;4.6821
13/05/2022;4.8500;4.7085;22.719.289;109.388.624,03;4.8500;4.8565;4.7540;4.8177
16/05/2022;4.8480;4.8500;14.407.324;69.734.494,37;4.8480;4.8695;4.7695;4.8406
17/05/2022;4.9005;4.8480;11.185.307;54.831.066,93;4.9005;4.9290;4.8735;4.9021
18/05/2022;4.8540;4.9005;19.251.919;94.099.120,03;4.8540;4.9675;4.8320;4.8787
19/05/2022;4.7665;4.8540;13.748.139;65.322.886,15;4.7665;4.8200;4.7015;4.7503
20/05/2022;4.7475;4.7665;24.941.682;119.088.611,19;4.7475;4.8285;4.7355;4.7745
