Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;5.5700;5.6020;3.499.578;19.752.821,71;5.5700;5.7660;5.5320;5.6443
25/04/2022;5.6040;5.5700;2.770.372;15.474.516,59;5.6040;5.6600;5.4240;5.5857
26/04/2022;5.4300;5.6040;2.776.546;15.272.639,24;5.4300;5.6920;5.4260;5.5006
27/04/2022;5.5320;5.4300;3.194.352;17.543.505,47;5.5320;5.5320;5.3840;5.4920
28/04/2022;5.5260;5.5320;2.335.272;13.013.968,58;5.5260;5.6940;5.4600;5.5728
29/04/2022;5.6320;5.5260;2.478.533;13.857.836,85;5.6320;5.6400;5.4700;5.5911
02/05/2022;5.5500;5.6320;1.813.766;10.118.840,15;5.5500;5.6540;5.5240;5.5789
03/05/2022;5.6200;5.5500;1.451.933;8.163.886,97;5.6200;5.6800;5.5780;5.6228
04/05/2022;5.3840;5.6200;3.882.663;21.130.305,46;5.3840;5.6600;5.3620;5.4427
05/05/2022;5.3080;5.3840;3.687.269;19.835.250,13;5.3080;5.4980;5.2960;5.3794
06/05/2022;5.1680;5.3080;3.063.042;15.919.032,81;5.1680;5.3100;5.1520;5.1987
09/05/2022;5.1620;5.1680;1.211.532;6.283.276,52;5.1620;5.2480;5.1340;5.1862
10/05/2022;5.2520;5.1620;2.281.758;12.063.401,06;5.2520;5.3520;5.1900;5.2869
11/05/2022;5.3920;5.2520;2.834.258;15.150.414,61;5.3920;5.4360;5.1460;5.3455
12/05/2022;5.2680;5.3920;2.781.616;14.653.735,55;5.2680;5.3520;5.2060;5.2681
13/05/2022;5.3280;5.2680;1.427.954;7.600.494,68;5.3280;5.3740;5.2800;5.3226
16/05/2022;5.3140;5.3280;1.118.368;5.947.159,05;5.3140;5.3660;5.2600;5.3177
17/05/2022;5.5040;5.3140;1.751.618;9.602.414,58;5.5040;5.5340;5.3600;5.4820
18/05/2022;5.5400;5.5040;2.607.326;14.513.577,15;5.5400;5.6360;5.4640;5.5665
19/05/2022;5.6020;5.5400;2.339.800;13.000.329,69;5.6020;5.6060;5.4800;5.5562
20/05/2022;5.5640;5.6020;2.052.978;11.519.399,52;5.5640;5.6780;5.5560;5.6111
23/05/2022;5.7480;5.5640;2.493.191;14.237.542,33;5.7480;5.7500;5.6180;5.7106
24/05/2022;5.8300;5.7480;2.404.838;13.959.308,42;5.8300;5.8460;5.6900;5.8047
25/05/2022;5.9680;5.8300;1.913.978;11.342.781,19;5.9680;5.9700;5.8300;5.9263
26/05/2022;5.9920;5.9680;2.394.294;14.304.434,22;5.9920;6.0000;5.9260;5.9744
