Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;3.0900;3.1310;10.115.198;31.363.390,95;3.0900;3.1700;3.0620;3.1006
25/04/2022;3.0230;3.0900;16.143.684;48.966.547,12;3.0230;3.0750;3.0100;3.0353
26/04/2022;2.9350;3.0230;24.628.811;73.752.415,76;2.9350;3.0670;2.9320;2.9732
27/04/2022;2.9640;2.9350;9.190.201;27.125.581,08;2.9640;2.9820;2.9040;2.9516
28/04/2022;2.9640;2.9640;11.198.116;33.166.615,33;2.9640;3.0190;2.9020;2.9618
29/04/2022;3.0880;2.9640;24.517.619;74.240.707,94;3.0880;3.0890;2.9130;3.0452
02/05/2022;3.0400;3.0880;10.570.663;32.216.772,25;3.0400;3.0790;3.0210;3.0478
03/05/2022;3.1600;3.0400;15.429.799;48.459.276,45;3.1600;3.1630;3.0660;3.1413
04/05/2022;3.0560;3.1600;9.874.409;30.414.453,03;3.0560;3.1780;3.0510;3.0809
05/05/2022;3.0070;3.0560;18.543.538;57.210.425,65;3.0070;3.1500;3.0060;3.0642
06/05/2022;2.9500;3.0070;12.469.870;36.971.950,00;2.9500;3.0060;2.9400;2.9649
09/05/2022;2.9350;2.9500;11.353.618;33.434.903,72;2.9350;2.9830;2.9250;2.9457
10/05/2022;2.9530;2.9350;12.490.864;37.242.478,67;2.9530;3.0290;2.9450;2.9804
11/05/2022;2.9550;2.9530;21.720.461;64.130.953,14;2.9550;2.9840;2.9150;2.9533
12/05/2022;2.8750;2.9550;21.364.646;60.984.556,45;2.8750;2.9140;2.7920;2.8534
13/05/2022;2.8890;2.8750;9.852.971;28.454.035,35;2.8890;2.9090;2.8670;2.8879
16/05/2022;2.9000;2.8890;8.119.774;23.489.323,31;2.9000;2.9060;2.8450;2.8929
17/05/2022;3.0500;2.9000;21.842.657;66.231.454,47;3.0500;3.0650;2.9290;3.0322
18/05/2022;3.0800;3.0500;18.193.093;56.375.586,41;3.0800;3.1520;3.0500;3.0987
19/05/2022;3.1250;3.0800;17.859.541;55.239.081,73;3.1250;3.1270;3.0420;3.0962
20/05/2022;3.1200;3.1250;18.086.447;56.753.734,97;3.1200;3.1840;3.1090;3.1379
23/05/2022;3.2370;3.1200;17.921.757;57.247.022,18;3.2370;3.2370;3.1060;3.1943
24/05/2022;3.2850;3.2370;23.748.963;77.727.365,21;3.2850;3.2970;3.1840;3.2729
25/05/2022;3.3700;3.2850;20.398.007;68.222.135,72;3.3700;3.3700;3.2800;3.3445
26/05/2022;3.4100;3.3700;19.551.238;66.486.269,24;3.4100;3.4210;3.3590;3.4006
27/05/2022;3.3640;3.4100;18.336.781;61.883.719,65;3.3640;3.4310;3.3540;3.3748
30/05/2022;3.4030;3.3640;13.080.467;44.434.884,15;3.4030;3.4160;3.3640;3.3970
31/05/2022;3.3680;3.4030;48.090.076;162.013.479,11;3.3680;3.4060;3.3420;3.3690
01/06/2022;3.3940;3.3680;17.534.462;59.758.966,74;3.3940;3.4360;3.3850;3.4081
02/06/2022;3.3970;3.3940;10.351.881;35.279.449,21;3.3970;3.4340;3.3920;3.4080
03/06/2022;3.3800;3.3970;10.518.616;35.709.750,51;3.3800;3.4270;3.3800;3.3949
06/06/2022;3.4630;3.3800;15.210.133;52.508.978,35;3.4630;3.4900;3.3950;3.4522
07/06/2022;3.4520;3.4630;17.888.736;62.024.808,64;3.4520;3.5020;3.4350;3.4691
08/06/2022;3.4640;3.4520;15.467.024;53.708.529,18;3.4640;3.4910;3.4430;3.4725
09/06/2022;3.4670;3.4640;16.810.171;58.554.680,84;3.4670;3.5230;3.4500;3.4853
10/06/2022;3.2200;3.4670;22.757.097;74.729.967,65;3.2200;3.4390;3.2120;3.2838
13/06/2022;3.1700;3.2200;25.035.648;79.481.343,02;3.1700;3.2240;3.1290;3.1747
14/06/2022;3.2170;3.1700;16.397.022;52.864.151,59;3.2170;3.2590;3.1950;3.2244
15/06/2022;3.2680;3.2170;21.627.956;71.050.883,87;3.2680;3.3290;3.2500;3.2851
16/06/2022;3.2890;3.2680;13.941.677;45.657.752,57;3.2890;3.2960;3.2350;3.2749
17/06/2022;3.4080;3.2890;40.313.143;137.294.116,41;3.4080;3.4840;3.2950;3.4066
20/06/2022;3.5310;3.4080;16.973.138;59.562.285,64;3.5310;3.5750;3.4080;3.5092
21/06/2022;3.5850;3.5310;18.961.963;68.275.344,94;3.5850;3.6410;3.5570;3.6006
22/06/2022;3.5320;3.5850;17.173.509;60.910.805,99;3.5320;3.5830;3.5230;3.5468
23/06/2022;3.3630;3.5320;26.750.173;91.488.269,69;3.3630;3.5320;3.3630;3.4142
24/06/2022;3.3980;3.3630;20.875.750;70.162.620,93;3.3980;3.4210;3.2780;3.3610
27/06/2022;3.4120;3.3980;18.804.523;64.092.021,82;3.4120;3.4570;3.3890;3.4159
28/06/2022;3.4460;3.4120;12.576.110;43.468.480,76;3.4460;3.4960;3.4230;3.4568
