Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;45.1400;45.5800;921.914;41.738.601,95;45.1400;45.7100;44.8600;45.2739
25/04/2022;45.4800;45.1400;750.377;34.069.310,57;45.4800;45.9000;44.3400;45.4029
26/04/2022;44.9000;45.4800;1.030.018;46.436.423,41;44.9000;45.9500;44.8300;45.0831
27/04/2022;45.9600;44.9000;1.827.736;82.921.465,03;45.9600;46.1200;44.8100;45.7059
28/04/2022;44.2500;45.9600;1.549.203;69.126.533,67;44.2500;45.8700;43.8500;44.6064
29/04/2022;44.5600;44.2500;1.699.552;75.793.209,71;44.5600;45.2500;43.9700;44.6110
02/05/2022;43.4800;44.5600;1.148.966;50.038.233,20;43.4800;44.9400;42.0000;43.5507
03/05/2022;44.1300;43.4800;744.781;32.734.543,60;44.1300;44.2100;43.3100;43.9519
04/05/2022;43.6800;44.1300;666.462;29.128.431,35;43.6800;44.5000;43.3000;43.7071
05/05/2022;43.5600;43.6800;1.440.347;63.256.098,27;43.5600;44.7000;43.4400;43.8153
06/05/2022;41.8000;43.5600;1.717.342;72.026.085,33;41.8000;43.6000;40.8300;41.8635
09/05/2022;40.1600;41.8000;2.103.909;86.197.173,81;40.1600;41.6600;40.1600;40.4997
10/05/2022;40.1600;40.1600;1.304.005;52.695.563,69;40.1600;41.2100;39.9400;40.4106
11/05/2022;40.6700;40.1600;1.027.312;41.654.100,70;40.6700;41.2000;39.5200;40.5467
12/05/2022;39.5700;40.6700;1.645.745;65.364.825,54;39.5700;40.1700;39.2800;39.6027
13/05/2022;40.6000;39.5700;1.127.570;45.433.470,48;40.6000;40.6000;39.7100;40.3055
16/05/2022;39.7500;40.6000;884.594;35.336.356,97;39.7500;40.8200;39.7000;39.9464
17/05/2022;40.9000;39.7500;1.239.896;50.200.423,11;40.9000;40.9000;39.4200;40.5582
18/05/2022;39.8900;40.9000;1.283.105;51.325.535,18;39.8900;40.9100;39.5200;39.9918
19/05/2022;39.5500;39.8900;1.273.376;50.255.046,32;39.5500;39.7700;38.8300;39.4481
20/05/2022;40.4200;39.5500;934.479;37.760.743,22;40.4200;40.8900;39.4100;40.3886
23/05/2022;40.5200;40.4200;791.107;31.973.428,51;40.5200;40.9200;39.9200;40.4161
24/05/2022;41.2500;40.5200;2.230.362;90.321.390,48;41.2500;41.2500;39.9900;40.9251
25/05/2022;41.3100;41.2500;803.4360;33.235.561,11;41.3100;41.8000;40.9300;41.3668
26/05/2022;42.9200;41.3100;1.277.110;54.535.586,21;42.9200;42.9300;41.4900;42.7023
27/05/2022;43.2900;42.9200;1.403.028;60.920.088,72;43.2900;43.9900;43.0900;43.4204
30/05/2022;42.2800;43.2900;798.5930;33.787.938,14;42.2800;43.3300;41.8700;42.3093
31/05/2022;42.0300;42.2800;5.735.320;241.274.437,56;42.0300;42.7400;41.7100;42.0682
