Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
22/04/2022;8.1300;8.2900;711.359;5.799.129,86;8.1300;8.2450;8.1250;8.1522
25/04/2022;8.1100;8.1300;611.266;4.956.381,55;8.1100;8.1850;8.0150;8.1084
26/04/2022;8.1950;8.1100;839.718;6.895.894,28;8.1950;8.3100;8.0850;8.2122
27/04/2022;8.1800;8.1950;1.005.277;8.254.407,76;8.1800;8.2800;8.1400;8.2111
28/04/2022;8.1150;8.1800;1.019.922;8.291.963,07;8.1150;8.2250;8.0200;8.1300
29/04/2022;7.9700;8.1150;909.319;7.290.534,90;7.9700;8.1200;7.9250;8.0176
02/05/2022;7.8550;7.9700;989.871;7.832.145,83;7.8550;8.0450;7.8150;7.9123
03/05/2022;7.9150;7.8550;909.448;7.201.379,70;7.9150;7.9950;7.8800;7.9184
04/05/2022;7.8100;7.9150;674.9;5.287.292,96;7.8100;7.9500;7.7750;7.8348
05/05/2022;7.8450;7.8100;883.409;6.963.855,00;7.8450;7.9950;7.8300;7.8829
06/05/2022;7.6700;7.8450;994.282;7.637.131,89;7.6700;7.8000;7.5750;7.6811
09/05/2022;7.5150;7.6700;655.678;4.957.156,01;7.5150;7.6800;7.4900;7.5603
10/05/2022;7.4850;7.5150;528.16;3.973.388,15;7.4850;7.6400;7.4600;7.5231
11/05/2022;7.5850;7.4850;652.138;4.930.108,92;7.5850;7.5850;7.4500;7.5599
12/05/2022;7.5050;7.5850;1.452.201;10.876.336,77;7.5050;7.5450;7.3800;7.4896
13/05/2022;7.6850;7.5050;1.020.086;7.778.854,44;7.6850;7.6850;7.4750;7.6257
16/05/2022;7.7000;7.6850;945.96;7.289.038,97;7.7000;7.7650;7.6150;7.7054
17/05/2022;7.7200;7.7000;1.017.858;7.879.993,33;7.7200;7.8200;7.6700;7.7417
18/05/2022;7.7650;7.7200;772.444;6.023.468,39;7.7650;7.9100;7.7100;7.7979
19/05/2022;7.6100;7.7650;745.563;5.698.332,06;7.6100;7.8500;7.6000;7.6430
20/05/2022;7.6800;7.6100;571.7110;4.387.522,65;7.6800;7.7150;7.6000;7.6744
23/05/2022;7.8100;7.6800;554.0580;4.297.024,40;7.8100;7.8100;7.6500;7.7555
24/05/2022;7.7400;7.8100;483.1160;3.745.705,01;7.7400;7.8150;7.7150;7.7532
25/05/2022;7.7000;7.7400;609.2840;4.691.523,73;7.7000;7.7850;7.6350;7.7001
26/05/2022;7.7600;7.7000;522.5810;4.054.333,93;7.7600;7.8150;7.7000;7.7583
27/05/2022;7.8300;7.7600;863.1580;6.730.050,60;7.8300;7.8300;7.6950;7.7970
30/05/2022;7.7850;7.8300;684.4870;5.342.015,91;7.7850;7.9300;7.7250;7.8044
31/05/2022;7.6450;7.7850;921.157;7.051.766,38;7.6450;7.7050;7.6000;7.6553
01/06/2022;7.5000;7.6450;630.524;4.770.185,51;7.5000;7.7300;7.5000;7.5654
02/06/2022;7.3250;7.5000;1.067.593;7.833.731,38;7.3250;7.5250;7.2650;7.3377
03/06/2022;7.4150;7.3250;573.496;4.230.262,54;7.4150;7.4200;7.3350;7.3763
06/06/2022;7.4750;7.4150;585.228;4.374.337,36;7.4750;7.5200;7.4050;7.4746
07/06/2022;7.5950;7.4750;704.164;5.341.304,89;7.5950;7.6350;7.4350;7.5853
08/06/2022;7.4500;7.5950;486.245;3.644.643,19;7.4500;7.6600;7.4350;7.4955
09/06/2022;7.1850;7.4500;752.246;5.472.911,35;7.1850;7.4300;7.1850;7.2754
10/06/2022;6.9900;7.1850;878.198;6.128.390,66;6.9900;7.1250;6.8700;6.9784
13/06/2022;6.5750;6.9900;1.009.966;6.760.609,10;6.5750;6.9150;6.5650;6.6939
14/06/2022;6.4900;6.5750;1.008.942;6.573.581,88;6.4900;6.6700;6.4400;6.5153
15/06/2022;6.6250;6.4900;1.350.866;8.947.466,88;6.6250;6.7200;6.5550;6.6235
16/06/2022;6.5100;6.6250;802.176;5.207.233,72;6.5100;6.6250;6.4000;6.4914
17/06/2022;6.5300;6.5100;2.258.769;14.788.736,38;6.5300;6.6700;6.4350;6.5441
20/06/2022;6.5200;6.5300;900.545;5.862.685,99;6.5200;6.6100;6.4400;6.5102
21/06/2022;6.4250;6.5200;1.133.014;7.334.145,19;6.4250;6.6000;6.3900;6.4731
