Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;20.4800;20.5100;857.643;17.556.582,56;20.4800;20.5900;20.2200;20.4707
25/04/2022;20.5200;20.4800;857.127;17.578.596,52;20.5200;20.6300;20.3000;20.5087
26/04/2022;20.3600;20.5200;1.705.787;34.798.162,84;20.3600;20.9000;20.1800;20.4001
27/04/2022;20.7500;20.3600;1.004.034;20.746.772,76;20.7500;20.7800;20.1100;20.6634
28/04/2022;21.0100;20.7500;952.343;19.917.531,66;21.0100;21.0100;20.6700;20.9196
29/04/2022;20.5700;21.0100;1.358.918;28.090.510,51;20.5700;21.0500;20.2500;20.5887
02/05/2022;20.3100;20.5700;804.869;16.449.454,39;20.3100;20.8700;19.9600;20.4374
03/05/2022;20.7800;20.3100;646.983;13.399.367,24;20.7800;20.8100;20.3400;20.7105
04/05/2022;20.9200;20.7800;536.898;11.213.369,76;20.9200;20.9500;20.7400;20.8848
05/05/2022;21.0100;20.9200;716.128;15.064.849,39;21.0100;21.2000;20.9300;21.0445
06/05/2022;20.7300;21.0100;854.353;17.794.563,81;20.7300;21.1200;20.7300;20.8281
09/05/2022;20.4800;20.7300;601.588;12.379.799,11;20.4800;20.9200;20.4700;20.5785
10/05/2022;20.6600;20.4800;1.161.923;23.992.954,73;20.6600;20.8400;20.4600;20.6925
11/05/2022;20.7200;20.6600;820.18;16.881.856,11;20.7200;20.7200;20.2100;20.5831
12/05/2022;20.5600;20.7200;703.849;14.507.769,52;20.5600;20.8100;20.5100;20.6120
13/05/2022;20.7600;20.5600;759.9;15.754.171,78;20.7600;20.8300;20.5200;20.7319
16/05/2022;21.1600;20.7600;755.184;15.926.878,56;21.1600;21.2300;20.6100;21.0901
17/05/2022;21.1200;21.1600;732.017;15.478.248,61;21.1200;21.3200;21.0300;21.1447
18/05/2022;21.3400;21.1200;996.809;21.236.769,38;21.3400;21.4700;21.1200;21.3223
19/05/2022;21.4100;21.3400;826.245;17.724.303,61;21.4100;21.6100;21.2200;21.4516
20/05/2022;21.4700;21.4100;831.1940;17.823.641,58;21.4700;21.6300;21.2900;21.4596
23/05/2022;21.8200;21.4700;868.0420;18.931.021,79;21.8200;21.9300;21.6000;21.8089
24/05/2022;21.9800;21.8200;842.1220;18.431.413,47;21.9800;21.9800;21.5600;21.8869
25/05/2022;22.1100;21.9800;644.2930;14.244.486,05;22.1100;22.2900;22.0000;22.1087
26/05/2022;22.0800;22.1100;990.0760;21.939.759,49;22.0800;22.3000;22.0400;22.1514
