Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;19.8600;19.8600;1.397.292;27.639.588,67;19.8600;19.9950;19.5250;19.8807
25/04/2022;20.0200;19.8600;874.098;17.491.303,35;20.0200;20.2500;19.5050;20.0107
26/04/2022;20.0200;20.0200;989.942;19.870.865,38;20.0200;20.3100;19.9300;20.0728
27/04/2022;20.2000;20.0200;749.428;15.109.322,83;20.2000;20.2900;19.7900;20.1611
28/04/2022;20.2500;20.2000;1.203.064;24.315.924,93;20.2500;20.4400;20.0100;20.2117
29/04/2022;20.0300;20.2500;809.585;16.213.363,04;20.0300;20.2600;19.8300;20.0268
02/05/2022;19.7800;20.0300;804.582;15.971.990,17;19.7800;20.1800;19.4100;19.8513
03/05/2022;20.0000;19.7800;765.186;15.281.026,95;20.0000;20.0700;19.7850;19.9703
04/05/2022;20.1000;20.0000;531.861;10.685.057,65;20.1000;20.2000;20.0000;20.0896
05/05/2022;19.8500;20.1000;2.153.072;43.274.548,80;19.8500;20.3100;19.8150;19.9696
06/05/2022;19.6800;19.8500;757.141;14.946.607,45;19.6800;20.0500;19.6250;19.7408
09/05/2022;19.2900;19.6800;900.635;17.498.167,19;19.2900;19.9150;19.2900;19.4287
10/05/2022;19.0450;19.2900;1.385.654;26.381.316,70;19.0450;19.5750;18.6000;19.0389
11/05/2022;19.7350;19.0450;1.365.041;26.739.304,09;19.7350;19.7700;19.0850;19.5886
12/05/2022;19.6050;19.7350;1.412.883;27.853.730,99;19.6050;20.0200;19.5700;19.7227
13/05/2022;19.8150;19.6050;927.149;18.383.987,33;19.8150;19.9800;19.6700;19.8285
16/05/2022;20.0000;19.8150;1.030.007;20.544.420,02;20.0000;20.0900;19.6950;19.9459
17/05/2022;19.9500;20.0000;1.034.108;20.660.191,99;19.9500;20.2300;19.8750;19.9788
18/05/2022;20.2000;19.9500;1.081.173;21.818.033,39;20.2000;20.2600;19.9950;20.1800
19/05/2022;20.6600;20.2000;1.419.035;29.206.369,76;20.6600;20.7700;19.8900;20.5819
20/05/2022;20.6700;20.6600;902.924;18.693.331,81;20.6700;20.9200;20.5800;20.7059
23/05/2022;20.6700;20.6700;700.988;14.499.779,33;20.6700;20.8600;20.5700;20.6848
24/05/2022;20.6700;20.6700;1.319.612;27.048.093,87;20.6700;20.6800;20.1500;20.4959
25/05/2022;20.8500;20.6700;798.754;16.626.085,68;20.8500;20.92;20.6500;20.8150
26/05/2022;20.9600;20.8500;856.178;17.945.551,53;20.9600;21.06;20.8400;20.9601
27/05/2022;20.8600;20.9600;992.901;20.682.608,09;20.8600;21.05;20.6100;20.8305
30/05/2022;20.7800;20.8600;530.198;11.025.508,73;20.7800;21.02;20.7100;20.7951
31/05/2022;20.6300;20.7800;1.692.113;34.938.590,98;20.6300;20.9;20.5900;20.6479
01/06/2022;20.3800;20.6300;809.395;16.571.108,90;20.3800;20.96;20.3500;20.4735
02/06/2022;20.2300;20.3800;698.949;14.172.925,98;20.2300;20.5100;20.1000;20.2775
03/06/2022;20.4300;20.2300;344.815;7.023.019,44;20.4300;20.4900;20.2100;20.3675
06/06/2022;20.6700;20.4300;576.853;11.891.739,70;20.6700;20.7400;20.3800;20.6149
07/06/2022;20.8800;20.6700;1.183.797;24.678.966,67;20.8800;20.9400;20.5300;20.8473
08/06/2022;20.6300;20.8800;790.611;16.324.257,77;20.6300;20.9700;20.5100;20.6476
09/06/2022;20.7600;20.6300;1.426.355;29.469.403,18;20.7600;20.8300;20.4500;20.6802
10/06/2022;19.9000;20.7600;2.873.966;57.813.167,34;19.9000;20.5700;19.6450;19.9353
13/06/2022;19.8050;19.9000;1.269.489;25.090.019,09;19.8050;19.9100;19.6500;19.7762
14/06/2022;19.0850;19.8050;1.695.761;32.836.804,47;19.0850;19.9250;19.0850;19.3612
15/06/2022;19.4800;19.0850;1.396.076;27.225.785,40;19.4800;19.7450;19.2650;19.5016
16/06/2022;19.3850;19.4800;1.398.640;27.121.249,65;19.3850;19.6500;19.2400;19.3912
17/06/2022;19.0850;19.3850;1.954.984;37.451.384,27;19.0850;19.4000;19.0800;19.1455
20/06/2022;19.3250;19.0850;4.089.765;78.700.211,51;19.3250;19.3900;19.0500;19.2702
21/06/2022;18.7650;19.3250;1.787.614;33.609.367,57;18.7650;19.4300;18.5400;18.8012
22/06/2022;18.3450;18.7650;1.923.140;35.367.362,35;18.3450;18.9400;18.1150;18.3904
23/06/2022;18.5100;18.3450;1.812.223;33.339.795,65;18.5100;18.6850;18.0950;18.4378
24/06/2022;18.9450;18.5100;1.405.243;26.528.755,16;18.9450;19.0450;18.6700;18.8784
27/06/2022;18.8350;18.9450;1.587.852;29.795.436,55;18.8350;19.1750;18.5800;18.8032
28/06/2022;19.4450;18.8350;1.611.332;31.145.142,99;19.4450;19.4450;18.7200;19.3415
29/06/2022;18.3600;18.5100;1.479.113;27.121.694,19;18.3600;18.6300;18.1500;18.3426
30/06/2022;18.0000;18.3600;1.993.896;35.855.522,66;18.0000;18.2500;17.7650;17.9796
01/07/2022;18.5500;18.0000;984.9700;18.178.791,91;18.5500;18.5850;17.9050;18.4562
04/07/2022;18.4550;18.5500;1.944.940;36.169.652,54;18.4550;18.7400;18.4550;18.5618
05/07/2022;18.2300;18.4550;682.2720;12.493.519,70;18.2300;18.5600;18.2050;18.3116
06/07/2022;18.1900;18.2300;1.466.290;26.618.513,39;18.1900;18.3650;18.0450;18.1863
07/07/2022;18.1950;18.1900;1.196.694;21.781.612,35;18.1950;18.3600;18.0950;18.2015
08/07/2022;18.0750;18.1950;1.351.615;24.451.797,64;18.0750;18.2050;17.9850;18.0802
11/07/2022;18.2450;18.0750;2.143.929;39.006.614,49;18.2450;18.2550;17.9650;18.2042
12/07/2022;18.1300;18.2450;1.106.072;20.094.783,48;18.1300;18.4350;18.0050;18.1677
13/07/2022;17.9350;18.1300;962.224;17.274.190,91;17.9350;18.1200;17.8450;17.9524
14/07/2022;17.5950;17.9350;1.215.403;21.353.888,94;17.5950;17.8850;17.4600;17.5694
15/07/2022;17.7150;17.5950;715.71;12.747.366,80;17.7150;17.8350;17.5650;17.6997
18/07/2022;17.8050;17.7150;780.47;13.894.263,74;17.8050;17.9800;17.6600;17.8024
19/07/2022;17.8800;17.8050;675.15;12.066.493,87;17.8800;18.0000;17.6350;17.8723
20/07/2022;17.5750;17.8800;903.03;15.960.059,18;17.5750;17.9700;17.5750;17.6739
21/07/2022;17.5150;17.5750;1.309.463;22.941.621,66;17.5150;17.6950;17.4700;17.5199
22/07/2022;17.7700;17.5150;453.994;8.042.270,61;17.7700;17.7950;17.5000;17.7145
