Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;24.4700;25.5600;1.133.309;27.916.456,16;24.4700;25.1900;24.4700;24.6327
25/04/2022;24.3100;24.4700;822.084;19.919.999,92;24.3100;24.5500;23.8500;24.2311
26/04/2022;24.7600;24.3100;8.216.561;200.816.081,35;24.7600;25.2600;24.3800;24.8429
27/04/2022;24.7600;24.7600;681.773;16.881.757,81;24.7600;25.1300;24.2900;24.7616
28/04/2022;24.9200;24.7600;812.092;20.285.988,74;24.9200;25.3700;24.6400;24.9799
29/04/2022;24.5900;24.9200;938.825;23.157.077,24;24.5900;25.0500;24.5900;24.6660
02/05/2022;23.8600;24.5900;1.023.350;24.515.179,80;23.8600;24.4600;22.8400;23.9320
03/05/2022;24.2900;23.8600;621.826;15.094.661,34;24.2900;24.5000;24.0100;24.2747
04/05/2022;24.4900;24.2900;753.877;18.512.609,41;24.4900;24.7600;24.2900;24.5590
05/05/2022;24.3900;24.4900;589.155;14.489.475,97;24.3900;25.0800;24.3000;24.5937
06/05/2022;23.6700;24.3900;1.217.457;28.905.940,07;23.6700;24.1800;23.3300;23.7429
09/05/2022;22.9800;23.6700;1.427.145;33.218.631,38;22.9800;23.7600;22.9800;23.1485
10/05/2022;23.1500;22.9800;805.536;18.760.554,93;23.1500;23.5800;23.0300;23.2895
11/05/2022;23.3700;22.8800;825.767;19.237.536,86;23.3700;23.4300;23.0200;23.2966
12/05/2022;23.1900;23.3700;1.042.679;24.151.131,92;23.1900;23.4000;22.8500;23.1598
13/05/2022;23.8700;23.1900;749.125;17.789.647,29;23.8700;23.9300;23.2900;23.7472
16/05/2022;23.9700;23.8700;688.657;16.454.868,42;23.9700;24.0500;23.5800;23.8941
17/05/2022;23.8500;23.9700;563.948;13.480.903,94;23.8500;24.2600;23.7100;23.9045
18/05/2022;23.7800;23.8500;881.759;21.010.785,54;23.7800;24.0800;23.6700;23.8283
19/05/2022;23.1800;23.7800;945.091;21.970.525,02;23.1800;23.7000;23.1400;23.2470
20/05/2022;23.3100;23.1800;791.476;18.479.133,34;23.3100;23.6400;23.1100;23.3451
23/05/2022;23.6200;23.3100;2.149.351;50.741.387,06;23.6200;23.9000;23.3200;23.6210
24/05/2022;23.6800;23.6200;2.488.273;58.182.416,76;23.6800;23.6800;23.2800;23.6069
25/05/2022;24.1400;23.6800;604.7650;14.532.970,80;24.1400;24.1900;23.6800;24.0308
26/05/2022;24.1400;24.1400;2.449.323;59.193.095,77;24.1400;24.2900;24.0800;24.1611
27/05/2022;24.2100;24.1400;845.3630;20.448.632,83;24.2100;24.3200;24.0300;24.1892
