Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;26.0400;26.6400;301.341;7.874.343,60;26.0400;26.4000;25.9200;26.1310
25/04/2022;25.2000;26.0400;338.024;8.542.451,22;25.2000;25.9200;24.9600;25.2717
26/04/2022;25.0200;25.2000;382.931;9.756.368,52;25.0200;25.9800;24.9400;25.4781
27/04/2022;25.1400;25.0200;269.349;6.751.327,58;25.1400;25.3000;24.8000;25.0654
28/04/2022;25.1000;25.1400;313.103;7.904.604,84;25.1000;25.6400;24.8000;25.2460
29/04/2022;26.1200;25.1000;993.588;25.382.184,48;26.1200;26.1400;25.2600;25.9820
02/05/2022;24.6800;26.1200;525.115;13.064.047,66;24.6800;26.0600;24.5400;24.8897
03/05/2022;24.9400;24.6800;339.668;8.460.537,50;24.9400;25.2400;24.5200;24.9083
04/05/2022;24.1800;24.9400;563.685;13.884.565,56;24.1800;25.4000;24.1800;24.4766
05/05/2022;24.2600;24.1800;562.485;13.949.771,60;24.2600;25.7200;24.1200;24.7768
06/05/2022;23.6400;24.2600;559.577;13.238.381,10;23.6400;24.2600;23.3000;23.6578
09/05/2022;22.1000;23.6400;478.957;10.873.079,26;22.1000;23.7000;22.1000;22.7016
10/05/2022;21.8600;22.1000;481.947;10.684.361,40;21.8600;22.7600;21.8600;22.1692
11/05/2022;21.9000;21.8600;1.221.142;26.620.056,98;21.9000;22.1000;21.3000;21.8103
12/05/2022;21.7600;21.9000;713.517;15.294.667,80;21.7600;21.9000;21.0200;21.4811
13/05/2022;22.8000;21.7600;470.376;10.662.425,57;22.8000;22.9800;22.0600;22.6929
16/05/2022;22.8400;22.8000;369.616;8.449.570,12;22.8400;23.1200;22.4200;22.8604
17/05/2022;22.8800;22.8400;280.982;6.488.313,98;22.8800;23.4800;22.6400;23.0916
18/05/2022;22.2200;22.8800;568.082;12.730.332,52;22.2200;23.2800;21.9600;22.4093
19/05/2022;22.5000;22.2200;430.267;9.510.582,10;22.5000;22.5200;21.5800;22.1039
20/05/2022;22.7800;22.5000;310.475;7.128.031,92;22.7800;23.2400;22.5400;22.9585
23/05/2022;23.0200;22.7800;246.138;5.657.784,48;23.0200;23.2600;22.7600;22.9862
24/05/2022;22.8000;23.0200;267.7250;6.137.157,70;22.8000;23.2600;22.7200;22.9234
25/05/2022;23.2400;22.8000;356.8280;8.178.792,92;23.2400;23.2600;22.4600;22.9208
26/05/2022;23.9400;23.2400;285.1570;6.757.556,74;23.9400;23.9400;23.1200;23.6977
27/05/2022;24.5400;23.9400;472.5840;11.643.068,96;24.5400;25.0800;24.0200;24.6370
30/05/2022;25.1600;24.5400;1.391.077;34.669.279,62;25.1600;25.3200;24.8200;25.1215
31/05/2022;24.6400;25.1600;565.4270;13.983.253,04;24.6400;25.1200;24.6400;24.7304
01/06/2022;24.4800;24.6400;452.367;11.131.660,90;24.4800;24.8600;24.3400;24.5919
02/06/2022;24.8400;24.4800;312.24;7.694.342,10;24.8400;24.8600;24.3600;24.6424
03/06/2022;24.7200;24.8400;186.463;4.640.663,36;24.7200;25.1600;24.6000;24.8879
06/06/2022;25.1000;24.7200;225.544;5.660.747,94;25.1000;25.3200;24.8200;25.0982
07/06/2022;24.6000;25.1000;375.162;9.267.231,12;24.6000;25.2200;24.2600;24.7019
08/06/2022;24.2200;24.6000;298.02;7.250.562,08;24.2200;24.8200;24.1600;24.3291
09/06/2022;23.2200;24.2200;367.547;8.668.602,82;23.2200;24.1800;23.1400;23.5850
10/06/2022;22.1400;23.2200;404.472;9.099.025,08;22.1400;23.2400;21.9200;22.4961
13/06/2022;20.8400;22.1400;512.265;10.828.326,78;20.8400;22.0000;20.8000;21.1381
14/06/2022;20.9200;20.8400;522.927;10.949.417,70;20.9200;21.3800;20.5200;20.9387
15/06/2022;21.7000;20.9200;587.836;12.674.385,06;21.7000;21.7800;20.9000;21.5611
16/06/2022;20.8600;21.7000;591.642;12.525.923,10;20.8600;22.0800;20.7600;21.0504
17/06/2022;21.1200;20.8600;698.228;14.670.491,76;21.1200;21.4800;20.7200;21.1279
20/06/2022;20.9800;21.1200;533.447;11.352.788,28;20.9800;21.4600;20.9800;21.0995
21/06/2022;21.5600;20.9800;477.045;10.131.256,98;21.5600;21.6200;21.0000;21.3999
22/06/2022;21.2400;21.5600;440.466;9.235.092,62;21.2400;21.3600;20.5800;20.9824
23/06/2022;21.1200;21.2400;542.281;11.409.397,30;21.1200;21.2800;20.5800;20.9984
24/06/2022;22.4400;21.1200;419.051;9.265.791,92;22.4400;22.5800;21.2800;22.1114
27/06/2022;22.8200;22.4400;387.659;8.834.979,24;22.8200;23.0600;22.4600;22.7906
28/06/2022;21.9600;22.8200;460.225;10.205.433,92;21.9600;22.8600;21.9200;22.1749
29/06/2022;19.9000;21.9600;969.0980;19.701.370,39;19.9000;21.2600;19.8700;20.3296
30/06/2022;19.3400;19.9000;845.0160;16.180.650,57;19.3400;19.8800;18.5600;19.1483
01/07/2022;19.3200;18.9100;521.7430;9.990.992,56;19.3200;19.4600;18.5700;19.1493
