Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;16.2300;16.6600;1.047.657;17.235.593,35;16.2300;16.9300;16.1700;16.4516
25/04/2022;17.0000;16.2300;1.528.789;25.485.382,90;17.0000;17.0000;15.9900;16.6703
26/04/2022;16.6350;17.0000;2.484.141;41.703.827,59;16.6350;17.2650;16.6000;16.7960
27/04/2022;16.1050;16.6350;908.519;14.674.524,56;16.1050;16.5100;15.9900;16.1521
28/04/2022;16.5550;16.1050;1.140.027;18.780.638,07;16.5550;16.6500;16.1150;16.4739
29/04/2022;16.0000;16.5550;1.510.346;24.430.976,62;16.0000;16.5300;15.8750;16.1705
02/05/2022;16.3000;16.0000;1.733.272;27.455.560,95;16.3000;16.6050;14.8600;15.8403
03/05/2022;16.8900;16.3000;761.904;12.779.720,66;16.8900;16.9000;16.2700;16.7734
04/05/2022;16.6100;16.8900;894.622;14.909.636,30;16.6100;17.0350;16.4800;16.6668
05/05/2022;17.0200;16.6100;1.194.342;20.283.471,65;17.0200;17.0900;16.6700;16.9830
06/05/2022;18.6250;17.0200;3.225.288;59.109.110,14;18.6250;18.9500;16.6100;18.3268
09/05/2022;17.3500;18.6250;2.113.568;36.833.910,69;17.3500;18.5800;16.9550;17.4274
10/05/2022;18.4450;17.3500;1.926.237;35.220.023,37;18.4450;18.7450;17.5200;18.2844
11/05/2022;19.2750;18.4450;2.130.845;40.587.013,03;19.2750;19.3700;18.3200;19.0474
12/05/2022;19.0750;19.2750;2.145.299;40.973.451,09;19.0750;19.3500;18.7550;19.0975
13/05/2022;19.7050;19.0750;1.030.206;20.108.516,46;19.7050;19.7050;19.0850;19.5189
16/05/2022;19.6300;19.7050;883.654;17.269.619,39;19.6300;19.7000;19.2800;19.5434
17/05/2022;19.6300;19.6300;1.039.177;20.229.801,98;19.6300;19.7400;19.0500;19.4671
18/05/2022;19.8250;19.6300;1.035.226;20.523.597,54;19.8250;20.0500;19.5650;19.8252
19/05/2022;19.9100;19.8250;1.014.926;19.998.588,74;19.9100;19.9650;19.2700;19.7045
20/05/2022;19.8800;19.9100;779.006;15.476.231,76;19.8800;20.1800;19.6800;19.8860
23/05/2022;19.8000;19.8800;932.139;18.372.897,44;19.8000;20.1000;19.4300;19.7105
24/05/2022;19.9500;19.8000;924.9030;18.332.386,93;19.9500;19.9500;19.5700;19.8209
25/05/2022;19.7700;19.9500;589.6830;11.641.041,54;19.7700;19.9700;19.5150;19.7412
26/05/2022;19.8950;19.7700;767.9620;15.315.563,06;19.8950;20.1400;19.7150;19.9431
27/05/2022;19.8500;19.8950;825.8560;16.407.787,77;19.8500;20.1400;19.6050;19.8676
30/05/2022;19.6000;19.8500;721.1040;14.207.958,27;19.6000;20.2800;19.4100;19.7031
31/05/2022;19.5900;19.6000;1.406.781;27.593.848,18;19.5900;19.9200;19.4300;19.6149
01/06/2022;19.3100;19.5900;995.2510;19.357.278,52;19.3100;19.7500;19.2450;19.4496
02/06/2022;18.8450;19.3100;618.1820;11.727.870,75;18.8450;19.4450;18.7700;18.9715
03/06/2022;18.6750;18.8450;498.482;9.346.864,09;18.6750;19.0900;18.5450;18.7507
06/06/2022;19.1100;18.6750;668.8;12.726.412,81;19.1100;19.1750;18.6300;19.0306
07/06/2022;19.1600;19.1100;645.442;12.328.342,64;19.1600;19.2250;18.8350;19.1006
08/06/2022;19.0600;19.1600;617.172;11.796.176,66;19.0600;19.4500;19.0000;19.1133
09/06/2022;18.6300;19.0600;603.641;11.306.864,35;18.6300;19.1700;18.5750;18.7311
10/06/2022;18.2450;18.6300;771.889;14.092.953,57;18.2450;18.6000;18.0050;18.2577
13/06/2022;17.8000;18.2450;775.784;13.915.196,74;17.8000;18.4900;17.6650;17.9369
14/06/2022;17.6150;17.8000;645.125;11.391.418,33;17.6150;18.0600;17.4650;17.6577
15/06/2022;17.8100;17.6150;791.264;14.092.982,09;17.8100;18.0100;17.6450;17.8238
16/06/2022;17.5850;17.8100;617.704;10.902.777,97;17.5850;17.8150;17.5500;17.6507
17/06/2022;17.9000;17.5850;2.117.574;37.935.992,73;17.9000;18.1250;17.5200;17.8954
20/06/2022;18.5000;17.9000;830.783;15.312.208,60;18.5000;18.6000;17.9400;18.4311
21/06/2022;18.4250;18.5000;651.669;12.004.685,27;18.4250;18.6700;18.1350;18.4214
22/06/2022;18.0700;18.4250;807.236;14.614.654,00;18.0700;18.4150;17.8900;18.1046
23/06/2022;18.6150;18.0700;781.282;14.403.451,63;18.6150;18.7350;17.8450;18.4357
24/06/2022;18.5300;18.6150;530.83;9.909.701,20;18.5300;19.0400;18.4500;18.6683
27/06/2022;19.1550;18.5300;734.925;13.953.194,81;19.1550;19.2250;18.6050;18.9859
28/06/2022;19.3800;19.1550;847.717;16.395.562,76;19.3800;19.5800;18.8600;19.3408
29/06/2022;16.9900;19.3800;3.420.378;59.224.126,54;16.9900;18.3700;16.7750;17.3151
30/06/2022;18.0350;16.9900;2.037.722;36.471.492,62;18.0350;18.8100;16.9000;17.8982
01/07/2022;18.6350;18.0350;1.094.487;19.954.691,12;18.6350;18.6350;17.2850;18.2320
04/07/2022;17.8350;18.6350;696.5530;12.578.164,60;17.8350;18.6350;17.7700;18.0577
05/07/2022;17.5600;17.8350;1.122.503;19.798.178,77;17.5600;18.0400;17.3300;17.6375
06/07/2022;16.9450;17.5600;1.443.859;24.588.236,10;16.9450;17.8800;16.7000;17.0295
07/07/2022;16.9650;16.9450;729.527;12.427.577,79;16.9650;17.4350;16.8500;17.0351
08/07/2022;16.9000;16.9650;471.362;7.962.005,50;16.9000;17.1700;16.6300;16.8915
11/07/2022;17.0700;16.9000;624.151;10.703.810,92;17.0700;17.5000;16.6150;17.1494
12/07/2022;16.7300;17.0700;578.736;9.692.403,98;16.7300;17.2550;16.4800;16.7475
13/07/2022;16.2750;16.7300;908.658;14.731.690,30;16.2750;16.7400;15.7450;16.2126
14/07/2022;15.4400;16.2750;952.432;14.840.202,60;15.4400;16.2100;15.3700;15.5814
15/07/2022;15.9800;15.4400;867.098;13.747.647,72;15.9800;16.0200;15.4900;15.8473
18/07/2022;16.1950;15.9800;628.625;10.220.626,88;16.1950;16.6100;16.0250;16.2587
19/07/2022;16.2950;16.1950;402.894;6.553.016,46;16.2950;16.4050;16.0250;16.2649
20/07/2022;16.1900;16.2950;502.49;8.170.083,74;16.1900;16.4850;16.1250;16.2592
21/07/2022;16.2800;16.1900;429.739;6.970.382,81;16.2800;16.3350;16.0200;16.2200
22/07/2022;16.4350;16.2800;561.866;9.258.855,02;16.4350;16.7200;16.2050;16.4777
25/07/2022;16.0950;16.4350;399.112;6.446.453,20;16.0950;16.3500;16.0400;16.1520
26/07/2022;16.4250;16.0950;365.755;5.980.342,34;16.4250;16.4700;16.0800;16.3507
27/07/2022;16.3150;16.4250;372.617;6.105.586,46;16.3150;16.5900;16.2900;16.3857
28/07/2022;14.5700;16.3150;2.450.637;36.428.760,82;14.5700;16.6250;14.2700;14.8650
29/07/2022;14.2200;14.5700;1.821.738;26.189.833,94;14.2200;14.8900;14.0700;14.3763
01/08/2022;13.4600;14.2200;1.927.578;26.279.083,28;13.4600;14.2900;13.3900;13.6332
02/08/2022;13.0950;13.4600;1.489.305;19.648.507,28;13.0950;13.5700;13.0250;13.1931
03/08/2022;13.3800;13.0950;1.089.639;14.559.009,07;13.3800;13.6700;13.0500;13.3613
04/08/2022;14.0850;13.3800;1.583.210;21.950.675,22;14.0850;14.0850;13.1850;13.8647
05/08/2022;14.0750;14.0850;1.281.292;17.965.583,43;14.0750;14.2300;13.7250;14.0181
08/08/2022;13.9500;14.0750;869.0590;12.194.002,80;13.9500;14.3000;13.9300;14.0313
09/08/2022;14.0000;13.9500;531.199;7.440.984,82;14.0000;14.1400;13.8400;14.0079
10/08/2022;13.7200;14.0000;687.243;9.458.661,90;13.7200;14.0200;13.6400;13.7632
11/08/2022;13.8400;13.7200;869.088;12.044.531,19;13.8400;13.9950;13.7500;13.8588
12/08/2022;13.7550;13.8400;1.041.657;14.407.618,21;13.7550;14.0200;13.7000;13.8314
15/08/2022;13.7800;13.7550;453.527;6.251.656,55;13.7800;13.8800;13.6700;13.7845
16/08/2022;13.7950;13.7800;780.547;10.798.491,60;13.7950;13.9700;13.7350;13.8345
17/08/2022;13.5550;13.7950;787.143;10.675.294,00;13.5550;13.8150;13.4200;13.5621
18/08/2022;13.3150;13.5550;900.622;12.030.262,58;13.3150;13.6700;13.1500;13.3577
19/08/2022;13.2200;13.3150;770.884;10.210.513,76;13.2200;13.3200;13.1600;13.2288
22/08/2022;13.1650;13.2200;681.825;8.952.805,52;13.1650;13.2800;12.9850;13.1306
23/08/2022;12.7500;13.1650;1.428.883;18.305.886,45;12.7500;13.0800;12.6300;12.8057
24/08/2022;12.7350;12.7500;1.324.246;16.700.274,40;12.7350;12.7850;12.4300;12.6145
25/08/2022;12.7700;12.7350;524.394;6.706.365,31;12.7700;13.0000;12.6150;12.7888
26/08/2022;12.4200;12.7700;1.242.748;15.522.407,81;12.4200;12.9500;12.3500;12.4904
29/08/2022;12.1050;12.4200;740.794;8.987.617,43;12.1050;12.3200;12.0400;12.1324
30/08/2022;12.0800;12.1050;914.253;11.035.041,94;12.0800;12.2050;11.9400;12.0700
31/08/2022;12.0450;12.0800;1.501.859;18.051.853,23;12.0450;12.2250;11.8050;12.0197
01/09/2022;11.6250;12.0450;1.201.664;14.037.562,25;11.6250;11.9350;11.6000;11.6818
02/09/2022;11.8200;11.6250;877.436;10.308.849,02;11.8200;11.8350;11.6150;11.7488
05/09/2022;11.5050;11.8200;777.548;8.931.051,99;11.5050;11.6950;11.3650;11.4862
06/09/2022;11.4500;11.5050;736.759;8.436.257,78;11.4500;11.5300;11.3300;11.4505
07/09/2022;11.4200;11.4500;716.975;8.166.048,90;11.4200;11.4550;11.2600;11.3896
08/09/2022;11.8700;11.4200;1.447.102;16.886.983,69;11.8700;11.9450;11.3250;11.6695
09/09/2022;12.4700;11.8700;1.681.494;20.888.612,27;12.4700;12.6550;11.9200;12.4226
12/09/2022;12.4700;12.4700;1.035.205;12.855.079,01;12.4700;12.5800;12.2350;12.4179
13/09/2022;12.5150;12.4700;1.305.095;16.905.711,38;12.5150;12.7400;12.4750;12.6062
14/09/2022;12.1850;12.5150;1.083.247;13.154.191,05;12.1850;12.4900;11.9750;12.1443
15/09/2022;12.0500;12.1850;940.576;11.362.590,49;12.0500;12.2550;11.9150;12.0706
16/09/2022;11.7550;12.0500;1.677.105;19.829.973,41;11.7550;12.0850;11.6850;11.7986
19/09/2022;11.6850;11.7550;788.905;9.196.548,91;11.6850;11.8700;11.4700;11.6551
20/09/2022;11.7900;11.6850;983.82;11.634.033,85;11.7900;12.1100;11.6550;11.8254
21/09/2022;11.5200;11.7900;956.749;10.979.165,40;11.5200;11.7500;11.2100;11.4755
22/09/2022;10.8800;11.5200;1.275.726;14.097.932,64;10.8800;11.3650;10.8550;11.0228
23/09/2022;10.0250;10.8800;2.791.199;28.620.607,47;10.0250;10.9400;9.4500;10.2060
26/09/2022;10.0900;10.0250;2.509.530;27.061.946,45;10.0900;10.3700;9.8920;10.1202
27/09/2022;9.5880;10.0900;1.624.440;15.838.500,15;9.5880;10.1150;9.5800;9.7501
28/09/2022;9.0820;9.5880;2.699.332;26.667.523,69;9.0820;9.6220;9.0440;9.1662
29/09/2022;8.8340;9.0820;3.143.220;27.812.464,45;8.8340;9.0600;8.6140;8.8484
30/09/2022;8.8820;8.8340;2.771.677;25.365.064,99;8.8820;9.1340;8.7000;8.8759
03/10/2022;8.9780;8.8820;2.121.454;18.962.618,69;8.9780;9.0000;8.5000;8.8088
04/10/2022;9.0000;8.9780;3.647.955;32.975.613,98;9.0000;9.4100;8.6300;8.9922
05/10/2022;8.5680;9.0000;1.674.648;14.584.326,30;8.5680;9.0640;8.5360;8.6961
06/10/2022;8.7120;8.5680;1.198.013;10.424.144,55;8.7120;8.8420;8.5680;8.7012
07/10/2022;8.5180;8.7120;1.300.629;11.111.164,13;8.5180;8.7540;8.4200;8.5388
10/10/2022;8.5200;8.5180;1.110.523;9.472.790,10;8.5200;8.5740;8.2800;8.4758
11/10/2022;8.5820;8.5200;1.422.769;12.059.986,94;8.5820;8.6320;8.2800;8.4755
12/10/2022;8.2840;8.5820;1.367.390;11.369.170,64;8.2840;8.5940;8.2200;8.3105
13/10/2022;8.2480;8.2840;1.541.857;12.749.768,80;8.2480;8.5300;8.1220;8.2691
14/10/2022;8.3160;8.2480;1.218.098;10.151.733,14;8.3160;8.4560;8.2460;8.3341
17/10/2022;8.5800;8.3160;1.215.701;10.345.112,38;8.5800;8.6100;8.3200;8.5096
18/10/2022;8.6420;8.5800;1.433.858;12.417.621,76;8.6420;8.7920;8.5500;8.6614
19/10/2022;8.3800;8.6420;1.002.634;8.471.699,92;8.3800;8.6200;8.3800;8.4494
20/10/2022;8.5740;8.3800;1.947.533;16.371.019,87;8.5740;8.6420;8.1920;8.4532
21/10/2022;8.1320;8.5740;3.297.760;26.664.365,58;8.1320;8.4420;7.8200;8.0827
