Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;1.7810;1.8425;19.191.936;34.603.581,15;1.7810;1.8540;1.7785;1.8030
25/04/2022;1.7550;1.7810;14.678.095;25.985.423,85;1.7550;1.8055;1.7300;1.7704
26/04/2022;1.6795;1.7550;14.498.942;25.210.819,73;1.6795;1.7985;1.6795;1.7388
27/04/2022;1.6705;1.6795;16.814.422;28.024.240,39;1.6705;1.7005;1.6245;1.6667
28/04/2022;1.7195;1.6705;13.133.303;22.402.283,01;1.7195;1.7250;1.6880;1.7060
29/04/2022;1.7170;1.7195;10.151.786;17.370.858,18;1.7170;1.7455;1.6840;1.7111
02/05/2022;1.6880;1.7170;7.505.147;12.755.360,04;1.6880;1.7270;1.6850;1.6995
03/05/2022;1.7720;1.6880;16.858.626;29.609.316,48;1.7720;1.7750;1.7010;1.7563
04/05/2022;1.7185;1.7720;15.503.904;26.840.725,79;1.7185;1.7870;1.7135;1.7330
05/05/2022;1.6925;1.7185;16.753.050;29.163.135,20;1.6925;1.7910;1.6900;1.7408
06/05/2022;1.5475;1.6925;104.229.343;161.532.551,15;1.5475;1.6670;1.5030;1.5498
09/05/2022;1.5000;1.5475;40.564.346;61.744.420,43;1.5000;1.5760;1.5000;1.5221
10/05/2022;1.4440;1.5000;39.554.608;58.506.665,74;1.4440;1.5290;1.4415;1.4792
11/05/2022;1.4750;1.4440;19.000.787;28.061.177,04;1.4750;1.4980;1.4495;1.4768
12/05/2022;1.4360;1.4750;28.870.564;41.145.445,93;1.4360;1.4535;1.4000;1.4252
13/05/2022;1.4505;1.4360;18.206.281;26.344.774,59;1.4505;1.4630;1.4315;1.4470
16/05/2022;1.4370;1.4505;12.442.358;17.749.761,78;1.4370;1.4470;1.4110;1.4266
17/05/2022;1.4790;1.4370;16.258.056;24.077.770,35;1.4790;1.4985;1.4565;1.4810
18/05/2022;1.4755;1.4790;16.076.729;23.757.510,31;1.4755;1.4965;1.4570;1.4778
19/05/2022;1.4470;1.4755;14.950.607;21.610.445,06;1.4470;1.4580;1.4280;1.4455
20/05/2022;1.4790;1.4470;14.614.243;21.631.288,96;1.4790;1.5015;1.4540;1.4799
23/05/2022;1.5020;1.4790;15.220.839;22.916.370,33;1.5020;1.5230;1.4850;1.5056
24/05/2022;1.4300;1.5020;34.423.271;50.127.444,35;1.4300;1.4900;1.4250;1.4559
25/05/2022;1.4755;1.4300;24.366.978;35.491.141,02;1.4755;1.4815;1.4275;1.4573
26/05/2022;1.5150;1.4755;20.667.872;31.043.038,87;1.5150;1.5195;1.4790;1.5020
27/05/2022;1.5440;1.5150;18.616.550;28.583.054,25;1.5440;1.5545;1.5120;1.5354
30/05/2022;1.5885;1.5440;22.638.145;36.013.077,28;1.5885;1.6090;1.5645;1.5908
31/05/2022;1.5105;1.5885;31.170.682;47.510.824,88;1.5105;1.5635;1.5090;1.5242
01/06/2022;1.4850;1.5105;17.429.455;26.225.879,84;1.4850;1.5310;1.4830;1.5047
02/06/2022;1.5160;1.4850;8.962.127;13.515.170,40;1.5160;1.5200;1.4850;1.5080
03/06/2022;1.5050;1.5160;7.939.105;12.026.285,10;1.5050;1.5335;1.5010;1.5148
06/06/2022;1.4755;1.5050;18.319.449;27.248.990,82;1.4755;1.5150;1.4750;1.4874
07/06/2022;1.4690;1.4755;14.790.676;21.638.565,74;1.4690;1.4830;1.4500;1.4630
08/06/2022;1.4550;1.4690;15.074.950;21.919.400,19;1.4550;1.4895;1.4415;1.4540
09/06/2022;1.4515;1.4550;10.212.518;14.860.632,94;1.4515;1.4770;1.4410;1.4551
10/06/2022;1.4225;1.4515;19.142.474;27.303.254,17;1.4225;1.4460;1.4165;1.4263
13/06/2022;1.3520;1.4225;22.816.960;31.292.565,44;1.3520;1.4100;1.3500;1.3715
14/06/2022;1.3155;1.3520;19.659.543;26.197.269,86;1.3155;1.3770;1.3130;1.3325
15/06/2022;1.3610;1.3155;13.337.164;17.978.918,03;1.3610;1.3685;1.3220;1.3480
16/06/2022;1.2890;1.3610;18.764.589;24.689.912,28;1.2890;1.3885;1.2890;1.3158
17/06/2022;1.3190;1.2890;22.733.981;32.555.904,11;1.3190;1.3250;1.2755;1.3050
20/06/2022;1.4085;1.3190;14.029.005;19.236.869,94;1.4085;1.4100;1.3265;1.3712
21/06/2022;1.3860;1.4085;12.993.940;18.256.562,16;1.3860;1.4305;1.3735;1.4050
22/06/2022;1.3670;1.3860;10.093.986;13.762.819,54;1.3670;1.3865;1.3410;1.3635
23/06/2022;1.3300;1.3670;9.478.008;12.789.467,92;1.3300;1.3830;1.3300;1.3494
24/06/2022;1.3370;1.3300;10.289.704;13.693.156,21;1.3370;1.3450;1.3145;1.3308
27/06/2022;1.3430;1.3370;6.553.223;8.839.750,95;1.3430;1.3645;1.3360;1.3489
28/06/2022;1.3540;1.3430;8.047.108;10.923.927,29;1.3540;1.3740;1.3400;1.3575
29/06/2022;1.3045;1.3540;12.308.519;16.132.368,74;1.3045;1.3480;1.2925;1.3107
30/06/2022;1.2525;1.3045;27.082.590;33.837.827,41;1.2525;1.2925;1.2195;1.2494
01/07/2022;1.2615;1.2525;13.724.170;17.437.058,43;1.2615;1.2980;1.2335;1.2705
04/07/2022;1.2495;1.2615;8.638.406;10.832.568,91;1.2495;1.2865;1.2340;1.2540
05/07/2022;1.2005;1.2495;18.271.542;22.240.748,77;1.2005;1.2670;1.1970;1.2172
06/07/2022;1.2385;1.2005;14.415.661;17.774.148,17;1.2385;1.2505;1.2150;1.2330
07/07/2022;1.2930;1.2385;13.098.902;16.737.817,58;1.2930;1.3045;1.2350;1.2778
08/07/2022;1.3005;1.2930;9.698.728;12.559.556,84;1.3005;1.3105;1.2675;1.2950
11/07/2022;1.2260;1.3005;14.742.585;18.397.522,31;1.2260;1.2845;1.2260;1.2479
12/07/2022;1.2915;1.2260;22.991.718;28.413.102,70;1.2915;1.2930;1.2020;1.2369
13/07/2022;1.2500;1.2915;19.125.663;24.247.470,87;1.2500;1.3145;1.2320;1.2674
14/07/2022;1.2690;1.2500;9.605.915;12.172.382,96;1.2690;1.2855;1.2380;1.2672
15/07/2022;1.3070;1.2690;16.793.405;21.809.812,76;1.3070;1.3445;1.2460;1.2984
18/07/2022;1.3340;1.3070;10.155.049;13.462.288,90;1.3340;1.3350;1.3090;1.3257
19/07/2022;1.3510;1.3340;11.001.961;14.770.877,10;1.3510;1.3695;1.3040;1.3426
20/07/2022;1.3520;1.3510;8.312.861;11.233.662,24;1.3520;1.3715;1.3230;1.3514
21/07/2022;1.3335;1.3520;8.769.238;11.705.503,67;1.3335;1.3635;1.3180;1.3348
22/07/2022;1.3525;1.3335;9.811.617;13.295.171,12;1.3525;1.3840;1.3220;1.3550
25/07/2022;1.3450;1.3525;8.072.102;10.930.645,87;1.3450;1.3825;1.3370;1.3541
26/07/2022;1.3400;1.3450;7.110.367;9.505.808,17;1.3400;1.3550;1.3215;1.3369
27/07/2022;1.4100;1.3400;13.919.711;19.421.473,21;1.4100;1.4210;1.3460;1.3952
28/07/2022;1.4295;1.4100;13.656.820;19.419.878,25;1.4295;1.4380;1.3985;1.4220
29/07/2022;1.4115;1.4295;15.273.848;22.060.997,40;1.4115;1.5000;1.3855;1.4444
01/08/2022;1.4000;1.4115;6.269.539;8.795.573,54;1.4000;1.4300;1.3885;1.4029
