Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;10.4350;10.5200;50.291.361;525.237.042,89;10.4350;10.5950;10.3750;10.4436
25/04/2022;10.5850;10.4350;11.997.144;126.670.580,63;10.5850;10.6550;10.3400;10.5663
26/04/2022;10.5450;10.5850;20.122.492;213.959.895,76;10.5450;10.7600;10.4950;10.5909
27/04/2022;10.7550;10.5450;20.138.853;214.879.358,81;10.7550;10.7950;10.3750;10.6717
28/04/2022;11.0950;10.7550;21.337.140;234.501.134,94;11.0950;11.0950;10.8000;10.9924
29/04/2022;11.0100;11.0950;11.291.314;124.468.349,47;11.0100;11.1050;10.9750;11.0252
02/05/2022;10.9200;11.0100;11.375.552;124.256.079,51;10.9200;11.0800;10.8750;10.9630
03/05/2022;11.0350;10.9200;11.304.751;124.174.122,98;11.0350;11.0350;10.8600;11.0046
04/05/2022;11.0050;11.0350;7.086.194;77.967.740,88;11.0050;11.1200;10.9500;11.0027
05/05/2022;10.8150;11.0050;12.163.133;131.585.504,12;10.8150;11.1600;10.7900;10.8777
06/05/2022;10.6650;10.8150;12.751.032;136.356.648,61;10.6650;10.8150;10.6400;10.6955
09/05/2022;10.6100;10.6650;22.478.668;237.588.108,18;10.6100;10.8250;10.5900;10.6486
10/05/2022;10.5550;10.6100;7.966.344;84.222.605,72;10.5550;10.6550;10.5150;10.5727
11/05/2022;10.8750;10.5550;13.238.359;142.604.168,80;10.8750;10.9050;10.4800;10.7752
12/05/2022;10.6300;10.8750;11.047.917;118.136.684,40;10.6300;10.8750;10.5950;10.6878
13/05/2022;10.6800;10.6300;9.295.587;99.215.614,60;10.6800;10.7450;10.5400;10.6731
16/05/2022;10.7850;10.6800;6.829.087;73.572.890,06;10.7850;10.8650;10.5500;10.7739
17/05/2022;10.7900;10.7850;5.239.815;56.594.300,67;10.7900;10.9000;10.7400;10.8018
18/05/2022;10.8850;10.7900;7.604.972;82.683.592,08;10.8850;10.9750;10.7450;10.8701
19/05/2022;10.7650;10.8850;11.886.394;128.436.990,47;10.7650;10.9000;10.7150;10.7900
20/05/2022;11.1000;10.7650;22.219.036;241.268.145,48;11.1000;11.1800;10.8600;11.0793
23/05/2022;11.1450;11.1000;7.518.753;83.583.407,14;11.1450;11.1650;10.9950;11.1187
24/05/2022;11.1300;11.1450;10.132.865;111.827.911,03;11.1300;11.1300;10.8700;11.0370
25/05/2022;11.4150;11.1300;30.635.161;348.420.178,14;11.4150;11.4400;11.1350;11.3576
26/05/2022;11.2850;11.4150;12.081.797;137.056.922,26;11.2850;11.4850;11.2850;11.3273
27/05/2022;11.3050;11.2850;11.606.250;130.840.959,42;11.3050;11.3500;11.1500;11.2718
30/05/2022;11.1100;11.3050;10.874.382;120.974.328,05;11.1100;11.3300;11.0500;11.1237
31/05/2022;11.0350;11.1100;19.012.836;209.694.765,46;11.0350;11.1300;10.9500;11.0289
01/06/2022;10.8450;11.0350;36.540.994;401.301.584,63;10.8450;11.1150;10.8350;10.8802
02/06/2022;10.7900;10.8450;7.206.520;77.780.691,46;10.7900;10.8800;10.6950;10.7930
03/06/2022;10.8100;10.7900;6.303.997;68.059.594,93;10.8100;10.9300;10.6900;10.7963
06/06/2022;10.9000;10.8100;23.235.655;253.166.242,86;10.9000;10.9700;10.7600;10.8839
07/06/2022;10.8350;10.9000;38.127.979;395.891.927,11;10.8350;10.9600;10.8150;10.8419
08/06/2022;10.7400;10.8350;10.540.805;113.366.144,77;10.7400;10.8900;10.6600;10.7489
09/06/2022;10.5900;10.7400;10.169.417;107.773.116,28;10.5900;10.7550;10.5000;10.5978
10/06/2022;10.3100;10.5900;36.148.059;363.423.928,41;10.3100;10.5300;10.2250;10.3347
13/06/2022;10.1000;10.3100;12.548.673;127.027.070,02;10.1000;10.2550;10.0250;10.1209
14/06/2022;9.8720;10.1000;10.712.708;106.520.271,16;9.8720;10.1800;9.8680;9.9385
15/06/2022;9.9840;9.8720;13.131.580;131.104.633,70;9.9840;10.1000;9.8660;9.9850
16/06/2022;9.8780;9.9840;11.573.296;114.338.253,35;9.8780;10.0300;9.7880;9.8788
17/06/2022;9.8600;9.8780;42.068.715;420.841.957,94;9.8600;10.0250;9.7720;9.8806
20/06/2022;10.0100;9.8600;5.907.303;58.946.813,29;10.0100;10.0500;9.8340;9.9861
21/06/2022;9.7380;10.0100;12.420.724;121.949.639,33;9.7380;10.0400;9.6580;9.7798
