Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;20.3200;21.0900;16.716.449;346.525.123,56;20.3200;20.9200;20.3200;20.5115
25/04/2022;20.2500;20.3200;4.190.699;84.440.298,37;20.2500;20.3800;19.8950;20.1495
26/04/2022;20.2600;20.2500;17.156.684;351.031.637,03;20.2600;20.8500;20.2600;20.4903
27/04/2022;20.3100;20.2600;6.015.487;122.393.751,21;20.3100;20.4900;20.1300;20.3194
28/04/2022;20.1400;19.8450;2.813.693;56.551.614,54;20.1400;20.2300;19.9000;20.0987
29/04/2022;20.1000;20.1400;4.975.822;100.430.473,58;20.1000;20.4700;19.9650;20.0861
02/05/2022;20.1400;20.1000;3.568.124;71.055.186,30;20.1400;20.2400;19.0000;19.9137
03/05/2022;20.4700;20.1400;8.194.572;166.547.619,67;20.4700;20.4900;20.1300;20.3932
04/05/2022;20.3400;20.4700;11.366.380;232.328.209,48;20.3400;20.6300;20.2700;20.4129
05/05/2022;20.8800;20.3400;5.410.204;113.340.302,64;20.8800;21.2300;20.6500;20.9494
06/05/2022;20.2500;20.8800;10.052.926;205.371.783,00;20.2500;20.7700;20.1200;20.3464
09/05/2022;20.0700;20.2500;2.863.409;57.511.215,07;20.0700;20.3500;19.9900;20.0860
10/05/2022;19.7100;20.0700;11.926.695;240.554.569,15;19.7100;20.4100;19.6650;19.8498
11/05/2022;19.9500;19.7100;4.675.165;93.257.594,64;19.9500;20.2500;19.6600;19.9831
12/05/2022;20.0900;19.9500;3.991.487;79.837.873,61;20.0900;20.2600;19.5700;19.9988
13/05/2022;20.5400;20.0900;3.119.679;63.640.908,21;20.5400;20.5400;20.0100;20.3993
16/05/2022;20.7200;20.5400;3.345.356;68.884.451,83;20.7200;20.7200;20.2600;20.5911
17/05/2022;20.9000;20.7200;7.530.620;157.368.646,19;20.9000;21.0500;20.6600;20.8921
18/05/2022;20.8000;20.9000;6.884.752;144.390.960,53;20.8000;21.1500;20.7100;20.9307
19/05/2022;20.3100;20.8000;4.150.604;83.979.158,15;20.3100;20.5300;19.9150;20.2330
20/05/2022;20.4200;20.3100;3.627.429;74.407.167,28;20.4200;20.7100;20.0600;20.4628
23/05/2022;20.6600;20.4200;2.651.476;54.678.230,67;20.6600;20.8700;20.3100;20.6161
24/05/2022;20.3800;20.6600;7.119.223;145.965.770,79;20.3800;20.8200;20.2200;20.4466
25/05/2022;20.5900;20.3800;3.298.333;67.520.673,02;20.5900;20.6500;20.1300;20.4712
26/05/2022;21.6500;20.5900;5.889.756;125.279.349,55;21.6500;21.7800;20.6000;21.4243
27/05/2022;22.2900;21.6500;5.300.263;117.579.666,32;22.2900;22.4900;21.7800;22.2038
30/05/2022;22.4900;22.2900;4.443.197;99.983.612,54;22.4900;22.6600;22.3700;22.5040
31/05/2022;22.3900;22.4900;5.495.463;123.276.963,52;22.3900;22.7600;22.2800;22.4330
01/06/2022;22.2300;22.3900;3.150.592;70.472.145,05;22.2300;22.8200;22.0800;22.3679
02/06/2022;22.1900;22.2300;2.263.768;50.109.779,79;22.1900;22.5000;21.9500;22.1356
03/06/2022;22.0700;22.1900;2.134.168;47.201.182,11;22.0700;22.4800;21.9600;22.1169
06/06/2022;22.0000;22.0700;2.767.054;60.941.741,40;22.0000;22.3400;21.8600;22.0241
07/06/2022;22.2200;22.0000;4.376.460;96.468.115,48;22.2200;22.2900;21.4900;22.0427
08/06/2022;23.6300;22.2200;9.445.523;220.454.496,32;23.6300;23.6300;22.8400;23.3543
09/06/2022;23.7500;23.6300;5.884.494;140.017.418,46;23.7500;24.1000;23.4900;23.8350
10/06/2022;22.8000;23.7500;6.807.275;157.804.923,82;22.8000;24.0500;22.5300;22.9616
13/06/2022;22.5700;22.8000;3.009.485;68.135.258,82;22.5700;22.9000;22.4000;22.6396
14/06/2022;22.5100;22.5700;4.150.158;93.567.075,48;22.5100;22.9700;22.2700;22.5584
15/06/2022;22.5500;22.5100;3.256.809;73.330.661,26;22.5500;22.9000;22.1200;22.5229
16/06/2022;22.1100;22.5500;3.032.960;67.056.095,19;22.1100;22.6000;21.7600;22.1092
17/06/2022;21.7400;22.1100;8.021.554;177.884.124,25;21.7400;22.2900;21.5700;21.9097
20/06/2022;21.9900;21.7400;1.556.485;34.276.435,61;21.9900;22.3000;21.7300;22.0217
21/06/2022;22.0700;21.9900;3.208.787;70.863.460,21;22.0700;22.3700;22.0000;22.1060
22/06/2022;21.7500;22.0700;2.984.469;64.727.342,93;21.7500;22.1400;21.2800;21.6881
23/06/2022;21.4700;21.7500;3.360.330;72.133.047,96;21.4700;21.7300;21.1000;21.4661
24/06/2022;21.9300;21.4700;6.358.092;136.094.475,66;21.9300;21.9900;20.7300;21.5629
27/06/2022;21.8200;21.9300;2.572.349;56.428.088,44;21.8200;22.2700;21.6200;21.9118
28/06/2022;21.8600;21.8200;3.127.397;68.381.614,71;21.8600;21.9900;21.6300;21.8601
29/06/2022;21.9100;21.8600;2.427.367;53.066.865,66;21.9100;22.0600;21.4900;21.8619
30/06/2022;21.5900;21.9100;3.404.510;73.266.583,34;21.5900;21.7500;21.2600;21.5216
01/07/2022;21.9700;21.5900;4.939.250;107.295.784,10;21.9700;22.1500;21.3700;21.9507
04/07/2022;22.0600;21.9700;1.196.351;26.420.856,17;22.0600;22.2300;21.9300;22.0814
05/07/2022;21.7700;22.0600;2.507.338;54.626.379,39;21.7700;22.2700;21.3900;21.7866
06/07/2022;22.6200;21.7700;3.690.686;83.244.808,43;22.6200;22.8300;22.0800;22.5554
07/07/2022;23.1500;22.6200;3.573.445;82.340.216,65;23.1500;23.1500;22.6900;23.0423
08/07/2022;23.3300;23.1500;3.257.969;75.950.656,53;23.3300;23.6000;22.9400;23.2922
11/07/2022;23.1000;23.3300;2.195.634;50.277.465,09;23.1000;23.3800;22.8100;23.1176
12/07/2022;23.8300;23.1000;3.782.703;89.491.850,36;23.8300;23.8700;22.8300;23.6582
13/07/2022;23.4300;23.8300;3.270.989;77.008.639,45;23.4300;23.9500;23.2400;23.5429
14/07/2022;23.4100;23.4300;2.898.940;67.686.393,05;23.4100;23.5300;23.0800;23.3515
15/07/2022;24.2300;23.4100;4.138.967;99.229.870,90;24.2300;24.3900;23.2500;24.0396
18/07/2022;24.3800;24.2300;5.855.476;142.907.363,84;24.3800;24.6500;23.9800;24.3487
19/07/2022;25.0100;24.3800;4.099.375;101.968.946,07;25.0100;25.1000;24.1500;24.8743
20/07/2022;24.7500;25.0100;4.551.533;113.275.719,97;24.7500;25.2100;24.5800;24.8054
21/07/2022;24.7500;24.7500;2.606.801;64.656.791,72;24.7500;25.0000;24.6000;24.8031
22/07/2022;24.5600;24.7500;2.574.708;63.434.246,56;24.5600;24.9100;24.5600;24.6362
25/07/2022;24.5100;24.5600;1.850.979;45.352.025,07;24.5100;24.6800;24.1000;24.5016
26/07/2022;23.8500;24.5100;4.435.722;106.334.631,46;23.8500;24.4900;23.7300;23.9723
27/07/2022;23.7300;23.8500;1.833.803;43.582.763,16;23.7300;24.1300;23.5900;23.7663
28/07/2022;23.6000;23.7300;2.686.513;63.358.011,75;23.6000;23.9500;23.3300;23.5837
29/07/2022;23.6900;23.6000;3.025.535;71.738.809,16;23.6900;23.9100;23.5800;23.7087
01/08/2022;23.8700;23.6900;1.520.068;36.274.379,02;23.8700;24.0300;23.6800;23.8637
02/08/2022;23.6400;23.8700;1.862.293;44.105.823,36;23.6400;23.9900;23.6200;23.6836
03/08/2022;23.9600;23.6400;2.225.012;53.049.488,25;23.9600;23.9600;23.5500;23.8423
04/08/2022;24.2600;23.9600;2.904.783;70.608.994,90;24.2600;24.7400;24.0500;24.3078
05/08/2022;24.0900;24.2600;1.769.721;42.692.682,37;24.0900;24.3000;23.9500;24.1240
08/08/2022;25.1500;24.0900;2.344.454;58.481.785,49;25.1500;25.1500;24.2200;24.9447
09/08/2022;24.6400;25.1500;3.169.632;78.696.434,18;24.6400;25.1600;24.5900;24.8010
10/08/2022;25.2200;24.6400;2.465.516;61.031.896,06;25.2200;25.2300;24.4800;25.0484
11/08/2022;25.3700;25.2200;3.000.924;76.241.760,01;25.3700;25.6500;25.1700;25.4195
12/08/2022;25.3700;25.3700;1.908.532;48.470.835,55;25.3700;25.6700;25.1900;25.3969
15/08/2022;25.5500;25.3700;1.685.275;42.948.581,46;25.5500;25.6400;25.3400;25.5125
16/08/2022;25.8700;25.5500;2.272.476;58.490.961,81;25.8700;25.9000;25.2700;25.7389
17/08/2022;25.3400;25.8700;1.865.165;47.565.653,41;25.3400;26.0800;25.2900;25.5021
18/08/2022;25.0400;25.3400;1.741.154;43.753.305,72;25.0400;25.4500;24.9600;25.1289
19/08/2022;24.7800;25.0400;2.605.079;64.526.928,57;24.7800;25.1100;24.7200;24.8538
22/08/2022;24.1500;24.7800;2.018.758;48.964.018,95;24.1500;24.7600;23.9700;24.2175
23/08/2022;23.6800;24.1500;3.918.228;93.388.460,22;23.6800;24.1600;23.5300;23.7471
24/08/2022;23.6000;23.6800;1.815.281;42.793.606,28;23.6000;23.7300;23.2100;23.5741
25/08/2022;23.1400;23.6000;2.253.894;52.362.060,69;23.1400;23.8200;22.9400;23.2339
26/08/2022;22.2700;23.1400;2.755.260;62.094.370,48;22.2700;23.2500;22.1500;22.5367
29/08/2022;22.0200;22.2700;2.889.595;63.399.967,05;22.0200;22.1300;21.5800;21.9408
30/08/2022;22.1400;22.0200;3.392.430;75.656.361,83;22.1400;22.7100;21.9800;22.3015
31/08/2022;21.5500;22.1400;8.864.180;194.922.855,98;21.5500;22.2600;21.4500;21.6362
01/09/2022;21.2500;21.5500;2.824.662;59.906.886,46;21.2500;21.4600;20.9700;21.2085
02/09/2022;21.7000;21.2500;2.341.429;50.483.613,30;21.7000;21.7400;21.2500;21.5610
05/09/2022;21.2500;21.7000;2.682.155;56.788.969,20;21.2500;21.3600;20.8500;21.1747
06/09/2022;21.4900;21.2500;2.444.760;52.683.696,00;21.4900;21.9200;21.2500;21.5496
07/09/2022;21.4400;21.4900;2.483.388;52.962.206,11;21.4400;21.4900;20.9800;21.3266
08/09/2022;21.1900;21.4400;3.929.570;82.631.480,25;21.1900;21.4000;20.5300;21.0281
09/09/2022;21.4700;21.1900;2.712.574;57.900.102,62;21.4700;21.6800;21.1100;21.4599
12/09/2022;22.3800;21.4700;4.193.826;93.476.501,57;22.3800;22.6000;21.6300;22.2842
13/09/2022;21.9500;22.3800;3.817.228;84.570.414,21;21.9500;22.5700;21.9400;22.1549
14/09/2022;22.7800;21.9500;6.136.209;140.307.557,27;22.7800;23.2900;22.2600;22.8609
15/09/2022;22.4200;22.7800;3.925.953;87.970.667,10;22.4200;22.9300;21.9500;22.4075
16/09/2022;22.4500;22.4200;6.302.600;142.436.147,96;22.4500;22.5500;21.9500;22.4070
19/09/2022;22.4900;22.4500;1.718.872;38.632.921,26;22.4900;22.7200;22.1000;22.4757
20/09/2022;21.8600;22.4900;3.266.802;71.788.538,82;21.8600;22.6600;21.7900;21.9703
21/09/2022;22.0600;21.8600;2.066.895;45.464.441,09;22.0600;22.1000;21.4600;21.9965
22/09/2022;21.8800;22.0600;2.042.415;44.744.514,30;21.8800;22.1100;21.6100;21.9077
23/09/2022;21.0400;21.8800;3.104.057;65.892.338,06;21.0400;21.8600;21.0400;21.2245
26/09/2022;21.0000;21.0400;2.433.160;51.361.154,19;21.0000;21.4700;20.8800;21.1088
27/09/2022;21.1800;21.0000;2.419.235;51.299.843,73;21.1800;21.4500;21.0400;21.2050
28/09/2022;21.3900;21.1800;3.507.902;74.151.301,84;21.3900;21.3900;20.6500;21.1540
29/09/2022;21.0000;21.3900;3.791.682;79.482.994,22;21.0000;21.2600;20.6200;20.9625
30/09/2022;21.2800;21.0000;3.230.342;68.349.562,16;21.2800;21.3000;20.7800;21.1590
03/10/2022;21.3000;21.2800;2.456.382;52.168.611,57;21.3000;21.4300;20.8400;21.2380
04/10/2022;22.0800;21.3000;3.267.155;72.072.425,45;22.0800;22.2200;21.4400;22.0081
05/10/2022;21.8700;22.0800;2.325.425;50.835.593,33;21.8700;22.1600;21.6600;21.8608
06/10/2022;21.7400;21.8700;2.489.738;54.438.401,31;21.7400;22.2700;21.5900;21.8402
07/10/2022;21.5400;21.7400;2.065.677;44.609.256,55;21.5400;21.8000;21.4800;21.5955
10/10/2022;21.7600;21.5400;2.025.680;43.756.159,54;21.7600;21.9500;21.3500;21.7645
11/10/2022;22.0800;21.7600;1.831.900;40.322.342,80;22.0800;22.1700;21.6500;22.0112
12/10/2022;22.0400;22.0800;2.991.218;65.922.036,05;22.0400;22.3700;21.7700;22.0385
13/10/2022;22.0200;22.0400;2.715.604;59.482.766,28;22.0200;22.4000;21.4300;21.9041
14/10/2022;21.8700;22.0200;2.913.257;64.282.908,94;21.8700;22.4800;21.8600;22.0544
17/10/2022;22.3800;21.8700;2.735.570;60.873.877,69;22.3800;22.3800;21.8600;22.2789
18/10/2022;22.7500;22.3800;7.626.535;173.886.817,04;22.7500;23.0800;22.4400;22.7843
19/10/2022;22.7300;22.7500;24.285.791;549.740.894,11;22.7300;22.9900;22.4500;22.7217
20/10/2022;22.9900;22.7300;3.121.176;71.253.356,48;22.9900;23.0600;22.4700;22.9013
21/10/2022;22.2900;22.9900;5.655.174;125.486.304,40;22.2900;22.7100;21.7600;22.1738
