Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;9.2500;9.4200;815.633;7.510.125,27;9.2500;9.3200;9.0850;9.2077
25/04/2022;9.2000;9.2500;541.77;5.028.477,38;9.2000;9.4500;9.1000;9.2816
26/04/2022;9.1650;9.2000;486.575;4.507.186,04;9.1650;9.3650;9.1350;9.2631
27/04/2022;9.1850;9.1650;911.016;8.397.305,00;9.1850;9.2600;9.0450;9.1768
28/04/2022;9.2050;9.1850;413.459;3.807.600,37;9.2050;9.3300;9.0750;9.2091
29/04/2022;9.7650;9.2050;1.412.839;13.795.771,69;9.7650;9.9600;9.4500;9.7646
02/05/2022;9.6500;9.7650;1.025.995;9.850.322,06;9.6500;9.8100;9.3900;9.6007
03/05/2022;9.8500;9.6500;689.182;6.775.836,69;9.8500;9.9300;9.7150;9.8317
04/05/2022;9.7250;9.8500;466.484;4.570.282,59;9.7250;9.8950;9.7150;9.7983
05/05/2022;9.6200;9.7250;821.445;8.057.729,98;9.6200;10.0600;9.5500;9.8092
06/05/2022;9.5000;9.6200;497.115;4.732.411,65;9.5000;9.6650;9.4400;9.5197
09/05/2022;9.3300;9.5000;607.942;5.738.069,34;9.3300;9.6150;9.3000;9.4385
10/05/2022;9.3450;9.3300;551.861;5.178.554,06;9.3450;9.4700;9.2950;9.3838
11/05/2022;9.4000;9.3450;408.471;3.828.310,14;9.4000;9.4300;9.2300;9.3723
12/05/2022;9.3950;9.4000;500.568;4.663.246,13;9.3950;9.4550;9.1750;9.3159
13/05/2022;9.4900;9.3950;451.627;4.299.817,24;9.4900;9.5950;9.3950;9.5207
16/05/2022;9.5150;9.4900;386.856;3.684.859,88;9.5150;9.5950;9.3800;9.5251
17/05/2022;9.6450;9.5150;568.166;5.465.598,20;9.6450;9.7350;9.3800;9.6197
18/05/2022;9.4100;9.6450;791.979;7.515.210,54;9.4100;9.6250;9.3850;9.4892
19/05/2022;9.5100;9.4100;513.051;4.838.307,22;9.5100;9.5300;9.2800;9.4305
20/05/2022;9.6150;9.5100;629.913;6.081.133,32;9.6150;9.7700;9.4950;9.6539
