Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;1.9000;1.9400;3.282.265;6.293.934,30;1.9000;1.9440;1.9000;1.9176
25/04/2022;1.8720;1.9000;3.116.341;5.856.282,17;1.8720;1.8930;1.8720;1.8792
26/04/2022;1.8650;1.8720;2.664.869;5.018.326,15;1.8650;1.9100;1.8650;1.8831
27/04/2022;1.8670;1.8650;3.646.812;6.789.958,27;1.8670;1.8850;1.8390;1.8619
28/04/2022;1.7450;1.8670;14.303.759;25.420.720,24;1.7450;1.9170;1.7260;1.7772
29/04/2022;1.7450;1.7450;11.870.221;20.653.850,13;1.7450;1.7980;1.7050;1.7400
02/05/2022;1.7210;1.7450;5.209.032;9.031.455,50;1.7210;1.7530;1.7110;1.7338
03/05/2022;1.7560;1.7210;3.799.012;6.668.956,24;1.7560;1.7650;1.7360;1.7554
04/05/2022;1.7240;1.7560;5.040.644;8.747.905,63;1.7240;1.7710;1.7240;1.7356
05/05/2022;1.7120;1.7240;6.068.758;10.494.309,61;1.7120;1.7480;1.7120;1.7292
06/05/2022;1.7070;1.7120;5.067.940;8.670.856,04;1.7070;1.7280;1.6920;1.7109
09/05/2022;1.7060;1.7070;3.893.037;6.663.259,56;1.7060;1.7340;1.7040;1.7116
10/05/2022;1.7220;1.7060;3.372.543;5.819.558,06;1.7220;1.7400;1.7110;1.7256
11/05/2022;1.7460;1.7220;2.754.539;4.783.464,07;1.7460;1.7480;1.7130;1.7366
12/05/2022;1.7260;1.7460;4.878.869;8.419.675,70;1.7260;1.7430;1.7150;1.7257
13/05/2022;1.7240;1.7260;4.611.247;7.945.411,76;1.7240;1.7380;1.7160;1.7231
16/05/2022;1.7340;1.7240;3.280.751;5.690.089,22;1.7340;1.7460;1.7200;1.7344
17/05/2022;1.7710;1.7340;13.997.701;24.522.166,40;1.7710;1.7710;1.7460;1.7594
18/05/2022;1.7640;1.7710;4.850.405;8.608.288,63;1.7640;1.7880;1.7640;1.7730
19/05/2022;1.7750;1.7640;4.378.168;7.740.427,28;1.7750;1.7860;1.7480;1.7680
20/05/2022;1.7730;1.7750;4.653.735;8.316.983,38;1.7730;1.8090;1.7730;1.7871
23/05/2022;1.7960;1.7730;3.951.922;7.088.642,61;1.7960;1.8040;1.7830;1.7937
24/05/2022;1.7940;1.7960;4.180.392;7.515.597,46;1.7940;1.8090;1.7850;1.7978
25/05/2022;1.8110;1.7940;6.625.104;11.949.437,87;1.8110;1.8180;1.7910;1.8037
26/05/2022;1.8430;1.8110;8.507.047;15.566.306,49;1.8430;1.8430;1.8070;1.8299
27/05/2022;1.7750;1.7580;6.845.024;12.133.563,05;1.7750;1.7830;1.7570;1.7726
30/05/2022;1.7530;1.7750;2.629.509;4.630.063,37;1.7530;1.7850;1.7510;1.7608
31/05/2022;1.7280;1.7530;23.125.576;40.307.215,88;1.7280;1.7570;1.7280;1.7325
01/06/2022;1.7280;1.7280;2.435.525;4.229.476,29;1.7280;1.7520;1.7270;1.7366
02/06/2022;1.7310;1.7280;1.539.794;2.669.068,98;1.7310;1.7430;1.7260;1.7334
03/06/2022;1.7430;1.7310;2.011.518;3.508.335,10;1.7430;1.7500;1.7360;1.7441
06/06/2022;1.7520;1.7430;2.704.717;4.748.561,28;1.7520;1.7630;1.7460;1.7557
07/06/2022;1.7560;1.7520;4.294.429;7.565.380,07;1.7560;1.7720;1.7460;1.7572
08/06/2022;1.7410;1.7560;2.078.128;3.623.129,10;1.7410;1.7650;1.7380;1.7435
09/06/2022;1.7220;1.7410;5.328.091;9.209.457,31;1.7220;1.7480;1.7190;1.7287
10/06/2022;1.6800;1.7220;6.318.913;10.687.594,66;1.6800;1.7210;1.6800;1.6914
13/06/2022;1.6540;1.6800;5.353.539;8.873.664,05;1.6540;1.6810;1.6470;1.6575
14/06/2022;1.6690;1.6540;3.841.031;6.390.271,57;1.6690;1.6740;1.6470;1.6637
15/06/2022;1.7170;1.6690;3.794.357;6.496.568,48;1.7170;1.7320;1.6890;1.7142
16/06/2022;1.6890;1.7170;3.039.811;5.140.713,22;1.6890;1.7160;1.6810;1.6911
17/06/2022;1.6850;1.6890;3.770.572;6.362.716,84;1.6850;1.7020;1.6680;1.6873
