Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;6.9950;7.2400;652.096;4.628.980,71;6.9950;7.2300;6.9950;7.0986
25/04/2022;7.2300;6.9950;1.242.292;8.833.568,31;7.2300;7.3150;6.8500;7.1762
26/04/2022;7.4100;7.2300;1.507.522;11.171.783,88;7.4100;7.5500;7.1800;7.4107
27/04/2022;7.3500;7.4100;775.131;5.709.588,46;7.3500;7.4700;7.2600;7.3680
28/04/2022;7.6750;7.3500;1.105.253;8.394.932,86;7.6750;7.6750;7.4050;7.5955
29/04/2022;7.9600;7.6750;1.509.680;11.928.334,81;7.9600;8.0250;7.5900;7.9012
02/05/2022;8.0900;7.9600;1.117.169;9.014.162,86;8.0900;8.1900;7.8100;8.0688
03/05/2022;7.9800;8.0900;1.300.057;10.426.595,03;7.9800;8.2400;7.8300;8.0201
04/05/2022;7.9950;7.9800;726.501;5.823.018,10;7.9950;8.0950;7.9000;8.0153
05/05/2022;7.9000;7.9950;1.163.084;9.365.709,75;7.9000;8.2000;7.9000;7.9967
06/05/2022;7.9350;7.9000;659.148;5.194.095,94;7.9350;8.0000;7.6000;7.8800
09/05/2022;7.6700;7.9350;766.791;5.990.144,96;7.6700;7.9900;7.6650;7.8120
10/05/2022;6.9050;7.6700;3.621.431;25.915.173,13;6.9050;7.9900;6.8900;7.1561
11/05/2022;7.0250;6.9050;1.094.954;7.649.817,70;7.0250;7.1100;6.8600;6.9864
12/05/2022;6.8400;7.0250;1.554.656;10.777.254,21;6.8400;7.1000;6.7850;6.9253
13/05/2022;6.8750;6.8400;921.951;6.257.682,36;6.8750;6.9200;6.6850;6.7874
16/05/2022;6.9100;6.8750;690.867;4.780.700,85;6.9100;7.0450;6.8100;6.9199
17/05/2022;7.0850;6.9100;1.218.829;8.595.916,09;7.0850;7.2000;6.9500;7.0919
18/05/2022;6.9450;7.0850;931.963;6.536.821,10;6.9450;7.1600;6.9450;7.0140
19/05/2022;6.9000;6.9450;713.737;4.960.093,01;6.9000;7.0600;6.8600;6.9495
20/05/2022;6.9650;6.9000;719.012;5.023.262,34;6.9650;7.0700;6.9250;6.9863
23/05/2022;6.9550;6.9650;561.371;3.899.881,90;6.9550;7.0800;6.8800;6.9471
24/05/2022;6.7900;6.9550;792.532;5.443.737,88;6.7900;6.9900;6.7800;6.8688
25/05/2022;6.9400;6.7900;887.2130;6.100.128,68;6.9400;6.9750;6.7600;6.8756
26/05/2022;7.1850;6.9400;800.2100;5.681.777,83;7.1850;7.2000;6.9200;7.1004
27/05/2022;7.2600;7.1850;925.1700;6.713.447,78;7.2600;7.3200;7.1800;7.2564
30/05/2022;7.4500;7.2600;708.7160;5.304.879,61;7.4500;7.5900;7.3400;7.4852
31/05/2022;7.4350;7.4500;642.3910;4.792.206,79;7.4350;7.5650;7.3750;7.4600
01/06/2022;7.3800;7.4350;430.051;3.211.994,51;7.3800;7.5900;7.3650;7.4689
02/06/2022;7.4350;7.3800;278.751;2.074.701,90;7.4350;7.5100;7.3900;7.4428
03/06/2022;7.4600;7.4350;644.052;4.836.928,78;7.4600;7.5950;7.4600;7.5102
06/06/2022;7.5150;7.4600;374.317;2.812.606,55;7.5150;7.5750;7.3950;7.5140
07/06/2022;7.6500;7.5150;638.366;4.879.778,23;7.6500;7.7300;7.5300;7.6442
08/06/2022;7.6250;7.6500;453.678;3.459.546,90;7.6250;7.7600;7.5400;7.6256
09/06/2022;7.5200;7.6250;483.196;3.670.201,09;7.5200;7.6900;7.5200;7.5957
10/06/2022;7.0800;7.5200;828.914;5.981.358,22;7.0800;7.4400;7.0800;7.2159
13/06/2022;6.4600;7.0800;2.381.273;15.617.637,47;6.4600;6.9800;6.2900;6.5585
14/06/2022;6.4250;6.4600;1.079.092;6.963.420,94;6.4250;6.5800;6.3500;6.4530
15/06/2022;6.6000;6.4250;792.438;5.188.043,11;6.6000;6.6200;6.4500;6.5469
16/06/2022;6.6250;6.6000;1.029.465;6.805.143,54;6.6250;6.7700;6.4350;6.6104
17/06/2022;6.6750;6.6250;899.263;6.015.779,35;6.6750;6.7900;6.6150;6.6897
20/06/2022;6.9300;6.6750;667.249;4.571.305,00;6.9300;6.9350;6.6850;6.8510
21/06/2022;6.9000;6.9300;763.375;5.317.421,64;6.9000;7.0750;6.8750;6.9657
22/06/2022;6.7900;6.9000;746.788;5.042.777,67;6.7900;6.8400;6.4900;6.7526
23/06/2022;6.6400;6.7900;771.91;5.208.137,70;6.6400;6.9100;6.6400;6.7471
24/06/2022;6.8200;6.6400;640.665;4.336.860,45;6.8200;6.8700;6.6650;6.7693
27/06/2022;6.6100;6.8200;1.049.839;6.970.596,75;6.6100;6.8900;6.5600;6.6397
28/06/2022;6.7250;6.6100;1.209.704;8.163.829,60;6.7250;6.8200;6.6700;6.7486
29/06/2022;6.3150;6.7250;1.551.735;9.938.437,53;6.3150;6.6450;6.2700;6.4047
30/06/2022;6.0550;6.3150;1.397.986;8.485.404,83;6.0550;6.2500;5.9200;6.0697
01/07/2022;5.9650;6.0550;1.234.343;7.384.810,78;5.9650;6.0800;5.9000;5.9828
04/07/2022;5.8750;5.9650;838.5060;4.990.250,82;5.8750;6.1150;5.8700;5.9514
05/07/2022;5.6800;5.8750;1.111.862;6.400.570,51;5.6800;5.9650;5.6400;5.7566
06/07/2022;5.6000;5.6800;893.597;5.076.176,99;5.6000;5.8200;5.5850;5.6806
07/07/2022;5.7450;5.6000;1.073.344;6.126.175,43;5.7450;5.7700;5.5950;5.7076
08/07/2022;5.8250;5.7450;859.18;4.987.384,37;5.8250;5.8550;5.7350;5.8048
11/07/2022;5.7150;5.8250;628.598;3.612.832,99;5.7150;5.8450;5.6650;5.7474
12/07/2022;5.6600;5.7150;912.189;5.123.643,63;5.6600;5.7600;5.5050;5.6169
13/07/2022;5.6600;5.6600;807.375;4.561.210,49;5.6600;5.7600;5.5550;5.6494
14/07/2022;5.6100;5.6600;633.568;3.575.193,69;5.6100;5.7550;5.5400;5.6430
15/07/2022;5.7800;5.6100;778.632;4.463.960,64;5.7800;5.8500;5.5800;5.7331
18/07/2022;5.8750;5.7800;730.582;4.264.251,75;5.8750;5.8800;5.7600;5.8368
19/07/2022;5.9700;5.8750;757.965;4.478.065,97;5.9700;5.9900;5.7850;5.9080
20/07/2022;6.0000;5.9700;742.352;4.431.725,88;6.0000;6.0900;5.8550;5.9698
21/07/2022;5.8150;6.0000;1.161.068;6.838.174,34;5.8150;6.0200;5.7700;5.8835
22/07/2022;5.8850;5.8150;750.325;4.436.991,85;5.8850;5.9600;5.8150;5.9134
25/07/2022;5.9150;5.8850;696.984;4.115.232,79;5.9150;5.9700;5.8000;5.9043
26/07/2022;5.8450;5.9150;851.359;4.988.140,59;5.8450;6.0000;5.7850;5.8590
27/07/2022;6.2150;5.8450;1.233.817;7.558.356,39;6.2150;6.2800;5.9150;6.1260
28/07/2022;6.0950;6.2150;809.93;4.988.314,44;6.0950;6.2700;6.0400;6.1589
29/07/2022;6.1400;6.0950;1.040.140;6.487.708,94;6.1400;6.3600;6.1300;6.2373
01/08/2022;6.1300;6.1400;527.516;3.246.851,15;6.1300;6.2250;6.1000;6.1550
02/08/2022;6.1200;6.1300;627.805;3.816.548,95;6.1200;6.1300;6.0150;6.0792
03/08/2022;6.1500;6.1200;686.1970;4.213.387,97;6.1500;6.2050;6.0750;6.1402
04/08/2022;6.2250;6.1500;492.9000;3.062.346,22;6.2250;6.2550;6.1050;6.2129
05/08/2022;6.2300;6.2250;450.5710;2.806.525,05;6.2300;6.2800;6.1450;6.2288
08/08/2022;6.3300;6.2300;1.368.417;8.583.596,72;6.3300;6.3700;6.1300;6.2962
09/08/2022;6.3050;6.3300;462.2270;2.931.553,86;6.3050;6.4200;6.2750;6.3422
10/08/2022;6.4000;6.3050;627.2670;3.981.331,29;6.4000;6.4000;6.2300;6.3471
11/08/2022;6.3550;6.4000;444.16;2.843.875,21;6.3550;6.4650;6.3400;6.4028
12/08/2022;6.4400;6.3550;351.806;2.257.221,12;6.4400;6.4550;6.3450;6.4161
15/08/2022;6.5200;6.4400;367.64;2.378.410,65;6.5200;6.5200;6.3900;6.4694
16/08/2022;6.4850;6.5200;502.388;3.266.251,08;6.4850;6.5600;6.4400;6.5014
17/08/2022;6.3700;6.4850;650.165;4.175.944,85;6.3700;6.5250;6.3500;6.4229
18/08/2022;6.3650;6.3700;252.916;1.611.958,45;6.3650;6.4050;6.3350;6.3735
19/08/2022;6.2200;6.3650;483.87;3.024.310,13;6.2200;6.4000;6.2100;6.2503
22/08/2022;6.1200;6.2200;533.301;3.262.280,26;6.1200;6.2000;6.0600;6.1171
23/08/2022;6.1400;6.1200;525.758;3.240.356,94;6.1400;6.2200;6.0600;6.1632
24/08/2022;6.1700;6.1400;528.967;3.238.794,62;6.1700;6.2100;6.0550;6.1229
