Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;10.8200;10.8500;1.383.421;15.017.193,40;10.8200;10.9500;10.6500;10.8551
25/04/2022;10.8200;10.8200;1.362.231;14.753.421,03;10.8200;10.9000;10.6800;10.8303
26/04/2022;10.7400;10.8200;911.783;9.895.626,95;10.7400;10.9500;10.7100;10.8531
27/04/2022;10.6600;10.7400;716.899;7.644.370,00;10.6600;10.7700;10.4900;10.6631
28/04/2022;10.5500;10.6600;713.104;7.555.949,33;10.5500;10.8000;10.4700;10.5959
29/04/2022;10.4100;10.5500;1.371.613;14.376.485,07;10.4100;10.5800;10.3800;10.4814
02/05/2022;10.2200;10.4100;779.101;8.008.142,12;10.2200;10.4200;10.1700;10.2787
03/05/2022;10.2100;10.2200;1.377.293;14.098.898,41;10.2100;10.3300;10.1700;10.2146
04/05/2022;10.1000;10.2100;730.381;7.407.703,12;10.1000;10.3600;10.0900;10.1433
05/05/2022;10.1300;10.1000;768.002;7.832.977,48;10.1300;10.3300;10.1200;10.1992
06/05/2022;9.8600;10.1300;887.428;8.776.449,17;9.8600;10.0700;9.7600;9.8898
09/05/2022;9.7800;9.8600;780.781;7.681.024,54;9.7800;9.9650;9.7750;9.8376
10/05/2022;9.8050;9.7800;600.539;5.904.702,54;9.8050;9.9400;9.7800;9.8323
11/05/2022;9.9350;9.8050;928.95;9.249.648,76;9.9350;10.0500;9.8550;9.9571
12/05/2022;9.9050;9.9350;583.585;5.772.934,59;9.9050;9.9500;9.7500;9.8922
13/05/2022;10.2900;9.9050;1.078.521;11.018.695,31;10.2900;10.3100;9.9850;10.2168
16/05/2022;10.1900;10.0400;757.12;7.716.458,47;10.1900;10.2900;9.9800;10.1919
17/05/2022;10.3500;10.1900;928.913;9.615.223,01;10.3500;10.4100;10.1000;10.3510
18/05/2022;10.4500;10.3500;1.053.626;11.012.933,41;10.4500;10.5500;10.3500;10.4524
19/05/2022;10.2400;10.4500;868.915;8.907.299,71;10.2400;10.3600;10.1200;10.2511
20/05/2022;10.3400;10.2400;841.403;8.740.197,50;10.3400;10.5000;10.1500;10.3876
23/05/2022;10.6000;10.3400;1.101.946;11.641.973,82;10.6000;10.6000;10.3700;10.5649
24/05/2022;10.6800;10.6000;963.8800;10.300.336,91;10.6800;10.7400;10.6000;10.6863
