Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;28.7300;28.9400;376.499;10.829.769,87;28.7300;29.0300;28.5000;28.7644
25/04/2022;29.0400;28.7300;334.782;9.700.304,71;29.0400;29.2500;28.1700;28.9750
26/04/2022;28.9600;29.0400;514.95;14.950.791,69;28.9600;29.5000;28.8700;29.0335
27/04/2022;29.4300;28.9600;445.493;13.054.119,53;29.4300;29.4300;28.5900;29.3026
28/04/2022;29.5500;29.4300;447.265;13.187.197,52;29.5500;29.7500;29.0000;29.4841
29/04/2022;28.7300;29.5500;593.866;17.099.932,95;28.7300;29.5200;28.5500;28.7943
02/05/2022;28.2600;28.7300;418.103;11.802.861,44;28.2600;29.0600;26.9100;28.2296
03/05/2022;28.7900;28.2600;362.89;10.403.840,41;28.7900;28.8100;28.0500;28.6694
04/05/2022;28.9600;28.7900;248.113;7.188.124,40;28.9600;29.1800;28.7500;28.9715
05/05/2022;28.7400;28.9600;327.173;9.429.059,21;28.7400;29.2000;28.6800;28.8198
06/05/2022;28.2300;28.7400;270.848;7.672.200,32;28.2300;28.7000;28.1100;28.3266
09/05/2022;27.7000;28.2300;315.508;8.781.474,74;27.7000;28.4400;27.6500;27.8328
10/05/2022;27.6200;27.7000;380.546;10.530.035,31;27.6200;28.1000;27.5800;27.6709
11/05/2022;28.2500;27.6200;421.868;11.859.404,69;28.2500;28.2500;27.4900;28.1116
12/05/2022;26.3400;28.2500;886.555;23.568.117,51;26.3400;28.2900;26.1100;26.5839
13/05/2022;25.9600;26.3400;1.161.002;30.011.461,36;25.9600;26.4600;25.3200;25.8496
16/05/2022;26.5900;25.9600;458.602;12.139.787,12;26.5900;26.7300;25.9200;26.4713
17/05/2022;26.3700;26.5900;260.941;6.902.878,05;26.3700;26.8200;26.3200;26.4538
18/05/2022;27.6600;26.3700;747.897;20.443.514,29;27.6600;27.6600;26.1000;27.4862
19/05/2022;27.5200;27.6600;282.275;7.808.641,23;27.5200;28.1000;27.5100;27.6632
20/05/2022;27.6800;27.5200;337.127;9.346.636,79;27.6800;28.0200;27.5600;27.7223
23/05/2022;28.1700;27.6800;221.123;6.219.814,65;28.1700;28.3000;27.8200;28.1283
24/05/2022;28.0400;28.1700;258.899;7.225.149,49;28.0400;28.0400;27.3500;27.9072
25/05/2022;28.1900;28.0400;517.047;14.580.407,06;28.1900;28.5100;27.9300;28.1693
26/05/2022;28.6000;28.1900;241.3240;6.889.351,07;28.6000;28.6300;28.2800;28.5481
27/05/2022;28.3800;28.6000;371.9030;10.527.933,19;28.3800;28.6600;27.8300;28.3083
30/05/2022;28.4000;28.3800;222.847;6.311.189,11;28.4000;28.6100;27.9800;28.3207
31/05/2022;28.1400;28.4000;4.629.489;130.303.111,66;28.1400;28.5700;27.8600;28.1463
01/06/2022;27.9500;28.1400;350.767;9.793.743,72;27.9500;28.4600;27.5900;27.9209
02/06/2022;27.8200;27.9500;418.011;11.639.733,18;27.8200;27.9700;27.5600;27.7986
03/06/2022;28.1200;27.8200;128.792;3.614.717,43;28.1200;28.2000;27.8000;28.0663
06/06/2022;28.3400;28.1200;167.549;4.745.795,17;28.3400;28.6300;28.1300;28.3248
07/06/2022;28.7700;28.3400;767.123;21.895.121,14;28.7700;28.7700;28.0900;28.6973
08/06/2022;28.1500;28.7700;224.867;6.351.594,23;28.1500;28.8600;27.9700;28.2460
09/06/2022;28.1300;28.1500;254.572;7.160.327,93;28.1300;28.3100;27.8600;28.1269
10/06/2022;26.9900;28.1300;491.405;13.287.330,94;26.9900;27.8200;26.6700;27.0395
13/06/2022;27.4900;26.9900;385.88;10.576.531,94;27.4900;27.6700;26.6100;27.4089
14/06/2022;27.0700;27.4900;464.788;12.701.541,77;27.0700;28.1600;27.0500;27.3276
15/06/2022;27.8400;27.0700;581.166;16.179.458,83;27.8400;28.2100;27.1400;27.8397
16/06/2022;28.3100;27.8400;608.382;17.184.767,12;28.3100;28.4900;27.6300;28.2467
17/06/2022;27.1100;28.3100;1.755.226;47.684.777,93;27.1100;28.3500;27.1100;27.2354
20/06/2022;27.6000;27.1100;332.904;9.135.419,98;27.6000;27.6300;26.8100;27.4619
21/06/2022;26.7500;27.6000;288.252;7.739.891,47;26.7500;27.6100;26.7000;26.8511
