Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;76.3000;76.3800;46.17;3.537.018,00;76.3000;77.1200;76.0800;76.6086
25/04/2022;77.4600;76.3000;61.034;4.625.217,98;77.4600;77.4600;71.0200;75.7810
26/04/2022;70.6600;77.4600;173.975;12.644.525,88;70.6600;78.3000;69.9000;72.6801
27/04/2022;71.7000;70.6600;55.466;3.959.786,54;71.7000;71.9400;70.4400;71.3912
28/04/2022;71.8400;71.7000;51.623;3.695.808,10;71.8400;72.3800;70.6200;71.5923
29/04/2022;72.9800;71.8400;51.254;3.751.131,92;72.9800;74.4800;71.7400;73.1871
02/05/2022;72.5000;72.9800;52.737;3.829.602,76;72.5000;73.3800;70.8800;72.6170
03/05/2022;73.0400;72.5000;39.686;2.901.748,92;73.0400;73.7400;71.5200;73.1177
04/05/2022;71.9000;73.0400;47.512;3.459.294,92;71.9000;73.9800;71.5000;72.8221
05/05/2022;71.9000;71.9000;51.91;3.798.908,56;71.9000;74.1200;71.8200;73.1826
06/05/2022;71.3600;71.9000;62.355;4.438.837,82;71.3600;72.1000;70.5000;71.1866
09/05/2022;67.5400;71.3600;80.792;5.592.179,66;67.5400;71.4400;67.5400;69.2170
10/05/2022;67.1800;67.5400;80.153;5.381.620,92;67.1800;68.2200;66.0000;67.1419
11/05/2022;68.3400;67.1800;44.142;3.013.508,00;68.3400;69.0000;67.1000;68.2685
12/05/2022;67.2400;68.3400;57.49;3.823.638,38;67.2400;67.6400;65.2200;66.5096
13/05/2022;69.3400;67.2400;40.79;2.811.746,30;69.3400;69.5200;67.0000;68.9322
16/05/2022;70.4800;69.3400;37.805;2.643.883,68;70.4800;70.5200;68.7600;69.9348
17/05/2022;69.9800;70.4800;36.952;2.604.334,98;69.9800;71.5000;69.3000;70.4789
18/05/2022;67.8600;69.9800;46.675;3.216.659,62;67.8600;70.5800;67.8200;68.9161
19/05/2022;69.2800;67.8600;50.749;3.470.478,64;69.2800;69.6600;66.8000;68.3852
20/05/2022;70.1000;69.2800;48.3290;3.380.435,40;70.1000;70.8000;69.2400;70.0431
23/05/2022;69.9000;70.1000;40.2870;2.822.137,30;69.9000;71.5000;69.3400;70.0508
24/05/2022;68.7000;69.9000;35.2650;2.433.002,82;68.7000;70.3600;68.5600;68.9920
25/05/2022;69.6600;68.7000;27.9510;1.945.581,20;69.6600;70.2400;68.9400;69.6069
26/05/2022;70.6400;69.6600;37.5920;2.639.579,78;70.6400;70.7200;69.2000;70.2165
27/05/2022;70.8200;70.6400;46.9460;3.345.398,92;70.8200;72.2000;70.4400;71.2606
30/05/2022;72.3600;70.8200;36.2340;2.610.948,90;72.3600;72.6000;70.9400;72.0580
31/05/2022;72.3000;72.3600;62.2900;4.530.860,58;72.3000;73.8000;72.0000;72.7382
01/06/2022;71.9200;72.3000;37.0440;2.672.370,60;71.9200;73.1400;71.6400;72.1404
02/06/2022;70.1800;71.9200;46.5770;3.300.880,24;70.1800;72.7800;69.8000;70.8693
03/06/2022;70.3400;70.1800;36.988;2.591.979,44;70.3400;70.5800;69.2800;70.0762
06/06/2022;70.5800;70.3400;41.066;2.921.366,24;70.5800;71.9400;70.3000;71.1383
07/06/2022;71.2800;70.5800;64.923;4.551.843,48;71.2800;71.4400;69.1600;70.1114
08/06/2022;73.9000;71.2800;63.311;4.604.916,10;73.9000;73.9800;70.8200;72.7349
09/06/2022;73.0000;73.9000;50.428;3.704.935,04;73.0000;74.4800;72.5400;73.4698
10/06/2022;70.7200;73.0000;42.598;3.054.893,92;70.7200;72.7800;70.7200;71.7145
13/06/2022;65.5000;70.7200;72.793;4.887.898,92;65.5000;69.9800;65.2800;67.1479
14/06/2022;58.9200;65.5000;134.294;8.293.981,22;58.9200;66.8000;58.1600;61.7599
15/06/2022;61.5000;58.9200;92.407;5.621.631,50;61.5000;61.9000;58.9400;60.8356
16/06/2022;59.3200;61.5000;52.479;3.155.463,30;59.3200;62.3000;59.3200;60.1281
17/06/2022;61.9800;59.3200;86.112;5.282.867,42;61.9800;61.9800;58.6800;61.1262
20/06/2022;62.8800;61.9800;64.193;3.991.554,84;62.8800;63.1800;60.8000;62.1805
21/06/2022;64.2400;62.8800;52.047;3.339.382,54;64.2400;64.9000;62.8800;64.1609
