Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;18.5550;18.4700;2.085.318;38.712.496,50;18.5550;18.7300;18.4500;18.5692
25/04/2022;18.7050;18.5550;940.34;17.566.544,54;18.7050;18.7900;18.4150;18.6811
26/04/2022;18.7250;18.7050;2.147.506;40.235.853,11;18.7250;19.0600;18.6100;18.7606
27/04/2022;19.1850;18.7250;1.645.546;31.423.810,27;19.1850;19.1950;18.4100;19.1011
28/04/2022;19.3450;19.1850;1.533.884;29.585.216,35;19.3450;19.4000;19.0400;19.2878
29/04/2022;19.1350;19.3450;1.353.158;25.939.757,53;19.1350;19.4000;19.1250;19.1698
02/05/2022;18.6550;19.1350;1.370.372;25.763.029,92;18.6550;19.3050;17.9450;18.7821
03/05/2022;19.1450;18.6550;1.026.635;19.602.321,31;19.1450;19.1450;18.5900;19.0938
04/05/2022;19.2750;19.1450;1.057.869;20.365.406,20;19.2750;19.3200;19.0400;19.2509
05/05/2022;19.2950;19.2750;900.878;17.428.589,47;19.2950;19.5550;19.2450;19.3462
06/05/2022;18.9450;19.2950;824.48;15.654.692,63;18.9450;19.2700;18.8950;18.9874
09/05/2022;18.7550;18.9450;835.717;15.718.877,66;18.7550;19.1050;18.7050;18.8088
10/05/2022;18.9800;18.7550;1.185.495;22.481.803,61;18.9800;19.1850;18.6600;18.9641
11/05/2022;18.9650;18.9800;1.347.720;25.509.820,67;18.9650;19.0850;18.5550;18.9281
12/05/2022;18.7950;18.9650;1.263.462;23.778.602,09;18.7950;19.0250;18.7000;18.8216
13/05/2022;18.7150;18.7950;1.279.494;23.979.424,36;18.7150;18.9150;18.5050;18.7413
16/05/2022;19.1650;18.7150;983.26;18.786.130,23;19.1650;19.2300;18.7400;19.1060
17/05/2022;19.1700;19.1650;697.367;13.373.067,50;19.1700;19.3100;19.0350;19.1765
18/05/2022;19.6300;19.1700;1.524.813;29.834.148,53;19.6300;19.6300;19.2300;19.5658
19/05/2022;19.5100;19.6300;1.000.697;19.568.149,59;19.5100;19.6950;19.4400;19.5505
20/05/2022;19.5250;19.5100;921.833;17.988.951,63;19.5250;19.6100;19.4050;19.5144
23/05/2022;19.5850;19.5250;854.301;16.723.869,02;19.5850;19.6750;19.4450;19.5761
24/05/2022;19.7350;19.5850;1.529.443;29.812.192,16;19.7350;19.7350;19.0800;19.6640
