Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;13.1950;13.6750;8.472.986;113.178.413,43;13.1950;13.5350;12.7300;13.2960
25/04/2022;12.6050;13.1950;9.003.008;115.829.776,75;12.6050;13.0900;12.6050;12.7485
26/04/2022;12.6650;12.6050;5.602.585;70.785.486,05;12.6650;12.9600;12.5000;12.6346
27/04/2022;12.9100;12.6650;7.245.697;92.756.115,76;12.9100;12.9850;12.5950;12.8662
28/04/2022;13.6300;12.9100;8.875.801;118.668.084,61;13.6300;13.6500;12.8350;13.3905
29/04/2022;14.2850;13.6300;18.852.636;263.820.926,18;14.2850;14.3300;13.6500;14.1156
02/05/2022;14.1050;14.2850;7.604.085;107.053.882,59;14.1050;14.2400;13.7950;14.0785
03/05/2022;14.1200;14.1050;6.036.623;85.146.281,12;14.1200;14.2300;13.8900;14.1080
04/05/2022;14.2850;14.1200;7.605.514;109.436.822,26;14.2850;14.5450;14.0400;14.3775
05/05/2022;14.4000;14.2850;10.512.567;152.463.389,30;14.4000;14.6400;14.2650;14.4480
06/05/2022;14.8350;14.4000;10.325.420;152.886.190,22;14.8350;14.9400;14.3450;14.8064
09/05/2022;13.5700;14.8350;38.542.128;453.867.075,35;13.5700;14.7950;13.5700;13.9647
10/05/2022;13.6450;13.5700;9.106.538;123.596.496,65;13.6450;13.7150;13.2200;13.5336
11/05/2022;14.2550;13.6450;5.495.358;77.583.315,86;14.2550;14.2550;13.7250;14.1180
12/05/2022;13.9900;14.2550;4.897.317;68.682.711,47;13.9900;14.2850;13.8100;14.0188
13/05/2022;14.2550;13.9900;3.726.487;52.846.738,99;14.2550;14.3300;13.9100;14.1833
16/05/2022;14.1200;14.2550;5.529.766;77.516.632,71;14.1200;14.2500;13.9800;14.1315
17/05/2022;14.5650;14.1200;6.439.375;93.724.805,26;14.5650;14.7950;14.3500;14.5566
18/05/2022;14.6800;14.5650;7.055.799;103.887.119,57;14.6800;14.8750;14.5700;14.7236
19/05/2022;14.4400;14.6800;5.227.429;75.748.284,70;14.4400;14.8650;14.3650;14.4906
20/05/2022;14.4100;14.4400;6.414.647;92.102.101,21;14.4100;14.7500;14.4050;14.5394
23/05/2022;14.6600;14.4100;8.542.757;124.951.129,03;14.6600;14.8400;14.4600;14.6628
24/05/2022;14.7050;14.6600;8.562.284;124.992.923,12;14.7050;14.7950;14.4550;14.6549
25/05/2022;15.0200;14.7050;13.550.161;203.069.518,74;15.0200;15.1500;14.7800;14.9941
26/05/2022;14.9550;15.0200;7.774.634;116.369.470,76;14.9550;15.1050;14.8050;14.9682
27/05/2022;14.9900;14.9550;8.011.877;119.218.536,13;14.9900;15.0300;14.7050;14.9205
30/05/2022;14.8450;14.9900;11.107.084;164.554.095,30;14.8450;15.0650;14.6700;14.8050
31/05/2022;14.9950;14.8450;20.877.928;314.289.935,76;14.9950;15.3100;14.9400;15.0454
01/06/2022;14.8550;14.9950;10.109.344;151.370.697,25;14.8550;15.1900;14.8400;14.9295
02/06/2022;14.9600;14.8550;4.547.242;67.542.980,51;14.9600;15.0550;14.6350;14.8753
03/06/2022;15.1600;14.9600;3.833.736;55.161.209,57;15.1600;15.1600;14.8400;15.0470
06/06/2022;15.4150;15.1600;3.969.692;61.097.136,63;15.4150;15.4500;15.2300;15.3909
07/06/2022;15.9500;15.4150;6.943.864;109.945.639,68;15.9500;16.0450;15.3900;15.8335
08/06/2022;16.1200;15.9500;4.691.076;75.279.828,20;16.1200;16.1200;15.9250;16.0477
09/06/2022;15.7150;16.1200;6.874.232;108.908.415,90;15.7150;16.2300;15.6700;15.8213
10/06/2022;15.4850;15.7150;7.598.331;118.738.785,46;15.4850;15.8950;15.3300;15.5815
13/06/2022;15.1900;15.4850;8.951.877;135.113.755,94;15.1900;15.3800;14.9550;15.1987
14/06/2022;15.3450;15.1900;4.942.145;75.944.251,10;15.3450;15.5850;15.0350;15.3667
15/06/2022;14.9950;15.3450;11.771.428;177.517.338,37;14.9950;15.3700;14.7750;15.0608
16/06/2022;14.4000;14.9950;13.878.650;201.140.734,14;14.4000;15.0700;14.2500;14.4835
17/06/2022;13.7400;14.4000;18.935.339;257.733.567,04;13.7400;14.4350;13.7400;13.8881
20/06/2022;13.9800;13.7400;4.097.982;57.163.931,11;13.9800;14.0900;13.6800;13.9493
21/06/2022;14.2700;13.9800;6.852.123;97.409.395,76;14.2700;14.3300;14.0700;14.2417
22/06/2022;13.6600;14.2700;7.489.873;102.689.488,72;13.6600;13.9650;13.5350;13.6620
23/06/2022;13.5800;13.6600;6.703.082;91.157.922,83;13.5800;13.9400;13.3050;13.6265
24/06/2022;13.7500;13.5800;16.367.245;222.360.632,38;13.7500;13.8300;13.4000;13.6880
27/06/2022;13.8050;13.7500;9.030.698;124.595.555,81;13.8050;14.0000;13.5950;13.8000
28/06/2022;14.2150;13.8050;11.165.774;156.895.086,98;14.2150;14.3200;13.9450;14.2101
29/06/2022;14.1900;14.2150;11.508.606;164.411.451,38;14.1900;14.4100;14.1350;14.2297
30/06/2022;14.0500;14.1900;4.629.074;65.108.174,33;14.0500;14.2350;13.9250;14.0599
01/07/2022;13.4800;14.0500;5.831.423;79.417.008,64;13.4800;14.0800;13.4150;13.6188
04/07/2022;13.8300;13.4800;5.058.785;69.397.440,27;13.8300;13.9500;13.7300;13.8453
05/07/2022;12.7200;13.5000;9.056.039;116.729.142,38;12.7200;13.5650;12.6650;12.9169
06/07/2022;12.5350;12.7200;6.130.635;77.525.498,03;12.5350;12.9700;12.4550;12.6456
07/07/2022;13.1400;12.5350;5.236.202;68.272.674,61;13.1400;13.1800;12.7250;13.0434
