Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;62.5000;65.0000;115.7020;7.336.493,15;62.5000;64.8000;62.3500;63.2973
25/04/2022;61.8500;62.5000;100.1770;6.191.994,05;61.8500;62.1500;61.0000;61.8105
26/04/2022;62.1500;61.8500;110.7220;6.873.412,05;62.1500;62.6000;61.5500;62.0781
27/04/2022;62.4000;62.1500;179.3260;11.041.897,50;62.4000;62.6500;60.9500;62.0684
28/04/2022;64.7000;62.4000;132.6560;8.520.393,70;64.7000;64.9500;62.1000;64.2292
29/04/2022;65.2000;64.7000;107.7360;7.023.355,45;65.2000;65.8000;64.7000;65.1904
02/05/2022;62.0500;65.2000;94.0850;5.909.103,45;62.0500;64.7000;61.8500;62.8060
03/05/2022;63.2500;62.0500;72.1090;4.534.170,00;63.2500;63.3500;62.2500;62.8794
04/05/2022;62.6000;63.2500;74.7000;4.697.564,55;62.6000;63.8500;62.3000;62.8906
05/05/2022;63.5000;62.6000;198.3440;12.658.718,50;63.5000;65.2500;62.7000;64.0746
06/05/2022;62.7500;63.5000;97.6130;6.120.174,45;62.7500;64.3500;62.2000;62.6984
09/05/2022;59.3500;62.7500;114.1050;6.911.698,65;59.3500;62.8500;58.8500;60.5731
10/05/2022;60.3500;59.3500;128.3290;7.733.232,15;60.3500;60.7000;59.2000;60.2610
11/05/2022;61.4500;60.3500;122.5360;7.535.420,55;61.4500;62.3000;60.3500;61.4956
12/05/2022;57.5000;61.4500;195.5420;11.309.104,15;57.5000;60.4000;56.0500;57.8347
13/05/2022;59.4500;57.5000;153.9340;9.062.136,40;59.4500;59.6000;57.9000;58.8703
16/05/2022;60.2500;59.4500;83.6140;5.003.636,40;60.2500;60.2500;59.1000;59.8421
17/05/2022;60.4500;60.2500;76.0210;4.618.556,80;60.4500;61.6000;59.7500;60.7537
18/05/2022;57.3000;60.4500;128.6570;7.525.638,70;57.3000;60.9000;57.2000;58.4938
19/05/2022;57.5500;57.3000;160.7780;9.220.784,70;57.5500;57.8500;56.3500;57.3289
20/05/2022;59.9000;57.5500;131.9090;7.877.928,75;59.9000;60.6000;58.1500;59.7225
23/05/2022;60.2000;59.9000;110.3680;6.628.612,50;60.2000;60.5000;59.5500;60.0592
24/05/2022;59.0500;60.2000;76.9010;4.589.442,55;59.0500;60.2000;59.0000;59.6799
25/05/2022;59.2500;59.0500;76.0140;4.479.548,65;59.2500;59.8000;58.2000;58.9306
26/05/2022;60.0000;59.2500;62.4890;3.733.418,40;60.0000;60.1000;59.1500;59.7452
27/05/2022;61.2500;60.0000;76.5560;4.664.281,75;61.2500;61.4000;60.1500;60.9264
30/05/2022;62.0500;61.2500;64.2180;3.980.637,90;62.0500;63.9000;61.4500;61.9863
31/05/2022;62.4000;62.0500;86.1900;5.377.684,20;62.4000;62.8500;61.4000;62.3934
01/06/2022;61.4000;62.4000;60.4970;3.739.289,15;61.4000;62.6500;61.1000;61.8095
02/06/2022;61.4000;61.4000;55.0740;3.404.144,25;61.4000;62.4500;61.1500;61.8104
03/06/2022;61.5500;61.4000;68.2160;4.215.766,60;61.5500;62.7000;61.0500;61.8003
06/06/2022;60.6000;61.5500;68.3910;4.202.037,45;60.6000;62.3000;60.5500;61.1275
07/06/2022;60.7500;60.6000;86.2910;5.210.322,90;60.7500;60.9000;59.8000;60.3808
08/06/2022;61.3500;60.7500;57.7270;3.515.805,90;61.3500;61.3500;60.1000;60.9040
09/06/2022;59.3000;61.3500;97.5260;5.864.052,00;59.3000;61.5000;59.1000;60.1281
10/06/2022;56.9000;59.3000;109.9560;6.314.697,95;56.9000;59.0000;56.5000;57.4293
13/06/2022;55.2500;56.9000;214.8560;12.060.713,20;55.2500;57.0500;54.5500;55.5664
14/06/2022;54.4000;55.2500;130.5000;7.096.843,25;54.4000;56.2000;53.7000;54.3819
15/06/2022;55.8000;54.4000;86.4500;4.791.976,65;55.8000;56.1000;54.3500;55.4306
16/06/2022;54.7000;55.8000;56.2780;3.085.263,65;54.7000;55.6500;54.2500;54.8218
17/06/2022;56.5000;54.7000;231.2450;13.036.002,10;56.5000;56.8500;54.2000;56.3970
20/06/2022;57.0500;56.5000;47.9210;2.724.820,45;57.0500;58.0000;56.3500;56.8607
21/06/2022;57.0000;57.0500;643.4520;36.565.098,40;57.0000;57.8500;56.4000;57.1627
22/06/2022;59.5000;57.0000;184.0790;10.664.288,05;59.5000;59.6500;56.2500;58.5740
23/06/2022;58.8500;59.5000;76.1230;4.490.082,15;58.8500;59.8500;57.4000;58.9846
24/06/2022;59.5000;58.8500;642.9380;37.688.947,65;59.5000;60.0500;58.5000;59.4371
27/06/2022;61.0000;59.5000;249.6440;14.932.259,65;61.0000;61.3000;59.4500;60.4208
28/06/2022;59.6000;61.0000;76.1370;4.578.079,70;59.6000;61.1000;58.5000;60.1295
29/06/2022;59.4500;59.6000;86.9920;5.152.925,50;59.4500;59.7500;58.4000;59.2345
30/06/2022;58.4000;59.4500;89.4230;5.209.584,70;58.4000;59.7000;57.6000;58.2578
01/07/2022;57.6500;58.4000;84.0230;4.821.779,75;57.6500;58.3500;56.5500;57.3864
04/07/2022;59.0000;57.6500;79.3470;4.652.584,95;59.0000;59.2500;57.3000;58.6359
05/07/2022;56.7500;58.0500;81.0560;4.631.024,35;56.7500;59.0000;56.0500;57.1336
06/07/2022;58.9500;56.7500;72.9210;4.274.712,25;58.9500;59.2500;57.4000;58.6211
07/07/2022;60.3000;58.9500;108.6700;6.527.245,25;60.3000;60.7500;58.8500;60.0648
08/07/2022;60.9000;60.3000;55.3330;3.348.200,30;60.9000;61.2000;59.7000;60.5100
11/07/2022;61.0500;60.9000;54.1850;3.287.424,10;61.0500;61.4500;57.0500;60.6704
12/07/2022;60.7000;61.0500;61.4310;3.717.917,25;60.7000;60.9500;59.7500;60.5218
13/07/2022;59.8000;60.7000;96.7800;5.808.793,90;59.8000;61.3500;58.1500;60.0206
14/07/2022;57.2000;59.8000;143.1100;8.306.193,85;57.2000;59.7500;56.8000;57.6285
15/07/2022;59.0000;57.2000;99.0710;5.744.102,10;59.0000;59.0000;56.5000;57.9797
18/07/2022;59.1500;59.0000;63.7800;3.784.125,70;59.1500;60.1000;58.7000;59.3309
19/07/2022;58.0500;59.1500;336.7540;19.828.126,70;58.0500;59.4000;56.8000;58.0511
20/07/2022;58.3500;58.0500;83.6920;4.901.857,10;58.3500;59.5000;57.9000;58.5702
21/07/2022;58.6000;58.3500;62.9670;3.681.863,75;58.6000;59.0500;57.1000;58.4729
22/07/2022;59.7500;58.6000;72.8420;4.347.517,55;59.7500;60.4000;58.2500;59.6526
25/07/2022;60.0500;59.7500;64.8320;3.902.421,45;60.0500;60.6500;58.5000;60.1928
26/07/2022;59.9000;60.0500;54.9470;3.296.065,60;59.9000;60.3000;58.5000;59.9863
27/07/2022;57.2500;59.9000;131.1250;7.648.531,65;57.2500;61.3000;55.1000;58.3301
28/07/2022;52.6000;57.2500;333.7180;18.112.012,45;52.6000;59.5000;51.8000;54.3248
29/07/2022;51.0000;52.6000;174.0050;9.036.130,85;51.0000;53.6000;50.9500;51.9303
01/08/2022;50.2500;51.0000;127.1860;6.415.373,76;50.2500;51.1500;49.7400;50.4409
02/08/2022;50.0500;50.2500;143.7040;7.097.035,86;50.0500;50.3500;48.6200;49.3865
03/08/2022;50.2000;50.0500;167.9440;8.327.112,67;50.2000;50.5500;48.6200;49.5827
04/08/2022;50.6000;50.2000;98.2800;4.966.125,42;50.6000;51.2000;49.9200;50.5304
05/08/2022;50.1500;50.6000;125.5550;6.338.452,34;50.1500;51.1500;49.9800;50.4835
08/08/2022;51.4500;50.1500;117.7280;6.018.279,35;51.4500;51.7500;50.1000;51.1202
09/08/2022;52.0500;51.4500;125.9990;6.513.448,07;52.0500;52.2000;50.9000;51.7098
10/08/2022;51.5000;52.0500;95.5850;4.920.411,85;51.5000;52.2000;50.6500;51.4768
11/08/2022;51.2500;51.5000;69.2880;3.569.409,35;51.2500;52.1000;51.2000;51.5155
12/08/2022;51.3000;51.2500;48.6160;2.499.886,00;51.3000;51.9000;51.0000;51.4211
15/08/2022;51.4000;51.3000;43.3080;2.225.268,25;51.4000;52.2000;51.0500;51.3824
16/08/2022;51.3500;51.4000;73.9610;3.800.026,55;51.3500;51.8500;50.7000;51.3788
17/08/2022;51.2000;51.3500;90.8590;4.666.173,25;51.2000;51.7000;50.9000;51.3562
18/08/2022;51.5000;51.2000;63.2480;3.253.199,45;51.5000;51.8000;51.0000;51.4356
19/08/2022;50.9500;51.5000;72.9600;3.726.969,80;50.9500;51.4500;50.8000;51.0824
22/08/2022;52.0000;50.9500;126.2700;6.514.649,55;52.0000;52.6500;50.6500;51.5930
23/08/2022;50.5500;52.0000;79.7090;4.040.806,45;50.5500;51.7000;50.1500;50.6945
24/08/2022;51.1000;50.5500;63.3620;3.225.320,35;51.1000;51.3000;50.0500;50.9031
25/08/2022;51.3500;51.1000;91.0830;4.703.120,95;51.3500;52.4500;51.1500;51.6356
26/08/2022;49.9800;51.3500;73.1670;3.692.155,58;49.9800;51.6500;49.8400;50.4620
29/08/2022;48.5000;49.9800;89.8350;4.381.269,86;48.5000;49.4400;48.3800;48.7702
30/08/2022;48.4600;48.5000;60.4100;2.950.656,74;48.4600;49.5000;48.2600;48.8438
31/08/2022;49.0600;48.4600;100.1310;4.905.280,16;49.0600;49.6400;48.2600;48.9886
01/09/2022;47.8000;49.0600;67.0370;3.245.899,50;47.8000;49.5600;47.7600;48.4195
02/09/2022;49.0200;47.8000;62.3780;3.027.623,22;49.0200;49.1600;48.0200;48.5367
05/09/2022;47.9800;49.0200;72.2820;3.467.121,02;47.9800;48.2400;47.6000;47.9666
06/09/2022;48.3400;47.9800;159.1420;7.810.866,80;48.3400;50.1500;47.7600;49.0811
07/09/2022;45.5000;48.3400;206.8340;9.528.634,42;45.5000;48.2000;45.1000;46.0690
08/09/2022;46.8600;45.5000;110.0910;5.069.387,54;46.8600;47.0000;45.1600;46.0472
09/09/2022;46.7000;46.8600;103.9980;4.875.175,48;46.7000;47.4800;46.3000;46.8776
12/09/2022;47.4000;46.7000;98.4200;4.609.987,46;47.4000;47.5000;46.2200;46.8399
13/09/2022;46.0000;47.4000;76.6960;3.565.879,66;46.0000;47.6200;45.8800;46.4937
14/09/2022;46.4400;46.0000;123.1950;5.712.814,46;46.4400;47.1800;45.6000;46.3721
15/09/2022;46.3800;46.4400;137.5520;6.462.542,88;46.3800;47.8000;46.0600;46.9825
16/09/2022;45.6600;46.3800;115.7880;5.300.488,16;45.6600;46.6000;45.4800;45.7775
19/09/2022;45.2200;45.6600;68.7190;3.112.460,08;45.2200;45.6200;44.9600;45.2926
20/09/2022;44.5600;45.2200;78.1360;3.499.961,86;44.5600;45.4200;44.3800;44.7932
21/09/2022;44.5200;44.5600;98.4230;4.388.461,10;44.5200;45.0400;44.0400;44.5878
22/09/2022;42.8200;44.5200;110.9760;4.793.671,66;42.8200;44.3000;42.2200;43.1956
23/09/2022;41.7200;42.8200;178.8260;7.731.168,60;41.7200;42.8400;41.0600;41.7924
26/09/2022;41.5400;41.7200;97.5040;4.072.146,00;41.5400;42.3400;41.0400;41.7639
27/09/2022;42.4000;41.5400;118.2530;4.989.571,84;42.4000;42.7800;41.0400;42.1940
28/09/2022;42.8800;42.4000;119.0710;5.061.341,18;42.8800;42.9800;41.8600;42.5069
29/09/2022;42.5200;42.8800;81.9850;3.478.613,70;42.5200;42.8800;41.8400;42.4299
30/09/2022;44.2000;42.5200;181.5090;7.849.729,92;44.2000;44.5600;41.7800;43.2471
03/10/2022;44.4800;44.2000;75.5920;3.321.716,44;44.4800;44.6400;43.0800;43.9427
04/10/2022;45.2200;44.4800;126.2660;5.717.432,08;45.2200;45.6200;44.8400;45.2809
