Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;0.7806;0.8016;38.607.508;30.713.712,98;0.7806;0.8196;0.7790;0.7955
25/04/2022;0.7592;0.7806;24.477.285;18.788.719,66;0.7592;0.7794;0.7592;0.7676
26/04/2022;0.7080;0.7592;59.812.497;43.557.293,94;0.7080;0.7800;0.7070;0.7282
27/04/2022;0.7130;0.7080;59.269.318;42.419.092,15;0.7130;0.7246;0.6990;0.7126
28/04/2022;0.7214;0.7130;40.781.740;29.528.109,46;0.7214;0.7528;0.7024;0.7241
29/04/2022;0.7440;0.7214;31.221.137;23.024.048,65;0.7440;0.7470;0.7160;0.7375
02/05/2022;0.7196;0.7440;24.033.866;17.439.561,24;0.7196;0.7424;0.7190;0.7256
03/05/2022;0.7420;0.7196;22.758.793;16.824.443,15;0.7420;0.7474;0.7210;0.7393
04/05/2022;0.7174;0.7420;25.745.283;18.680.578,72;0.7174;0.7490;0.7160;0.7257
05/05/2022;0.6908;0.7174;56.295.420;39.901.990,43;0.6908;0.7400;0.6900;0.7088
06/05/2022;0.6804;0.6908;47.971.490;32.716.770,63;0.6804;0.7000;0.6666;0.6820
09/05/2022;0.6808;0.6804;31.728.630;21.771.676,13;0.6808;0.6966;0.6760;0.6874
10/05/2022;0.7018;0.6808;34.923.123;24.760.030,16;0.7018;0.7218;0.6882;0.7090
11/05/2022;0.7200;0.7018;33.049.954;23.474.179,79;0.7200;0.7240;0.6830;0.7103
12/05/2022;0.7036;0.7200;31.437.325;22.319.134,08;0.7036;0.7180;0.6946;0.7038
13/05/2022;0.7102;0.7036;14.977.829;10.640.669,97;0.7102;0.7178;0.7050;0.7104
16/05/2022;0.7058;0.7102;13.342.525;9.465.674,30;0.7058;0.7202;0.7024;0.7094
17/05/2022;0.7358;0.7058;32.036.023;23.472.059,23;0.7358;0.7394;0.7158;0.7327
18/05/2022;0.7278;0.7358;23.535.537;17.354.911,30;0.7278;0.7500;0.7278;0.7374
19/05/2022;0.7356;0.7278;19.952.234;14.536.822,97;0.7356;0.7380;0.7172;0.7286
20/05/2022;0.7314;0.7356;22.843.011;16.918.397,63;0.7314;0.7504;0.7314;0.7406
23/05/2022;0.7752;0.7314;39.583.229;30.142.225,48;0.7752;0.7752;0.7386;0.7611
24/05/2022;0.7910;0.7752;39.849.035;31.517.214,01;0.7910;0.8026;0.7650;0.7909
25/05/2022;0.8196;0.7910;51.487.264;41.684.685,36;0.8196;0.8196;0.7980;0.8105
26/05/2022;0.8514;0.8196;52.026.926;43.794.522,48;0.8514;0.8522;0.8170;0.8418
27/05/2022;0.8264;0.8514;44.391.955;37.133.044,75;0.8264;0.8650;0.8220;0.8365
