Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;2.5200;2.5500;1.859.750;4.699.550,69;2.5200;2.5500;2.5000;2.5270
25/04/2022;2.4940;2.5200;2.310.974;5.786.214,09;2.4940;2.5280;2.4660;2.5038
26/04/2022;2.5100;2.4940;1.903.600;4.823.036,85;2.5100;2.5580;2.4920;2.5336
27/04/2022;2.5500;2.5100;2.022.962;5.135.657,72;2.5500;2.5600;2.4800;2.5387
28/04/2022;2.5900;2.5500;2.774.588;7.171.061,47;2.5900;2.6120;2.5220;2.5842
29/04/2022;2.5820;2.5900;2.276.133;5.895.496,34;2.5820;2.6100;2.5660;2.5901
02/05/2022;2.5600;2.5820;2.398.103;6.198.730,50;2.5600;2.6100;2.5400;2.5848
03/05/2022;2.5740;2.5600;2.023.298;5.251.876,84;2.5740;2.6300;2.5660;2.5957
04/05/2022;2.6320;2.5740;2.816.927;7.396.908,89;2.6320;2.6780;2.5740;2.6259
05/05/2022;2.5320;2.6320;2.620.671;6.805.210,50;2.5320;2.6700;2.5300;2.5967
06/05/2022;2.5260;2.5320;2.099.447;5.295.884,95;2.5260;2.5500;2.4880;2.5225
09/05/2022;2.4040;2.5260;3.075.824;7.534.878,27;2.4040;2.5280;2.4020;2.4497
10/05/2022;2.3900;2.4040;2.269.523;5.466.471,76;2.3900;2.4340;2.3680;2.4086
11/05/2022;2.4300;2.3900;1.780.361;4.306.400,44;2.4300;2.4380;2.3840;2.4188
12/05/2022;2.3880;2.4300;1.658.889;3.977.971,48;2.3880;2.4360;2.3760;2.3980
13/05/2022;2.4540;2.3880;1.805.848;4.411.414,39;2.4540;2.4680;2.4040;2.4428
16/05/2022;2.5180;2.4540;2.790.031;6.980.634,00;2.5180;2.5260;2.4460;2.5020
17/05/2022;2.5540;2.5180;2.492.383;6.393.532,61;2.5540;2.5900;2.5160;2.5652
18/05/2022;2.5960;2.5540;2.223.021;5.771.597,78;2.5960;2.6200;2.5700;2.5963
19/05/2022;2.5120;2.5960;3.310.091;8.400.665,80;2.5120;2.5780;2.4800;2.5378
20/05/2022;2.5360;2.5120;2.362.104;6.001.569,71;2.5360;2.5660;2.5180;2.5408
23/05/2022;2.6100;2.5360;1.896.884;4.927.172,61;2.6100;2.6140;2.5700;2.5975
24/05/2022;2.6340;2.6100;2.207.967;5.816.568,95;2.6340;2.6720;2.6100;2.6344
25/05/2022;2.6860;2.6340;2.517.514;6.731.722,46;2.6860;2.7020;2.6320;2.6740
26/05/2022;2.6620;2.6860;2.054.623;5.499.325,63;2.6620;2.7060;2.6520;2.6770
27/05/2022;2.6900;2.6620;2.189.401;5.884.815,36;2.6900;2.7040;2.6500;2.6879
30/05/2022;2.6420;2.6900;1.286.573;3.429.987,54;2.6420;2.7080;2.6400;2.6660
31/05/2022;2.6440;2.6420;2.438.601;6.455.979,27;2.6440;2.6720;2.6340;2.6474
01/06/2022;2.6680;2.6440;1.604.523;4.277.201,19;2.6680;2.6860;2.6320;2.6657
02/06/2022;2.6500;2.6680;1.642.447;4.392.625,82;2.6500;2.7000;2.6500;2.6764
03/06/2022;2.5920;2.5840;2.021.874;5.228.660,26;2.5920;2.6320;2.5600;2.5860
06/06/2022;2.6600;2.5920;1.746.940;4.606.308,75;2.6600;2.6640;2.6000;2.6368
