Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;3.1660;3.2300;38.807.351;123.626.409,65;3.1660;3.2400;3.1660;3.1856
25/04/2022;3.0540;3.1660;84.642.667;263.070.799,36;3.0540;3.1525;3.0540;3.0934
26/04/2022;2.8465;3.0540;177.671.238;525.945.894,58;2.8465;3.1640;2.8320;2.9277
27/04/2022;2.8160;2.8465;101.793.224;287.420.671,90;2.8160;2.9000;2.8000;2.8240
28/04/2022;2.7520;2.7645;76.454.237;212.614.728,94;2.7520;2.8490;2.7190;2.7801
29/04/2022;2.8165;2.7520;85.003.314;237.555.203,05;2.8165;2.8265;2.7610;2.8019
02/05/2022;2.7400;2.8165;65.703.776;182.431.301,44;2.7400;2.8170;2.7340;2.7633
03/05/2022;2.8225;2.7400;108.946.336;305.679.045,43;2.8225;2.8290;2.7660;2.8092
04/05/2022;2.7720;2.8225;142.949.453;401.349.917,63;2.7720;2.8390;2.7705;2.7928
05/05/2022;2.6895;2.7720;89.154.121;246.326.129,67;2.6895;2.8435;2.6800;2.7473
06/05/2022;2.6505;2.6895;59.414.209;158.594.199,65;2.6505;2.7245;2.6415;2.6695
09/05/2022;2.6000;2.6505;59.987.141;157.782.691,96;2.6000;2.6735;2.6000;2.6260
10/05/2022;2.6335;2.6000;69.936.900;185.763.307,56;2.6335;2.7045;2.6330;2.6591
11/05/2022;2.6930;2.6335;41.457.984;110.925.761,87;2.6930;2.7035;2.6110;2.6756
12/05/2022;2.6535;2.6930;41.682.916;109.961.827,83;2.6535;2.6665;2.6055;2.6379
13/05/2022;2.7280;2.6535;57.668.404;156.367.252,65;2.7280;2.7330;2.6755;2.7146
16/05/2022;2.6995;2.7280;29.367.461;80.016.017,71;2.6995;2.7465;2.6855;2.7067
17/05/2022;2.7780;2.6995;39.053.777;107.867.118,54;2.7780;2.7910;2.7235;2.7652
18/05/2022;2.7400;2.7780;26.991.094;74.422.166,65;2.7400;2.7985;2.7365;2.7573
19/05/2022;2.7405;2.7400;38.982.446;106.089.915,52;2.7405;2.7405;2.6780;2.7201
20/05/2022;2.7440;2.7405;40.067.111;110.999.285,58;2.7440;2.7905;2.7320;2.7616
23/05/2022;2.8500;2.7440;39.476.857;111.055.899,37;2.8500;2.8500;2.7685;2.8217
24/05/2022;2.8935;2.8500;37.739.786;108.781.090,17;2.8935;2.9135;2.8130;2.8824
25/05/2022;2.9530;2.8935;68.356.040;201.068.525,91;2.9530;2.9700;2.9000;2.9419
26/05/2022;3.0200;2.9530;58.959.087;176.261.993,06;3.0200;3.0200;2.9600;2.9992
27/05/2022;3.0400;3.0200;56.357.505;170.263.479,97;3.0400;3.0480;2.9850;3.0301
30/05/2022;3.0780;3.0400;30.528.820;93.636.480,22;3.0780;3.0780;3.0420;3.0672
31/05/2022;3.0145;3.0780;62.290.966;188.247.935,85;3.0145;3.0730;3.0060;3.0221
01/06/2022;2.9850;3.0145;37.862.150;113.722.804,31;2.9850;3.0585;2.9805;2.9991
02/06/2022;2.9795;2.9850;20.146.792;60.047.470,45;2.9795;3.0050;2.9615;2.9805
