Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;15.1600;15.7000;4.915.524;74.693.014,09;15.1600;15.7500;15.1300;15.1953
25/04/2022;15.5700;15.1600;1.902.236;29.311.683,82;15.5700;15.6400;14.8000;15.4091
26/04/2022;14.8100;15.5700;1.466.545;22.225.293,70;14.8100;15.7600;14.8100;15.1549
27/04/2022;14.9800;14.8100;1.508.831;22.442.597,30;14.9800;15.1550;14.4900;14.8742
28/04/2022;14.9450;14.9800;1.235.921;18.474.101,63;14.9450;15.2000;14.7150;14.9476
29/04/2022;15.3250;14.9450;1.346.403;20.545.594,64;15.3250;15.3500;14.9900;15.2596
02/05/2022;14.8050;15.3250;2.310.560;33.911.502,47;14.8050;15.3350;14.1400;14.6767
03/05/2022;15.4000;14.8050;1.765.507;27.133.500,65;15.4000;15.5800;14.8500;15.3687
04/05/2022;15.2300;15.4000;1.112.197;16.993.358,51;15.2300;15.6100;15.0300;15.2798
05/05/2022;14.0000;15.2300;4.126.067;60.785.709,57;14.0000;15.6300;14.0000;14.5218
06/05/2022;13.9450;14.0000;2.170.686;30.212.133,40;13.9450;14.2450;13.6800;13.9182
09/05/2022;13.0850;13.9450;1.892.453;25.175.434,30;13.0850;13.8500;13.0500;13.3031
10/05/2022;12.8250;13.0850;1.725.637;22.365.129,13;12.8250;13.4800;12.8150;12.9605
11/05/2022;13.2850;12.8250;2.080.822;27.192.347,91;13.2850;13.4900;12.5600;13.0681
12/05/2022;13.0600;13.2850;1.749.731;22.768.172,21;13.0600;13.2900;12.6800;13.0124
13/05/2022;13.2950;13.0600;1.149.291;15.266.666,67;13.2950;13.5200;13.0900;13.2835
16/05/2022;13.4000;13.2950;908.143;12.173.249,72;13.4000;13.6450;13.2700;13.4045
17/05/2022;14.1300;13.4000;2.436.886;33.767.209,34;14.1300;14.2650;13.3300;13.8567
18/05/2022;15.9100;14.1300;7.104.509;112.449.587,97;15.9100;16.2150;15.1150;15.8279
19/05/2022;16.5600;15.9100;3.082.774;50.236.600,79;16.5600;16.6150;15.4900;16.2970
20/05/2022;16.7450;16.5600;2.112.904;35.052.289,17;16.7450;16.9300;16.4550;16.6729
23/05/2022;17.7900;16.7450;13.070.494;232.515.801,17;17.7900;17.8600;17.7000;17.7892
24/05/2022;17.9000;17.7900;7.851.636;139.784.416,56;17.9000;17.9000;17.7250;17.8034
25/05/2022;17.7800;17.9000;6.367.448;113.426.959,11;17.7800;17.9000;17.7800;17.8137
26/05/2022;17.9400;17.7800;2.695.186;48.101.303,59;17.9400;17.9400;17.7800;17.8471
27/05/2022;17.9400;17.9400;2.824.210;50.536.575,82;17.9400;17.9400;17.8400;17.8943
30/05/2022;17.9000;17.9400;2.462.994;44.074.157,84;17.9000;17.9500;17.8500;17.8945
