Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;21.1900;21.5100;1.684.265;35.838.255,82;21.1900;21.8500;21.0900;21.2783
25/04/2022;20.9900;21.1900;404.556;8.502.572,96;20.9900;21.6600;20.7100;21.0170
26/04/2022;20.9200;20.9900;639.736;13.427.830,82;20.9200;21.5500;20.5700;20.9896
27/04/2022;21.2300;20.9200;537.472;11.439.590,57;21.2300;21.7000;20.8000;21.2950
28/04/2022;21.5500;21.2300;346.447;7.465.930,79;21.5500;21.8500;21.1100;21.5500
29/04/2022;21.3200;21.5500;229.045;4.893.557,78;21.3200;21.7700;21.1300;21.3650
02/05/2022;20.3400;21.3200;415.579;8.673.516,91;20.3400;21.4500;20.2700;20.8709
03/05/2022;20.9400;20.3400;266.657;5.563.023,22;20.9400;21.1300;20.3400;20.8621
04/05/2022;21.2700;20.9400;228.876;4.870.980,64;21.2700;21.5800;20.7400;21.2824
05/05/2022;20.6500;21.2700;418.603;8.888.737,33;20.6500;21.6700;20.6500;21.0187
06/05/2022;20.3400;20.6500;411.659;8.363.317,95;20.3400;20.6200;20.0100;20.3161
09/05/2022;19.6400;20.3400;299.817;5.991.065,03;19.6400;20.5600;19.6200;19.9824
10/05/2022;19.4900;19.6400;441.693;8.652.839,80;19.4900;19.9650;19.3800;19.5902
11/05/2022;20.9400;19.4900;504.482;10.376.594,25;20.9400;21.0600;19.6700;20.5688
12/05/2022;19.7750;20.9400;651.782;12.946.652,95;19.7750;20.7100;19.3750;19.8635
13/05/2022;20.6700;19.7750;345.985;7.062.098,20;20.6700;20.7500;19.8000;20.4116
16/05/2022;20.8300;20.6700;220.465;4.590.919,37;20.8300;21.0700;20.4200;20.8238
17/05/2022;21.2100;20.8300;365.633;7.727.496,24;21.2100;21.3500;20.6200;21.1346
18/05/2022;21.6500;21.2100;548.113;11.918.726,37;21.6500;22.0600;21.2900;21.7450
19/05/2022;22.7000;21.6500;682.137;15.215.105,51;22.7000;22.7000;21.5500;22.3051
20/05/2022;21.8600;22.7000;614.09;13.580.968,91;21.8600;22.7600;21.7100;22.1156
23/05/2022;22.4200;21.8600;374.812;8.408.259,40;22.4200;22.7000;22.0000;22.4333
