Fecha;Cierre;Referencia;Volumen;Efectivo;Ultimo;Maximo;Minimo;Medio
22/04/2022;4.8450;4.8390;11.611.595;56.340.580,03;4.8450;4.9000;4.7770;4.8521
25/04/2022;4.7980;4.8450;21.234.440;102.038.798,15;4.7980;4.8660;4.7670;4.8104
26/04/2022;4.7460;4.7980;15.995.577;78.550.877,78;4.7460;4.8840;4.7420;4.7784
27/04/2022;4.6940;4.7460;16.137.288;75.815.225,38;4.6940;4.7430;4.6700;4.6981
28/04/2022;4.7030;4.6940;13.419.656;62.885.251,02;4.7030;4.7030;4.6300;4.6862
29/04/2022;4.6330;4.7030;16.711.915;79.305.447,32;4.6330;4.7060;4.6150;4.6459
02/05/2022;4.5970;4.6330;10.078.596;46.536.387,10;4.5970;4.6900;4.5600;4.6175
03/05/2022;4.6880;4.5970;9.057.747;42.313.162,75;4.6880;4.6880;4.5800;4.6717
04/05/2022;4.6970;4.6880;8.883.200;41.754.696,79;4.6970;4.7500;4.6400;4.7005
05/05/2022;4.7700;4.6970;14.364.635;68.331.126,67;4.7700;4.7750;4.7110;4.7624
06/05/2022;4.7170;4.7700;11.357.666;53.711.918,23;4.7170;4.7660;4.6870;4.7219
09/05/2022;4.6310;4.7170;11.580.908;55.326.052,26;4.6310;4.7320;4.6180;4.6430
10/05/2022;4.6190;4.6310;16.381.597;76.184.799,87;4.6190;4.6670;4.6030;4.6301
11/05/2022;4.6570;4.6190;9.810.353;45.551.707,69;4.6570;4.6630;4.5900;4.6432
12/05/2022;4.7800;4.6570;22.328.438;107.000.388,29;4.7800;4.8930;4.6200;4.7932
13/05/2022;4.7770;4.7800;10.862.175;51.952.126,24;4.7770;4.8420;4.7330;4.7821
16/05/2022;4.7370;4.7770;9.846.758;46.957.819,55;4.7370;4.8060;4.6980;4.7411
17/05/2022;4.7780;4.7370;13.376.907;63.796.534,49;4.7780;4.8040;4.7240;4.7701
18/05/2022;4.7250;4.7780;11.001.996;52.076.273,62;4.7250;4.7850;4.7150;4.7331
19/05/2022;4.6410;4.7250;16.261.544;77.203.183,14;4.6410;4.7230;4.6200;4.6459
20/05/2022;4.6920;4.6410;10.879.203;50.798.394,98;4.6920;4.7080;4.6310;4.6799
23/05/2022;4.7780;4.6920;17.410.787;82.729.434,97;4.7780;4.7780;4.6950;4.7590
24/05/2022;4.8850;4.7780;48.442.903;232.290.800,14;4.8850;4.9160;4.7290;4.8725
25/05/2022;4.9200;4.8850;14.801.159;74.065.349,17;4.9200;4.9700;4.8840;4.9323
26/05/2022;4.9520;4.9200;103.082.222;511.382.339,87;4.9520;4.9750;4.9170;4.9496
27/05/2022;4.9470;4.9520;47.172.455;233.905.396,88;4.9470;4.9780;4.9330;4.9512
30/05/2022;4.9530;4.9470;11.962.721;58.824.995,77;4.9530;4.9730;4.8860;4.9441
31/05/2022;5.0600;4.9530;60.616.602;282.899.364,28;5.0600;5.0640;4.9500;5.0477
01/06/2022;4.7700;4.9020;20.564.513;98.642.404,91;4.7700;4.8980;4.7640;4.7967
02/06/2022;4.7110;4.7700;13.594.667;65.304.022,48;4.7110;4.8000;4.7070;4.7235
03/06/2022;4.6640;4.7110;12.915.450;60.085.188,97;4.6640;4.7300;4.6100;4.6522
06/06/2022;4.6820;4.6640;108.027.536;504.357.593,54;4.6820;4.7020;4.6470;4.6786
07/06/2022;4.6370;4.6820;20.977.195;97.346.548,24;4.6370;4.6750;4.6120;4.6358
08/06/2022;4.6190;4.6370;12.367.140;57.824.767,11;4.6190;4.6470;4.5900;4.6171
09/06/2022;4.5580;4.6190;11.848.120;54.134.020,31;4.5580;4.6080;4.5570;4.5690
10/06/2022;4.4830;4.5580;15.996.594;71.726.399,81;4.4830;4.5540;4.4340;4.4839
13/06/2022;4.4450;4.4830;12.937.138;57.425.950,72;4.4450;4.4810;4.4060;4.4388
